, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 6.1e-04, -6.1e-04, +2.6e-03 
1, 10500, 6.4e-04, -6.4e-04, +2.0e-03 
2, 11000, 6.3e-04, -6.3e-04, +1.8e-03 
3, 11500, 7.0e-04, -7.0e-04, +2.9e-03 
4, 12000, 7.1e-04, -7.0e-04, +1.5e-03 
5, 12500, 7.4e-04, -7.3e-04, +2.9e-03 
6, 13000, 8.4e-04, -8.4e-04, +5.3e-03 
7, 13500, 8.2e-04, -8.1e-04, +2.6e-03 
8, 14000, 9.1e-04, -9.1e-04, +3.1e-03 
9, 14500, 8.8e-04, -8.8e-04, +3.7e-03 
10, 15000, 8.9e-04, -8.9e-04, +1.7e-03 
11, 15500, 1.0e-03, -1.0e-03, +5.3e-03 
12, 16000, 1.1e-03, -1.1e-03, +6.2e-03 
13, 16500, 1.0e-03, -1.0e-03, +4.8e-03 
14, 17000, 1.1e-03, -1.1e-03, +3.0e-03 
15, 17500, 1.1e-03, -1.1e-03, +3.3e-03 
16, 18000, 1.2e-03, -1.2e-03, +4.0e-03 
17, 18500, 1.1e-03, -1.1e-03, +2.2e-02 
18, 19000, 1.2e-03, -1.2e-03, +4.5e-03 
19, 19500, 1.3e-03, -1.3e-03, +7.3e-03 
20, 20000, 1.3e-03, -1.3e-03, +1.0e-02 
