, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 1.3e-03, -1.3e-03, +5.1e-03 
1, 10500, 1.7e-03, -5.6e-04, +3.8e-03 
2, 11000, 2.2e-03, -1.0e-03, +3.6e-03 
3, 11500, 3.8e-03, -2.6e-03, +5.2e-03 
4, 12000, 1.6e-03, -1.2e-03, +4.5e-03 
5, 12500, 2.3e-03, -1.1e-03, +4.4e-03 
6, 13000, 1.7e-03, -4.8e-04, +6.9e-03 
7, 13500, 1.7e-03, -1.2e-03, +4.3e-03 
8, 14000, 1.7e-03, -5.7e-04, +4.2e-03 
9, 14500, 3.1e-03, -2.4e-03, +1.2e-02 
10, 15000, 2.6e-03, -1.5e-03, +2.9e-03 
11, 15500, 2.1e-03, -9.7e-04, +2.6e-03 
12, 16000, 7.4e-03, -5.6e-03, +1.7e-02 
13, 16500, 1.7e-03, -1.0e-03, +5.8e-03 
14, 17000, 3.6e-03, -3.6e-03, +3.0e-02 
15, 17500, 2.2e-03, -1.4e-03, +6.3e-02 
16, 18000, 3.8e-03, -1.9e-03, +4.2e-02 
17, 18500, 3.7e-03, -3.0e-03, +6.3e-03 
18, 19000, 6.0e-03, -3.8e-03, +7.9e-03 
19, 19500, 2.5e-03, -1.9e-03, +8.9e-03 
20, 20000, 7.6e-03, -5.3e-03, +3.1e-02 
