, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 6.1e-08, -6.1e-08, +2.6e-07 
1, 10500, 6.1e-08, -6.1e-08, +1.9e-07 
2, 11000, 5.7e-08, -5.7e-08, +1.7e-07 
3, 11500, 6.1e-08, -6.1e-08, +2.5e-07 
4, 12000, 5.9e-08, -5.8e-08, +1.3e-07 
5, 12500, 5.9e-08, -5.9e-08, +2.3e-07 
6, 13000, 6.5e-08, -6.4e-08, +4.1e-07 
7, 13500, 6.1e-08, -6.0e-08, +1.9e-07 
8, 14000, 6.5e-08, -6.5e-08, +2.2e-07 
9, 14500, 6.1e-08, -6.1e-08, +2.6e-07 
10, 15000, 6.0e-08, -5.9e-08, +1.1e-07 
11, 15500, 6.6e-08, -6.5e-08, +3.4e-07 
12, 16000, 6.7e-08, -6.6e-08, +3.9e-07 
13, 16500, 6.2e-08, -6.2e-08, +2.9e-07 
14, 17000, 6.3e-08, -6.3e-08, +1.7e-07 
15, 17500, 6.1e-08, -6.1e-08, +1.9e-07 
16, 18000, 6.5e-08, -6.5e-08, +2.2e-07 
17, 18500, 6.1e-08, -6.1e-08, +1.2e-06 
18, 19000, 6.3e-08, -6.3e-08, +2.4e-07 
19, 19500, 6.7e-08, -6.6e-08, +3.8e-07 
20, 20000, 6.5e-08, -6.4e-08, +5.1e-07 
