, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 1.3e-07, -1.3e-07, +5.1e-07 
1, 10500, 1.6e-07, -5.3e-08, +3.6e-07 
2, 11000, 2.0e-07, -9.3e-08, +3.3e-07 
3, 11500, 3.3e-07, -2.2e-07, +4.5e-07 
4, 12000, 1.3e-07, -1.0e-07, +3.8e-07 
5, 12500, 1.8e-07, -9.0e-08, +3.5e-07 
6, 13000, 1.3e-07, -3.7e-08, +5.3e-07 
7, 13500, 1.3e-07, -8.6e-08, +3.2e-07 
8, 14000, 1.2e-07, -4.0e-08, +3.0e-07 
9, 14500, 2.1e-07, -1.6e-07, +8.4e-07 
10, 15000, 1.7e-07, -9.9e-08, +2.0e-07 
11, 15500, 1.3e-07, -6.3e-08, +1.6e-07 
12, 16000, 4.6e-07, -3.5e-07, +1.1e-06 
13, 16500, 1.0e-07, -6.2e-08, +3.5e-07 
14, 17000, 2.1e-07, -2.1e-07, +1.8e-06 
15, 17500, 1.3e-07, -8.2e-08, +3.6e-06 
16, 18000, 2.1e-07, -1.0e-07, +2.3e-06 
17, 18500, 2.0e-07, -1.6e-07, +3.4e-07 
18, 19000, 3.2e-07, -2.0e-07, +4.2e-07 
19, 19500, 1.3e-07, -9.5e-08, +4.6e-07 
20, 20000, 3.8e-07, -2.6e-07, +1.5e-06 
