, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 2.3e-04, -2.3e-04, +6.2e-04 
1, 10500, 2.6e-04, -2.6e-04, +5.0e-04 
2, 11000, 2.6e-04, -2.6e-04, +1.1e-03 
3, 11500, 2.5e-04, -2.5e-04, +7.4e-04 
4, 12000, 2.5e-04, -2.5e-04, +4.8e-04 
5, 12500, 2.6e-04, -2.6e-04, +1.1e-03 
6, 13000, 2.6e-04, -2.6e-04, +1.1e-03 
7, 13500, 2.9e-04, -2.9e-04, +1.9e-03 
8, 14000, 2.7e-04, -2.7e-04, +1.6e-03 
9, 14500, 2.7e-04, -2.7e-04, +9.5e-04 
10, 15000, 2.8e-04, -2.8e-04, +5.9e-04 
11, 15500, 2.6e-04, -2.6e-04, +7.6e-04 
12, 16000, 2.6e-04, -2.5e-04, +5.5e-04 
13, 16500, 2.4e-04, -2.4e-04, +6.1e-04 
14, 17000, 2.6e-04, -2.6e-04, +5.5e-04 
15, 17500, 2.7e-04, -2.6e-04, +6.2e-04 
16, 18000, 2.8e-04, -2.8e-04, +5.8e-04 
17, 18500, 2.7e-04, -2.7e-04, +1.6e-03 
18, 19000, 2.8e-04, -2.7e-04, +7.3e-04 
19, 19500, 2.7e-04, -2.7e-04, +1.2e-03 
20, 20000, 2.8e-04, -2.8e-04, +2.2e-03 
