, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 4.9e-04, -1.0e-04, +1.2e-03 
1, 10500, 5.2e-04, -7.2e-05, +1.6e-03 
2, 11000, 4.7e-04, -3.5e-04, +6.9e-04 
3, 11500, 4.9e-04, -1.9e-04, +9.8e-04 
4, 12000, 5.0e-04, -3.4e-04, +1.1e-03 
5, 12500, 5.2e-04, -1.8e-04, +1.1e-03 
6, 13000, 5.3e-04, -4.0e-04, +1.7e-03 
7, 13500, 5.3e-04, -3.8e-04, +2.1e-03 
8, 14000, 5.5e-04, -8.2e-05, +1.1e-03 
9, 14500, 5.2e-04, -3.3e-04, +1.3e-03 
10, 15000, 5.3e-04, -4.3e-04, +2.0e-03 
11, 15500, 5.2e-04, -4.1e-04, +1.2e-03 
12, 16000, 5.3e-04, -4.7e-04, +1.1e-03 
13, 16500, 5.3e-04, -4.6e-04, +9.9e-04 
14, 17000, 5.5e-04, -6.5e-05, +1.8e-03 
15, 17500, 5.4e-04, -1.6e-04, +1.0e-03 
16, 18000, 5.5e-04, -2.4e-04, +8.9e-04 
17, 18500, 5.4e-04, -4.8e-05, +1.4e-03 
18, 19000, 5.4e-04, -2.6e-04, +8.7e-04 
19, 19500, 5.7e-04, -1.6e-04, +1.7e-03 
20, 20000, 5.5e-04, -3.1e-04, +2.1e-03 
