, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 2.3e-08, -2.3e-08, +6.2e-08 
1, 10500, 2.5e-08, -2.4e-08, +4.7e-08 
2, 11000, 2.4e-08, -2.4e-08, +1.0e-07 
3, 11500, 2.2e-08, -2.2e-08, +6.4e-08 
4, 12000, 2.1e-08, -2.1e-08, +4.0e-08 
5, 12500, 2.1e-08, -2.0e-08, +9.0e-08 
6, 13000, 2.0e-08, -2.0e-08, +8.8e-08 
7, 13500, 2.1e-08, -2.1e-08, +1.4e-07 
8, 14000, 2.0e-08, -1.9e-08, +1.1e-07 
9, 14500, 1.9e-08, -1.9e-08, +6.6e-08 
10, 15000, 1.9e-08, -1.8e-08, +4.0e-08 
11, 15500, 1.7e-08, -1.6e-08, +4.9e-08 
12, 16000, 1.6e-08, -1.6e-08, +3.4e-08 
13, 16500, 1.5e-08, -1.5e-08, +3.7e-08 
14, 17000, 1.5e-08, -1.5e-08, +3.3e-08 
15, 17500, 1.5e-08, -1.5e-08, +3.6e-08 
16, 18000, 1.6e-08, -1.6e-08, +3.2e-08 
17, 18500, 1.5e-08, -1.4e-08, +8.7e-08 
18, 19000, 1.5e-08, -1.4e-08, +3.8e-08 
19, 19500, 1.4e-08, -1.4e-08, +6.2e-08 
20, 20000, 1.4e-08, -1.4e-08, +1.1e-07 
