, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 4.9e-08, -1.0e-08, +1.2e-07 
1, 10500, 4.9e-08, -6.8e-09, +1.6e-07 
2, 11000, 4.3e-08, -3.2e-08, +6.3e-08 
3, 11500, 4.3e-08, -1.6e-08, +8.5e-08 
4, 12000, 4.2e-08, -2.8e-08, +9.4e-08 
5, 12500, 4.2e-08, -1.5e-08, +9.1e-08 
6, 13000, 4.1e-08, -3.1e-08, +1.3e-07 
7, 13500, 3.9e-08, -2.8e-08, +1.6e-07 
8, 14000, 3.9e-08, -5.8e-09, +7.6e-08 
9, 14500, 3.6e-08, -2.3e-08, +9.2e-08 
10, 15000, 3.6e-08, -2.8e-08, +1.3e-07 
11, 15500, 3.4e-08, -2.6e-08, +7.9e-08 
12, 16000, 3.3e-08, -2.9e-08, +7.1e-08 
13, 16500, 3.2e-08, -2.8e-08, +6.0e-08 
14, 17000, 3.2e-08, -3.8e-09, +1.1e-07 
15, 17500, 3.1e-08, -9.1e-09, +5.7e-08 
16, 18000, 3.0e-08, -1.3e-08, +4.9e-08 
17, 18500, 2.9e-08, -2.6e-09, +7.4e-08 
18, 19000, 2.8e-08, -1.4e-08, +4.6e-08 
19, 19500, 2.9e-08, -8.1e-09, +8.8e-08 
20, 20000, 2.8e-08, -1.6e-08, +1.0e-07 
