, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 4.9e-04, -4.9e-04, +1.0e-03 
1, 10500, 5.2e-04, -5.2e-04, +2.2e-03 
2, 11000, 5.5e-04, -5.5e-04, +2.8e-03 
3, 11500, 5.8e-04, -5.8e-04, +3.9e-03 
4, 12000, 6.1e-04, -6.1e-04, +4.0e-03 
5, 12500, 6.4e-04, -6.4e-04, +3.5e-03 
6, 13000, 6.8e-04, -6.8e-04, +4.7e-03 
7, 13500, 7.1e-04, -7.1e-04, +4.5e-03 
8, 14000, 7.7e-04, -7.7e-04, +8.4e-03 
9, 14500, 7.4e-04, -7.4e-04, +9.3e-03 
10, 15000, 8.4e-04, -8.4e-04, +2.8e-03 
11, 15500, 8.4e-04, -8.4e-04, +1.6e-03 
12, 16000, 8.7e-04, -8.7e-04, +5.3e-03 
13, 16500, 8.8e-04, -8.8e-04, +4.8e-03 
14, 17000, 9.0e-04, -8.9e-04, +5.7e-03 
15, 17500, 9.9e-04, -9.9e-04, +6.4e-02 
16, 18000, 9.1e-04, -9.1e-04, +4.4e-02 
17, 18500, 9.2e-04, -9.2e-04, +5.9e-03 
18, 19000, 1.1e-03, -1.1e-03, +8.8e-03 
19, 19500, 1.0e-03, -1.0e-03, +5.0e-02 
20, 20000, 1.1e-03, -1.1e-03, +1.1e-02 
