, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 4.4e-04, -4.4e-04, +6.9e-04 
1, 10500, 4.4e-04, -4.4e-04, +2.1e-03 
2, 11000, 4.6e-04, -4.5e-04, +1.6e-03 
3, 11500, 5.3e-04, -5.3e-04, +2.9e-03 
4, 12000, 5.2e-04, -5.2e-04, +1.6e-03 
5, 12500, 5.5e-04, -5.5e-04, +1.8e-03 
6, 13000, 6.0e-04, -6.0e-04, +3.3e-03 
7, 13500, 5.8e-04, -5.8e-04, +3.8e-03 
8, 14000, 6.6e-04, -6.6e-04, +5.4e-03 
9, 14500, 6.7e-04, -6.6e-04, +2.5e-03 
10, 15000, 6.7e-04, -6.7e-04, +3.2e-03 
11, 15500, 6.9e-04, -6.9e-04, +1.1e-03 
12, 16000, 7.3e-04, -7.3e-04, +4.2e-03 
13, 16500, 7.3e-04, -7.3e-04, +2.8e-03 
14, 17000, 7.5e-04, -7.5e-04, +2.3e-03 
15, 17500, 8.0e-04, -8.0e-04, +3.6e-02 
16, 18000, 8.0e-04, -8.0e-04, +2.0e-02 
17, 18500, 8.5e-04, -8.5e-04, +3.3e-03 
18, 19000, 8.8e-04, -8.8e-04, +6.7e-03 
19, 19500, 8.9e-04, -8.9e-04, +1.6e-02 
20, 20000, 9.1e-04, -9.1e-04, +6.4e-03 
