, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 4.4e-08, -4.4e-08, +6.9e-08 
1, 10500, 4.2e-08, -4.2e-08, +2.0e-07 
2, 11000, 4.1e-08, -4.1e-08, +1.4e-07 
3, 11500, 4.6e-08, -4.6e-08, +2.5e-07 
4, 12000, 4.3e-08, -4.3e-08, +1.3e-07 
5, 12500, 4.4e-08, -4.4e-08, +1.4e-07 
6, 13000, 4.6e-08, -4.6e-08, +2.6e-07 
7, 13500, 4.3e-08, -4.3e-08, +2.8e-07 
8, 14000, 4.7e-08, -4.7e-08, +3.9e-07 
9, 14500, 4.6e-08, -4.6e-08, +1.7e-07 
10, 15000, 4.4e-08, -4.4e-08, +2.1e-07 
11, 15500, 4.5e-08, -4.5e-08, +7.4e-08 
12, 16000, 4.6e-08, -4.6e-08, +2.7e-07 
13, 16500, 4.4e-08, -4.4e-08, +1.7e-07 
14, 17000, 4.4e-08, -4.4e-08, +1.3e-07 
15, 17500, 4.6e-08, -4.6e-08, +2.0e-06 
16, 18000, 4.4e-08, -4.4e-08, +1.1e-06 
17, 18500, 4.6e-08, -4.6e-08, +1.8e-07 
18, 19000, 4.6e-08, -4.6e-08, +3.5e-07 
19, 19500, 4.6e-08, -4.6e-08, +8.4e-07 
20, 20000, 4.5e-08, -4.5e-08, +3.2e-07 
