, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 4.7e-04, -4.7e-04, +1.4e-03 
1, 10500, 5.1e-04, -5.1e-04, +9.3e-04 
2, 11000, 5.7e-04, -5.7e-04, +3.2e-03 
3, 11500, 5.8e-04, -5.8e-04, +4.6e-03 
4, 12000, 5.5e-04, -5.4e-04, +3.2e-03 
5, 12500, 6.4e-04, -6.3e-04, +5.5e-03 
6, 13000, 6.3e-04, -6.3e-04, +2.1e-03 
7, 13500, 6.6e-04, -6.6e-04, +4.2e-03 
8, 14000, 7.3e-04, -7.3e-04, +1.3e-03 
9, 14500, 7.1e-04, -7.1e-04, +1.4e-03 
10, 15000, 8.0e-04, -8.0e-04, +6.2e-03 
11, 15500, 8.0e-04, -8.0e-04, +1.8e-03 
12, 16000, 8.3e-04, -8.3e-04, +2.7e-03 
13, 16500, 8.1e-04, -8.1e-04, +3.0e-03 
14, 17000, 8.9e-04, -8.9e-04, +8.4e-03 
15, 17500, 8.2e-04, -8.1e-04, +4.2e-03 
16, 18000, 1.0e-03, -1.0e-03, +7.1e-03 
17, 18500, 9.1e-04, -9.1e-04, +3.7e-03 
18, 19000, 9.8e-04, -9.7e-04, +4.6e-03 
19, 19500, 1.2e-03, -1.2e-03, +1.3e-02 
20, 20000, 1.1e-03, -1.1e-03, +4.3e-03 
