, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 4.1e-04, -4.1e-04, +9.7e-04 
1, 10500, 4.6e-04, -4.6e-04, +8.2e-04 
2, 11000, 4.8e-04, -4.8e-04, +2.2e-03 
3, 11500, 5.0e-04, -5.0e-04, +1.8e-03 
4, 12000, 4.9e-04, -4.9e-04, +9.2e-04 
5, 12500, 5.9e-04, -5.8e-04, +4.3e-03 
6, 13000, 5.6e-04, -5.6e-04, +3.7e-03 
7, 13500, 5.8e-04, -5.8e-04, +1.0e-03 
8, 14000, 6.1e-04, -6.1e-04, +1.1e-03 
9, 14500, 6.3e-04, -6.2e-04, +1.1e-03 
10, 15000, 6.5e-04, -6.5e-04, +3.7e-03 
11, 15500, 6.7e-04, -6.6e-04, +2.7e-03 
12, 16000, 7.1e-04, -7.1e-04, +2.7e-03 
13, 16500, 7.1e-04, -7.1e-04, +3.0e-03 
14, 17000, 7.4e-04, -7.4e-04, +3.6e-03 
15, 17500, 7.8e-04, -7.8e-04, +2.3e-03 
16, 18000, 8.6e-04, -8.6e-04, +3.3e-03 
17, 18500, 8.6e-04, -8.6e-04, +5.4e-03 
18, 19000, 8.2e-04, -8.2e-04, +1.9e-03 
19, 19500, 9.3e-04, -9.3e-04, +8.2e-03 
20, 20000, 9.3e-04, -9.3e-04, +5.5e-03 
