, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 4.7e-08, -4.7e-08, +1.4e-07 
1, 10500, 4.9e-08, -4.8e-08, +8.8e-08 
2, 11000, 5.2e-08, -5.2e-08, +2.9e-07 
3, 11500, 5.1e-08, -5.0e-08, +4.0e-07 
4, 12000, 4.5e-08, -4.5e-08, +2.6e-07 
5, 12500, 5.1e-08, -5.1e-08, +4.4e-07 
6, 13000, 4.8e-08, -4.8e-08, +1.6e-07 
7, 13500, 4.9e-08, -4.9e-08, +3.1e-07 
8, 14000, 5.2e-08, -5.2e-08, +9.6e-08 
9, 14500, 4.9e-08, -4.9e-08, +9.9e-08 
10, 15000, 5.4e-08, -5.3e-08, +4.2e-07 
11, 15500, 5.2e-08, -5.2e-08, +1.2e-07 
12, 16000, 5.2e-08, -5.2e-08, +1.7e-07 
13, 16500, 4.9e-08, -4.9e-08, +1.8e-07 
14, 17000, 5.2e-08, -5.2e-08, +4.9e-07 
15, 17500, 4.7e-08, -4.7e-08, +2.4e-07 
16, 18000, 5.6e-08, -5.5e-08, +4.0e-07 
17, 18500, 4.9e-08, -4.9e-08, +2.0e-07 
18, 19000, 5.1e-08, -5.1e-08, +2.4e-07 
19, 19500, 6.1e-08, -6.1e-08, +6.5e-07 
20, 20000, 5.4e-08, -5.4e-08, +2.2e-07 
