, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 2.5e-06, -2.0e-06, +8.1e-06 
1, 10500, 3.1e-06, -2.3e-06, +1.3e-05 
2, 11000, 3.5e-06, -3.1e-06, +1.6e-05 
3, 11500, 3.1e-06, -2.2e-06, +2.1e-05 
4, 12000, 3.7e-06, -2.8e-06, +1.1e-04 
5, 12500, 3.4e-06, -2.8e-06, +1.2e-04 
6, 13000, 3.1e-06, -2.4e-06, +1.2e-05 
7, 13500, 4.3e-06, -3.8e-06, +3.1e-05 
8, 14000, 3.5e-06, -3.1e-06, +1.3e-04 
9, 14500, 3.4e-06, -3.0e-06, +4.1e-03 
10, 15000, 2.7e-06, -1.7e-06, +3.4e-05 
11, 15500, 3.0e-06, -2.6e-06, +2.9e-05 
12, 16000, 3.6e-06, -3.0e-06, +6.0e-05 
13, 16500, 3.7e-06, -2.7e-06, +3.0e-05 
14, 17000, 4.5e-06, -3.4e-06, +2.3e-05 
15, 17500, 4.9e-06, -3.9e-06, +1.8e-05 
16, 18000, 4.9e-06, -4.1e-06, +4.5e-05 
17, 18500, 3.5e-06, -2.4e-06, +2.4e-05 
18, 19000, 4.8e-06, -3.4e-06, +3.1e-05 
19, 19500, 3.6e-06, -2.6e-06, +4.2e-05 
20, 20000, 3.2e-06, -2.1e-06, +1.1e-05 
