, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 2.9e-06, -1.6e-06, +3.0e-05 
1, 10500, 3.9e-06, -2.5e-06, +1.8e-05 
2, 11000, 3.9e-06, -2.7e-06, +4.0e-05 
3, 11500, 3.3e-06, -2.8e-06, +2.4e-05 
4, 12000, 4.1e-06, -2.9e-06, +2.0e-05 
5, 12500, 3.6e-06, -3.1e-06, +2.6e-05 
6, 13000, 3.5e-06, -2.4e-06, +2.4e-05 
7, 13500, 4.7e-06, -3.6e-06, +9.5e-06 
8, 14000, 3.9e-06, -2.8e-06, +1.7e-05 
9, 14500, 3.6e-06, -2.5e-06, +1.1e-05 
10, 15000, 3.1e-06, -1.9e-06, +4.4e-05 
11, 15500, 3.2e-06, -2.8e-06, +2.9e-05 
12, 16000, 3.9e-06, -3.5e-06, +2.4e-05 
13, 16500, 3.9e-06, -3.1e-06, +2.8e-05 
14, 17000, 4.8e-06, -3.3e-06, +2.3e-05 
15, 17500, 5.4e-06, -4.2e-06, +5.9e-06 
16, 18000, 5.2e-06, -4.1e-06, +2.9e-05 
17, 18500, 3.7e-06, -2.5e-06, +8.6e-06 
18, 19000, 5.3e-06, -3.2e-06, +3.3e-05 
19, 19500, 3.8e-06, -2.7e-06, +2.9e-05 
20, 20000, 3.5e-06, -2.2e-06, +2.5e-05 
