, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 2.5e-10, -2.0e-10, +8.1e-10 
1, 10500, 2.9e-10, -2.2e-10, +1.3e-09 
2, 11000, 3.2e-10, -2.8e-10, +1.5e-09 
3, 11500, 2.7e-10, -1.9e-10, +1.8e-09 
4, 12000, 3.1e-10, -2.3e-10, +9.1e-09 
5, 12500, 2.7e-10, -2.2e-10, +9.9e-09 
6, 13000, 2.4e-10, -1.8e-10, +9.5e-10 
7, 13500, 3.2e-10, -2.8e-10, +2.3e-09 
8, 14000, 2.5e-10, -2.2e-10, +9.2e-09 
9, 14500, 2.3e-10, -2.1e-10, +2.8e-07 
10, 15000, 1.8e-10, -1.2e-10, +2.2e-09 
11, 15500, 1.9e-10, -1.6e-10, +1.9e-09 
12, 16000, 2.2e-10, -1.9e-10, +3.8e-09 
13, 16500, 2.2e-10, -1.6e-10, +1.8e-09 
14, 17000, 2.6e-10, -2.0e-10, +1.3e-09 
15, 17500, 2.8e-10, -2.2e-10, +1.0e-09 
16, 18000, 2.7e-10, -2.3e-10, +2.5e-09 
17, 18500, 1.9e-10, -1.3e-10, +1.3e-09 
18, 19000, 2.5e-10, -1.8e-10, +1.6e-09 
19, 19500, 1.8e-10, -1.4e-10, +2.1e-09 
20, 20000, 1.6e-10, -1.0e-10, +5.6e-10 
