, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 2.9e-10, -1.6e-10, +3.0e-09 
1, 10500, 3.7e-10, -2.4e-10, +1.7e-09 
2, 11000, 3.6e-10, -2.5e-10, +3.7e-09 
3, 11500, 2.9e-10, -2.4e-10, +2.1e-09 
4, 12000, 3.4e-10, -2.4e-10, +1.7e-09 
5, 12500, 2.9e-10, -2.5e-10, +2.1e-09 
6, 13000, 2.7e-10, -1.9e-10, +1.8e-09 
7, 13500, 3.5e-10, -2.7e-10, +7.0e-10 
8, 14000, 2.8e-10, -2.0e-10, +1.2e-09 
9, 14500, 2.5e-10, -1.7e-10, +7.7e-10 
10, 15000, 2.1e-10, -1.3e-10, +2.9e-09 
11, 15500, 2.1e-10, -1.8e-10, +1.9e-09 
12, 16000, 2.4e-10, -2.2e-10, +1.5e-09 
13, 16500, 2.3e-10, -1.9e-10, +1.7e-09 
14, 17000, 2.8e-10, -1.9e-10, +1.4e-09 
15, 17500, 3.1e-10, -2.4e-10, +3.4e-10 
16, 18000, 2.9e-10, -2.3e-10, +1.6e-09 
17, 18500, 2.0e-10, -1.3e-10, +4.6e-10 
18, 19000, 2.8e-10, -1.7e-10, +1.8e-09 
19, 19500, 2.0e-10, -1.4e-10, +1.5e-09 
20, 20000, 1.7e-10, -1.1e-10, +1.2e-09 
