, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 4.1e-06, -3.3e-06, +4.0e-05 
1, 10500, 3.4e-06, -2.8e-06, +2.1e-05 
2, 11000, 2.2e-06, -1.7e-06, +6.9e-06 
3, 11500, 2.0e-06, -1.5e-06, +4.1e-05 
4, 12000, 2.4e-06, -1.8e-06, +8.1e-06 
5, 12500, 2.7e-06, -2.2e-06, +2.0e-05 
6, 13000, 2.1e-06, -1.5e-06, +5.5e-06 
7, 13500, 2.8e-06, -2.4e-06, +2.1e-05 
8, 14000, 2.6e-06, -2.0e-06, +2.1e-05 
9, 14500, 2.5e-06, -2.0e-06, +1.4e-05 
10, 15000, 2.1e-06, -1.4e-06, +1.9e-05 
11, 15500, 3.5e-06, -2.8e-06, +1.9e-05 
12, 16000, 3.5e-06, -2.7e-06, +1.7e-05 
13, 16500, 3.1e-06, -2.5e-06, +2.3e-05 
14, 17000, 2.4e-06, -1.6e-06, +2.3e-05 
15, 17500, 2.4e-06, -1.7e-06, +1.0e-05 
16, 18000, 3.3e-06, -2.8e-06, +1.5e-05 
17, 18500, 2.5e-06, -2.0e-06, +4.7e-05 
18, 19000, 2.5e-06, -2.1e-06, +1.9e-05 
19, 19500, 2.6e-06, -2.3e-06, +2.4e-05 
20, 20000, 4.1e-06, -3.4e-06, +1.8e-05 
