, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 4.1e-10, -3.3e-10, +4.0e-09 
1, 10500, 3.2e-10, -2.6e-10, +2.0e-09 
2, 11000, 2.0e-10, -1.5e-10, +6.3e-10 
3, 11500, 1.8e-10, -1.3e-10, +3.6e-09 
4, 12000, 2.0e-10, -1.5e-10, +6.7e-10 
5, 12500, 2.1e-10, -1.8e-10, +1.6e-09 
6, 13000, 1.6e-10, -1.2e-10, +4.3e-10 
7, 13500, 2.1e-10, -1.8e-10, +1.6e-09 
8, 14000, 1.8e-10, -1.4e-10, +1.5e-09 
9, 14500, 1.7e-10, -1.4e-10, +9.8e-10 
10, 15000, 1.4e-10, -9.1e-11, +1.3e-09 
11, 15500, 2.3e-10, -1.8e-10, +1.3e-09 
12, 16000, 2.2e-10, -1.7e-10, +1.0e-09 
13, 16500, 1.9e-10, -1.5e-10, +1.4e-09 
14, 17000, 1.4e-10, -9.4e-11, +1.4e-09 
15, 17500, 1.4e-10, -9.7e-11, +5.9e-10 
16, 18000, 1.9e-10, -1.6e-10, +8.3e-10 
17, 18500, 1.4e-10, -1.1e-10, +2.5e-09 
18, 19000, 1.3e-10, -1.1e-10, +9.9e-10 
19, 19500, 1.3e-10, -1.2e-10, +1.2e-09 
20, 20000, 2.0e-10, -1.7e-10, +8.8e-10 
