, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10000, 4.3e-10, -3.1e-10, +2.9e-09 
1, 10500, 4.5e-10, -3.1e-10, +6.6e-09 
2, 11000, 2.4e-10, -2.1e-10, +1.1e-09 
3, 11500, 2.3e-10, -1.4e-10, +8.7e-10 
4, 12000, 2.3e-10, -1.4e-10, +1.9e-09 
5, 12500, 2.4e-10, -2.1e-10, +5.2e-10 
6, 13000, 2.0e-10, -1.2e-10, +1.5e-09 
7, 13500, 2.1e-10, -1.1e-10, +1.1e-09 
8, 14000, 1.9e-10, -9.9e-11, +2.1e-09 
9, 14500, 1.8e-10, -1.1e-10, +3.2e-09 
10, 15000, 1.7e-10, -1.2e-10, +2.9e-09 
11, 15500, 2.0e-10, -1.3e-10, +2.0e-09 
12, 16000, 3.0e-10, -2.2e-10, +1.2e-09 
13, 16500, 1.7e-10, -1.4e-10, +1.1e-09 
14, 17000, 1.6e-10, -9.8e-11, +1.5e-09 
15, 17500, 1.5e-10, -1.1e-10, +1.2e-09 
16, 18000, 2.4e-10, -1.8e-10, +2.1e-09 
17, 18500, 1.5e-10, -1.2e-10, +1.2e-09 
18, 19000, 1.4e-10, -6.2e-11, +1.0e-09 
19, 19500, 1.3e-10, -8.1e-11, +1.2e-09 
20, 20000, 2.4e-10, -1.6e-10, +1.7e-09 
