, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 1000, 5.9e-05, -5.8e-05, +1.0e-04 
1, 1100, 5.5e-05, -5.4e-05, +2.0e-04 
2, 1200, 6.7e-05, -6.6e-05, +2.9e-04 
3, 1300, 6.8e-05, -6.6e-05, +3.0e-04 
4, 1400, 7.0e-05, -6.9e-05, +1.4e-04 
5, 1500, 7.8e-05, -7.7e-05, +1.7e-04 
6, 1600, 8.5e-05, -8.4e-05, +1.4e-04 
7, 1700, 9.3e-05, -9.1e-05, +2.0e-04 
8, 1800, 1.0e-04, -1.0e-04, +2.1e-04 
9, 1900, 1.1e-04, -1.1e-04, +3.9e-04 
10, 2000, 1.1e-04, -1.1e-04, +2.2e-04 
11, 2100, 1.0e-04, -1.0e-04, +5.9e-04 
12, 2200, 1.2e-04, -1.1e-04, +2.2e-04 
13, 2300, 1.2e-04, -1.2e-04, +2.9e-04 
14, 2400, 1.3e-04, -1.3e-04, +2.7e-04 
15, 2500, 1.4e-04, -1.3e-04, +2.7e-04 
16, 2600, 1.4e-04, -1.3e-04, +4.5e-04 
17, 2700, 1.5e-04, -1.4e-04, +7.2e-04 
18, 2800, 1.6e-04, -1.6e-04, +7.3e-04 
19, 2900, 1.6e-04, -1.6e-04, +4.2e-04 
20, 3000, 1.7e-04, -1.7e-04, +4.0e-04 
21, 3100, 1.7e-04, -1.7e-04, +8.0e-04 
22, 3200, 1.7e-04, -1.7e-04, +3.8e-04 
23, 3300, 1.8e-04, -1.8e-04, +6.6e-04 
24, 3400, 2.0e-04, -2.0e-04, +5.1e-04 
25, 3500, 2.0e-04, -2.0e-04, +1.9e-03 
26, 3600, 2.0e-04, -2.0e-04, +9.7e-04 
27, 3700, 2.1e-04, -2.1e-04, +4.2e-04 
28, 3800, 2.2e-04, -2.1e-04, +4.0e-04 
29, 3900, 2.2e-04, -2.2e-04, +4.6e-04 
30, 4000, 2.3e-04, -2.2e-04, +9.7e-04 
31, 4100, 2.4e-04, -2.4e-04, +5.1e-04 
32, 4200, 2.6e-04, -2.6e-04, +4.9e-04 
33, 4300, 2.4e-04, -2.4e-04, +1.2e-03 
34, 4400, 2.5e-04, -2.5e-04, +1.5e-03 
35, 4500, 2.5e-04, -2.4e-04, +2.0e-03 
36, 4600, 2.6e-04, -2.6e-04, +8.3e-03 
37, 4700, 2.6e-04, -2.6e-04, +1.2e-03 
38, 4800, 2.6e-04, -2.6e-04, +4.5e-04 
39, 4900, 2.8e-04, -2.8e-04, +8.2e-04 
40, 5000, 3.0e-04, -3.0e-04, +1.3e-03 
41, 5100, 3.1e-04, -3.1e-04, +2.9e-02 
42, 5200, 3.2e-04, -3.1e-04, +1.4e-03 
43, 5300, 2.9e-04, -2.9e-04, +1.3e-03 
44, 5400, 3.1e-04, -3.0e-04, +6.4e-04 
45, 5500, 3.0e-04, -3.0e-04, +1.0e-03 
46, 5600, 3.2e-04, -3.2e-04, +6.8e-04 
47, 5700, 3.1e-04, -3.1e-04, +8.9e-04 
48, 5800, 3.4e-04, -3.4e-04, +6.9e-04 
49, 5900, 3.5e-04, -3.5e-04, +1.3e-02 
50, 6000, 3.5e-04, -3.5e-04, +1.3e-03 
51, 6100, 3.6e-04, -3.5e-04, +7.8e-04 
52, 6200, 3.7e-04, -3.7e-04, +1.6e-03 
53, 6300, 3.6e-04, -3.5e-04, +1.2e-03 
54, 6400, 3.6e-04, -3.5e-04, +1.5e-03 
55, 6500, 3.9e-04, -3.8e-04, +8.4e-03 
56, 6600, 3.9e-04, -3.9e-04, +1.8e-03 
57, 6700, 3.9e-04, -3.8e-04, +1.3e-03 
58, 6800, 4.3e-04, -4.2e-04, +2.4e-03 
59, 6900, 4.2e-04, -4.2e-04, +8.7e-04 
60, 7000, 4.2e-04, -4.2e-04, +8.4e-04 
61, 7100, 4.5e-04, -4.4e-04, +4.3e-03 
62, 7200, 4.1e-04, -4.1e-04, +2.5e-03 
63, 7300, 4.8e-04, -4.7e-04, +2.8e-03 
64, 7400, 4.6e-04, -4.5e-04, +2.1e-03 
65, 7500, 4.6e-04, -4.6e-04, +1.4e-03 
66, 7600, 4.5e-04, -4.5e-04, +1.7e-02 
67, 7700, 4.5e-04, -4.5e-04, +1.5e-03 
68, 7800, 4.4e-04, -4.4e-04, +3.0e-03 
