, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 1000, 1.1e-04, -4.8e-05, +1.1e-04 
1, 1100, 2.1e-04, -1.3e-04, +2.7e-04 
2, 1200, 1.3e-04, -7.7e-05, +2.2e-04 
3, 1300, 1.9e-04, -9.9e-05, +2.3e-04 
4, 1400, 1.4e-04, -8.6e-05, +1.9e-04 
5, 1500, 2.4e-04, -9.7e-05, +2.5e-04 
6, 1600, 1.9e-04, -1.4e-04, +1.6e-04 
7, 1700, 2.7e-04, -1.2e-04, +2.9e-04 
8, 1800, 2.4e-04, -1.1e-04, +2.2e-04 
9, 1900, 2.2e-04, -1.5e-04, +5.7e-04 
10, 2000, 4.6e-04, -2.6e-04, +7.3e-04 
11, 2100, 3.5e-04, -1.5e-04, +4.5e-04 
12, 2200, 2.4e-04, -1.5e-04, +2.4e-04 
13, 2300, 2.6e-04, -2.5e-04, +4.1e-03 
14, 2400, 4.1e-04, -3.9e-04, +4.2e-04 
15, 2500, 5.2e-04, -2.6e-04, +5.1e-04 
16, 2600, 5.0e-04, -2.6e-04, +2.1e-02 
17, 2700, 4.8e-04, -2.4e-04, +3.8e-04 
18, 2800, 3.8e-04, -2.4e-04, +1.0e-03 
19, 2900, 5.2e-04, -2.2e-04, +1.3e-03 
20, 3000, 4.4e-04, -2.2e-04, +1.1e-03 
21, 3100, 4.6e-04, -1.9e-04, +8.2e-03 
22, 3200, 3.9e-04, -2.8e-04, +3.9e-04 
23, 3300, 5.9e-04, -2.6e-04, +8.4e-04 
24, 3400, 4.1e-04, -2.4e-04, +5.0e-04 
25, 3500, 6.8e-04, -6.1e-04, +2.3e-03 
26, 3600, 5.2e-04, -4.7e-04, +1.2e-03 
27, 3700, 5.3e-04, -2.2e-04, +4.4e-04 
28, 3800, 4.7e-04, -3.2e-04, +8.2e-04 
29, 3900, 4.7e-04, -2.3e-04, +5.8e-04 
30, 4000, 5.7e-04, -5.3e-04, +4.0e-03 
31, 4100, 4.3e-04, -2.4e-04, +1.2e-02 
32, 4200, 5.8e-04, -4.8e-04, +6.2e-04 
33, 4300, 7.4e-04, -6.3e-04, +9.9e-04 
34, 4400, 5.6e-04, -4.6e-04, +1.6e-03 
35, 4500, 6.0e-04, -5.4e-04, +8.3e-04 
36, 4600, 9.3e-04, -5.9e-04, +1.4e-03 
37, 4700, 1.0e-03, -5.2e-04, +1.6e-03 
38, 4800, 5.1e-04, -4.5e-04, +1.1e-03 
39, 4900, 7.0e-04, -2.2e-04, +1.2e-03 
40, 5000, 6.9e-04, -5.3e-04, +1.6e-03 
41, 5100, 5.0e-04, -3.4e-04, +6.8e-04 
42, 5200, 7.0e-04, -3.8e-04, +1.4e-03 
