, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 1000, 5.9e-08, -5.8e-08, +1.0e-07 
1, 1100, 5.0e-08, -4.9e-08, +1.8e-07 
2, 1200, 5.6e-08, -5.5e-08, +2.4e-07 
3, 1300, 5.2e-08, -5.1e-08, +2.3e-07 
4, 1400, 5.0e-08, -5.0e-08, +1.0e-07 
5, 1500, 5.2e-08, -5.2e-08, +1.1e-07 
6, 1600, 5.3e-08, -5.2e-08, +9.0e-08 
7, 1700, 5.5e-08, -5.3e-08, +1.2e-07 
8, 1800, 5.7e-08, -5.6e-08, +1.2e-07 
9, 1900, 6.0e-08, -5.9e-08, +2.1e-07 
10, 2000, 5.5e-08, -5.4e-08, +1.1e-07 
11, 2100, 4.9e-08, -4.8e-08, +2.8e-07 
12, 2200, 5.3e-08, -5.2e-08, +1.0e-07 
13, 2300, 5.1e-08, -5.0e-08, +1.3e-07 
14, 2400, 5.3e-08, -5.3e-08, +1.1e-07 
15, 2500, 5.4e-08, -5.3e-08, +1.1e-07 
16, 2600, 5.2e-08, -5.2e-08, +1.7e-07 
17, 2700, 5.4e-08, -5.3e-08, +2.7e-07 
18, 2800, 5.9e-08, -5.8e-08, +2.6e-07 
19, 2900, 5.4e-08, -5.4e-08, +1.4e-07 
20, 3000, 5.7e-08, -5.7e-08, +1.3e-07 
21, 3100, 5.4e-08, -5.4e-08, +2.6e-07 
22, 3200, 5.5e-08, -5.4e-08, +1.2e-07 
23, 3300, 5.5e-08, -5.4e-08, +2.0e-07 
24, 3400, 6.0e-08, -5.9e-08, +1.5e-07 
25, 3500, 5.6e-08, -5.6e-08, +5.6e-07 
26, 3600, 5.6e-08, -5.5e-08, +2.7e-07 
27, 3700, 5.6e-08, -5.5e-08, +1.1e-07 
28, 3800, 5.7e-08, -5.6e-08, +1.1e-07 
29, 3900, 5.6e-08, -5.5e-08, +1.2e-07 
30, 4000, 5.6e-08, -5.6e-08, +2.4e-07 
31, 4100, 5.8e-08, -5.7e-08, +1.2e-07 
32, 4200, 6.2e-08, -6.1e-08, +1.2e-07 
33, 4300, 5.5e-08, -5.5e-08, +2.8e-07 
34, 4400, 5.7e-08, -5.6e-08, +3.4e-07 
35, 4500, 5.5e-08, -5.4e-08, +4.5e-07 
36, 4600, 5.7e-08, -5.6e-08, +1.8e-06 
37, 4700, 5.5e-08, -5.4e-08, +2.5e-07 
38, 4800, 5.5e-08, -5.4e-08, +9.3e-08 
39, 4900, 5.7e-08, -5.6e-08, +1.7e-07 
40, 5000, 6.0e-08, -6.0e-08, +2.5e-07 
41, 5100, 6.1e-08, -6.1e-08, +5.6e-06 
42, 5200, 6.1e-08, -6.0e-08, +2.7e-07 
43, 5300, 5.6e-08, -5.5e-08, +2.5e-07 
44, 5400, 5.7e-08, -5.6e-08, +1.2e-07 
45, 5500, 5.5e-08, -5.4e-08, +1.9e-07 
46, 5600, 5.7e-08, -5.6e-08, +1.2e-07 
47, 5700, 5.5e-08, -5.5e-08, +1.6e-07 
48, 5800, 5.9e-08, -5.8e-08, +1.2e-07 
49, 5900, 5.9e-08, -5.9e-08, +2.2e-06 
50, 6000, 5.8e-08, -5.8e-08, +2.1e-07 
51, 6100, 5.8e-08, -5.8e-08, +1.3e-07 
52, 6200, 6.0e-08, -6.0e-08, +2.6e-07 
53, 6300, 5.7e-08, -5.6e-08, +1.8e-07 
54, 6400, 5.5e-08, -5.5e-08, +2.3e-07 
55, 6500, 5.9e-08, -5.9e-08, +1.3e-06 
56, 6600, 5.9e-08, -5.8e-08, +2.7e-07 
57, 6700, 5.8e-08, -5.7e-08, +2.0e-07 
58, 6800, 6.3e-08, -6.2e-08, +3.5e-07 
59, 6900, 6.1e-08, -6.0e-08, +1.3e-07 
60, 7000, 6.0e-08, -6.0e-08, +1.2e-07 
61, 7100, 6.3e-08, -6.3e-08, +6.0e-07 
62, 7200, 5.7e-08, -5.7e-08, +3.5e-07 
63, 7300, 6.5e-08, -6.5e-08, +3.8e-07 
64, 7400, 6.2e-08, -6.1e-08, +2.8e-07 
65, 7500, 6.1e-08, -6.1e-08, +1.9e-07 
66, 7600, 6.0e-08, -5.9e-08, +2.3e-06 
67, 7700, 5.9e-08, -5.8e-08, +2.0e-07 
68, 7800, 5.7e-08, -5.7e-08, +3.8e-07 
69, 7900, 6.0e-08, -5.9e-08, +1.7e-07 
70, 8000, 5.9e-08, -5.9e-08, +1.7e-07 
71, 8100, 6.3e-08, -6.2e-08, +3.6e-06 
72, 8200, 6.0e-08, -6.0e-08, +1.6e-07 
73, 8300, 5.9e-08, -5.9e-08, +1.3e-07 
74, 8400, 5.8e-08, -5.7e-08, +2.3e-07 
75, 8500, 6.0e-08, -6.0e-08, +1.2e-07 
76, 8600, 6.0e-08, -5.9e-08, +2.1e-06 
77, 8700, 5.9e-08, -5.8e-08, +1.8e-07 
78, 8800, 6.0e-08, -6.0e-08, +1.2e-07 
79, 8900, 6.1e-08, -6.1e-08, +1.3e-07 
80, 9000, 6.0e-08, -5.9e-08, +2.5e-07 
81, 9100, 5.6e-08, -5.6e-08, +2.0e-07 
82, 9200, 6.0e-08, -5.9e-08, +1.2e-07 
83, 9300, 6.0e-08, -6.0e-08, +2.4e-07 
84, 9400, 5.8e-08, -5.7e-08, +2.9e-07 
85, 9500, 5.8e-08, -5.8e-08, +1.1e-07 
86, 9600, 5.7e-08, -5.7e-08, +2.0e-07 
87, 9700, 6.1e-08, -6.1e-08, +2.7e-07 
88, 9800, 5.9e-08, -5.9e-08, +2.6e-07 
89, 9900, 5.9e-08, -5.9e-08, +5.0e-07 
90, 10000, 6.1e-08, -6.1e-08, +1.5e-07 
