, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 1000, 1.1e-07, -4.8e-08, +1.1e-07 
1, 1100, 1.9e-07, -1.2e-07, +2.5e-07 
2, 1200, 1.1e-07, -6.4e-08, +1.8e-07 
3, 1300, 1.5e-07, -7.7e-08, +1.8e-07 
4, 1400, 9.7e-08, -6.1e-08, +1.3e-07 
5, 1500, 1.6e-07, -6.5e-08, +1.7e-07 
6, 1600, 1.2e-07, -8.5e-08, +9.7e-08 
7, 1700, 1.6e-07, -7.1e-08, +1.7e-07 
8, 1800, 1.3e-07, -6.4e-08, +1.2e-07 
9, 1900, 1.2e-07, -7.9e-08, +3.0e-07 
10, 2000, 2.3e-07, -1.3e-07, +3.7e-07 
11, 2100, 1.7e-07, -7.1e-08, +2.1e-07 
12, 2200, 1.1e-07, -6.8e-08, +1.1e-07 
13, 2300, 1.1e-07, -1.1e-07, +1.8e-06 
14, 2400, 1.7e-07, -1.6e-07, +1.7e-07 
15, 2500, 2.1e-07, -1.0e-07, +2.0e-07 
16, 2600, 1.9e-07, -9.9e-08, +7.9e-06 
17, 2700, 1.8e-07, -8.9e-08, +1.4e-07 
18, 2800, 1.4e-07, -8.5e-08, +3.6e-07 
19, 2900, 1.8e-07, -7.6e-08, +4.6e-07 
20, 3000, 1.5e-07, -7.3e-08, +3.6e-07 
21, 3100, 1.5e-07, -6.1e-08, +2.6e-06 
22, 3200, 1.2e-07, -8.8e-08, +1.2e-07 
23, 3300, 1.8e-07, -7.9e-08, +2.6e-07 
24, 3400, 1.2e-07, -6.9e-08, +1.5e-07 
25, 3500, 1.9e-07, -1.8e-07, +6.7e-07 
26, 3600, 1.4e-07, -1.3e-07, +3.4e-07 
27, 3700, 1.4e-07, -6.1e-08, +1.2e-07 
28, 3800, 1.2e-07, -8.4e-08, +2.2e-07 
29, 3900, 1.2e-07, -5.8e-08, +1.5e-07 
30, 4000, 1.4e-07, -1.3e-07, +1.0e-06 
31, 4100, 1.0e-07, -5.8e-08, +3.0e-06 
32, 4200, 1.4e-07, -1.2e-07, +1.5e-07 
33, 4300, 1.7e-07, -1.5e-07, +2.3e-07 
34, 4400, 1.3e-07, -1.1e-07, +3.6e-07 
35, 4500, 1.3e-07, -1.2e-07, +1.8e-07 
36, 4600, 2.0e-07, -1.3e-07, +3.1e-07 
37, 4700, 2.2e-07, -1.1e-07, +3.5e-07 
38, 4800, 1.1e-07, -9.3e-08, +2.3e-07 
39, 4900, 1.4e-07, -4.6e-08, +2.5e-07 
40, 5000, 1.4e-07, -1.1e-07, +3.2e-07 
41, 5100, 9.8e-08, -6.7e-08, +1.3e-07 
42, 5200, 1.4e-07, -7.3e-08, +2.8e-07 
43, 5300, 2.2e-07, -1.1e-07, +2.8e-07 
44, 5400, 1.5e-07, -6.9e-08, +1.6e-07 
45, 5500, 1.6e-07, -1.3e-07, +3.8e-07 
46, 5600, 1.3e-07, -5.9e-08, +2.0e-07 
47, 5700, 1.3e-07, -5.1e-08, +1.4e-07 
48, 5800, 1.1e-07, -8.6e-08, +1.5e-07 
49, 5900, 1.9e-07, -1.8e-07, +2.9e-07 
50, 6000, 1.3e-07, -6.2e-08, +1.7e-07 
51, 6100, 1.4e-07, -4.3e-08, +1.7e-07 
52, 6200, 2.7e-07, -2.7e-07, +7.3e-07 
53, 6300, 1.8e-07, -7.9e-08, +2.5e-07 
54, 6400, 1.4e-07, -7.1e-08, +2.7e-07 
55, 6500, 3.3e-07, -3.0e-07, +6.6e-07 
56, 6600, 1.4e-07, -7.0e-08, +1.6e-07 
57, 6700, 1.3e-07, -1.3e-07, +3.5e-07 
58, 6800, 1.9e-07, -9.0e-08, +3.0e-07 
59, 6900, 1.0e-07, -7.9e-08, +2.6e-06 
60, 7000, 2.8e-07, -1.7e-07, +3.3e-07 
61, 7100, 1.3e-07, -4.5e-08, +1.9e-07 
62, 7200, 1.4e-07, -5.1e-08, +3.1e-07 
63, 7300, 1.4e-07, -5.2e-08, +3.9e-07 
64, 7400, 3.2e-07, -2.1e-07, +2.3e-06 
65, 7500, 2.4e-07, -2.1e-07, +4.4e-07 
66, 7600, 2.0e-07, -1.7e-07, +1.7e-07 
67, 7700, 2.6e-07, -1.5e-07, +4.1e-07 
68, 7800, 2.4e-07, -1.3e-07, +1.1e-06 
69, 7900, 1.6e-07, -1.4e-07, +3.2e-07 
70, 8000, 1.4e-07, -5.2e-08, +2.0e-07 
71, 8100, 1.3e-07, -1.2e-07, +4.4e-07 
72, 8200, 2.0e-07, -9.6e-08, +1.7e-07 
73, 8300, 1.5e-07, -7.0e-08, +1.6e-06 
74, 8400, 1.7e-07, -9.0e-08, +3.4e-07 
75, 8500, 2.4e-07, -1.2e-07, +4.3e-07 
76, 8600, 1.2e-07, -1.0e-07, +1.2e-07 
77, 8700, 1.4e-07, -6.1e-08, +2.4e-07 
78, 8800, 1.7e-07, -1.4e-07, +1.3e-07 
79, 8900, 2.1e-07, -1.4e-07, +2.2e-07 
80, 9000, 2.5e-07, -1.5e-07, +2.3e-06 
81, 9100, 2.2e-07, -1.1e-07, +1.8e-07 
82, 9200, 3.6e-07, -2.5e-07, +4.2e-07 
83, 9300, 3.4e-07, -2.3e-07, +5.6e-07 
84, 9400, 1.3e-07, -4.9e-08, +3.2e-07 
85, 9500, 1.3e-07, -4.9e-08, +1.4e-07 
86, 9600, 1.1e-07, -6.9e-08, +1.2e-07 
87, 9700, 1.5e-07, -7.5e-08, +3.2e-07 
88, 9800, 2.1e-07, -1.0e-07, +1.3e-06 
89, 9900, 2.0e-07, -8.9e-08, +2.6e-07 
90, 10000, 2.6e-07, -1.5e-07, +2.5e-07 
