, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 1000, 4.9e-05, -4.8e-05, +1.3e-04 
1, 1100, 5.6e-05, -5.5e-05, +1.2e-04 
2, 1200, 5.2e-05, -5.1e-05, +1.0e-04 
3, 1300, 6.0e-05, -5.9e-05, +1.3e-04 
4, 1400, 6.7e-05, -6.6e-05, +2.2e-04 
5, 1500, 6.9e-05, -6.7e-05, +3.6e-04 
6, 1600, 7.7e-05, -7.6e-05, +2.9e-04 
7, 1700, 7.4e-05, -7.2e-05, +1.7e-04 
8, 1800, 7.5e-05, -7.4e-05, +1.7e-04 
9, 1900, 8.0e-05, -7.9e-05, +1.9e-04 
10, 2000, 8.7e-05, -8.6e-05, +2.0e-04 
11, 2100, 9.0e-05, -8.8e-05, +2.7e-04 
12, 2200, 9.7e-05, -9.5e-05, +3.7e-04 
13, 2300, 1.0e-04, -9.9e-05, +2.8e-04 
14, 2400, 1.1e-04, -1.1e-04, +2.2e-04 
15, 2500, 1.0e-04, -1.0e-04, +2.0e-04 
16, 2600, 1.0e-04, -1.0e-04, +2.4e-04 
17, 2700, 1.1e-04, -1.0e-04, +8.3e-03 
18, 2800, 1.2e-04, -1.2e-04, +2.0e-04 
19, 2900, 1.1e-04, -1.1e-04, +2.9e-04 
20, 3000, 1.2e-04, -1.2e-04, +3.2e-04 
21, 3100, 1.2e-04, -1.2e-04, +5.8e-04 
22, 3200, 1.3e-04, -1.2e-04, +2.6e-04 
23, 3300, 1.4e-04, -1.4e-04, +2.8e-04 
24, 3400, 1.2e-04, -1.2e-04, +2.9e-04 
25, 3500, 1.3e-04, -1.3e-04, +2.9e-04 
26, 3600, 1.3e-04, -1.3e-04, +3.1e-04 
27, 3700, 1.4e-04, -1.4e-04, +3.0e-04 
28, 3800, 1.5e-04, -1.5e-04, +3.9e-04 
29, 3900, 1.6e-04, -1.5e-04, +8.2e-03 
30, 4000, 1.4e-04, -1.4e-04, +3.1e-04 
31, 4100, 1.5e-04, -1.5e-04, +5.0e-04 
32, 4200, 1.5e-04, -1.5e-04, +2.2e-04 
33, 4300, 1.5e-04, -1.5e-04, +3.2e-04 
34, 4400, 1.7e-04, -1.7e-04, +4.1e-04 
35, 4500, 1.6e-04, -1.6e-04, +6.8e-04 
36, 4600, 1.7e-04, -1.7e-04, +4.1e-04 
37, 4700, 1.7e-04, -1.7e-04, +3.3e-04 
38, 4800, 1.7e-04, -1.7e-04, +3.2e-04 
39, 4900, 1.8e-04, -1.8e-04, +4.0e-04 
40, 5000, 1.8e-04, -1.8e-04, +8.7e-04 
41, 5100, 1.8e-04, -1.7e-04, +3.6e-04 
42, 5200, 1.8e-04, -1.8e-04, +6.6e-04 
43, 5300, 1.8e-04, -1.8e-04, +6.9e-04 
44, 5400, 1.9e-04, -1.9e-04, +8.3e-04 
45, 5500, 1.8e-04, -1.8e-04, +4.0e-04 
