, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 1000, 1.6e-04, -7.0e-05, +2.4e-04 
1, 1100, 1.3e-04, -7.7e-05, +2.8e-02 
2, 1200, 1.9e-04, -9.7e-05, +2.1e-04 
3, 1300, 2.1e-04, -1.6e-04, +2.5e-04 
4, 1400, 3.7e-04, -3.6e-04, +5.9e-04 
5, 1500, 1.5e-04, -9.3e-05, +2.7e-04 
6, 1600, 1.8e-04, -1.6e-04, +3.5e-04 
7, 1700, 2.7e-04, -1.3e-04, +2.3e-04 
8, 1800, 3.0e-04, -2.8e-04, +3.7e-04 
9, 1900, 1.8e-04, -6.0e-05, +2.4e-04 
10, 2000, 2.6e-04, -1.2e-04, +2.9e-04 
11, 2100, 2.0e-04, -1.2e-04, +3.0e-04 
12, 2200, 1.8e-04, -8.1e-05, +3.8e-04 
13, 2300, 2.2e-04, -2.1e-04, +2.8e-04 
14, 2400, 2.4e-04, -1.5e-04, +4.7e-04 
15, 2500, 2.6e-04, -1.5e-04, +3.4e-04 
16, 2600, 3.7e-04, -2.0e-04, +8.1e-04 
17, 2700, 2.1e-04, -1.9e-04, +3.5e-04 
18, 2800, 2.4e-04, -1.3e-04, +4.6e-04 
19, 2900, 4.6e-04, -2.7e-04, +1.2e-02 
20, 3000, 6.0e-04, -3.8e-04, +1.0e-03 
21, 3100, 2.7e-04, -2.0e-04, +5.1e-04 
22, 3200, 2.8e-04, -1.7e-04, +4.4e-04 
23, 3300, 3.1e-04, -9.1e-05, +3.1e-04 
24, 3400, 5.3e-04, -3.0e-04, +1.7e-02 
25, 3500, 2.6e-04, -1.5e-04, +2.6e-04 
26, 3600, 3.3e-04, -8.6e-05, +7.5e-04 
27, 3700, 3.1e-04, -2.4e-04, +3.6e-04 
28, 3800, 2.9e-04, -2.0e-04, +3.0e-04 
29, 3900, 8.7e-04, -6.2e-04, +8.2e-04 
30, 4000, 3.1e-04, -1.7e-04, +3.4e-04 
31, 4100, 3.0e-04, -1.8e-04, +6.8e-04 
32, 4200, 5.9e-04, -3.0e-04, +7.8e-04 
33, 4300, 3.8e-04, -1.5e-04, +3.2e-04 
34, 4400, 3.4e-04, -1.8e-04, +2.5e-02 
35, 4500, 3.7e-04, -1.7e-04, +5.3e-04 
36, 4600, 3.8e-04, -1.6e-04, +5.8e-04 
37, 4700, 4.0e-04, -2.2e-04, +3.9e-04 
38, 4800, 6.2e-04, -3.0e-04, +9.2e-03 
39, 4900, 3.4e-04, -3.1e-04, +4.7e-04 
40, 5000, 4.1e-04, -3.2e-04, +9.4e-04 
41, 5100, 3.9e-04, -2.7e-04, +6.6e-04 
42, 5200, 3.7e-04, -2.0e-04, +7.4e-04 
43, 5300, 3.7e-04, -1.7e-04, +5.4e-04 
44, 5400, 4.1e-04, -1.8e-04, +1.1e-03 
45, 5500, 3.8e-04, -1.7e-04, +1.2e-02 
46, 5600, 4.5e-04, -1.2e-04, +1.2e-02 
47, 5700, 5.8e-04, -2.3e-04, +1.1e-03 
48, 5800, 3.7e-04, -2.7e-04, +6.1e-04 
49, 5900, 4.2e-04, -3.8e-04, +4.5e-03 
50, 6000, 4.0e-04, -2.3e-04, +4.0e-04 
51, 6100, 5.3e-04, -1.7e-04, +1.8e-03 
52, 6200, 4.6e-04, -2.6e-04, +8.7e-04 
53, 6300, 4.7e-04, -1.8e-04, +1.3e-02 
54, 6400, 4.7e-04, -1.1e-04, +1.3e-03 
55, 6500, 5.0e-04, -1.2e-04, +5.2e-04 
56, 6600, 4.2e-04, -2.9e-04, +5.7e-04 
57, 6700, 7.2e-04, -6.9e-04, +2.3e-03 
58, 6800, 4.5e-04, -1.4e-04, +4.9e-04 
59, 6900, 4.4e-04, -1.6e-04, +7.3e-04 
60, 7000, 4.6e-04, -1.0e-04, +1.7e-03 
61, 7100, 5.6e-04, -4.0e-04, +9.9e-04 
62, 7200, 5.5e-04, -4.3e-04, +6.1e-04 
63, 7300, 4.3e-04, -3.4e-04, +1.1e-03 
64, 7400, 4.9e-04, -1.7e-04, +7.8e-04 
65, 7500, 4.8e-04, -2.6e-04, +8.1e-04 
66, 7600, 6.6e-04, -2.6e-04, +1.4e-03 
67, 7700, 6.7e-04, -3.4e-04, +2.1e-03 
68, 7800, 7.2e-04, -3.1e-04, +2.2e-03 
69, 7900, 5.2e-04, -3.2e-04, +1.4e-03 
70, 8000, 4.6e-04, -2.0e-04, +8.3e-03 
71, 8100, 6.4e-04, -5.0e-04, +2.1e-03 
72, 8200, 4.6e-04, -2.9e-04, +4.1e-02 
73, 8300, 4.7e-04, -2.0e-04, +4.9e-02 
74, 8400, 6.9e-04, -6.5e-04, +6.5e-02 
75, 8500, 7.2e-04, -4.0e-04, +4.8e-02 
