, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 1000, 4.9e-08, -4.8e-08, +1.3e-07 
1, 1100, 5.1e-08, -5.0e-08, +1.1e-07 
2, 1200, 4.4e-08, -4.2e-08, +8.7e-08 
3, 1300, 4.6e-08, -4.5e-08, +1.0e-07 
4, 1400, 4.8e-08, -4.7e-08, +1.6e-07 
5, 1500, 4.6e-08, -4.5e-08, +2.4e-07 
6, 1600, 4.8e-08, -4.8e-08, +1.8e-07 
7, 1700, 4.3e-08, -4.2e-08, +9.9e-08 
8, 1800, 4.1e-08, -4.1e-08, +9.2e-08 
9, 1900, 4.2e-08, -4.2e-08, +1.0e-07 
10, 2000, 4.3e-08, -4.3e-08, +1.0e-07 
11, 2100, 4.3e-08, -4.2e-08, +1.3e-07 
12, 2200, 4.4e-08, -4.3e-08, +1.7e-07 
13, 2300, 4.3e-08, -4.3e-08, +1.2e-07 
14, 2400, 4.7e-08, -4.6e-08, +9.3e-08 
15, 2500, 4.1e-08, -4.1e-08, +8.2e-08 
16, 2600, 3.9e-08, -3.9e-08, +9.3e-08 
17, 2700, 3.9e-08, -3.9e-08, +3.1e-06 
18, 2800, 4.2e-08, -4.1e-08, +7.0e-08 
19, 2900, 3.9e-08, -3.8e-08, +9.9e-08 
20, 3000, 4.0e-08, -4.0e-08, +1.1e-07 
21, 3100, 4.0e-08, -4.0e-08, +1.9e-07 
22, 3200, 3.9e-08, -3.9e-08, +8.0e-08 
23, 3300, 4.2e-08, -4.2e-08, +8.4e-08 
24, 3400, 3.6e-08, -3.5e-08, +8.5e-08 
25, 3500, 3.8e-08, -3.8e-08, +8.3e-08 
26, 3600, 3.6e-08, -3.6e-08, +8.7e-08 
27, 3700, 3.7e-08, -3.7e-08, +8.1e-08 
28, 3800, 3.9e-08, -3.9e-08, +1.0e-07 
29, 3900, 4.0e-08, -4.0e-08, +2.1e-06 
30, 4000, 3.4e-08, -3.4e-08, +7.6e-08 
31, 4100, 3.6e-08, -3.6e-08, +1.2e-07 
32, 4200, 3.7e-08, -3.6e-08, +5.3e-08 
33, 4300, 3.5e-08, -3.5e-08, +7.5e-08 
34, 4400, 3.9e-08, -3.8e-08, +9.3e-08 
35, 4500, 3.6e-08, -3.6e-08, +1.5e-07 
36, 4600, 3.7e-08, -3.6e-08, +8.9e-08 
37, 4700, 3.6e-08, -3.6e-08, +7.0e-08 
38, 4800, 3.6e-08, -3.6e-08, +6.8e-08 
39, 4900, 3.7e-08, -3.7e-08, +8.2e-08 
40, 5000, 3.6e-08, -3.6e-08, +1.7e-07 
41, 5100, 3.5e-08, -3.4e-08, +7.1e-08 
42, 5200, 3.4e-08, -3.4e-08, +1.3e-07 
43, 5300, 3.5e-08, -3.5e-08, +1.3e-07 
44, 5400, 3.6e-08, -3.6e-08, +1.5e-07 
45, 5500, 3.4e-08, -3.3e-08, +7.3e-08 
46, 5600, 3.4e-08, -3.3e-08, +1.7e-07 
47, 5700, 3.4e-08, -3.4e-08, +4.6e-08 
48, 5800, 3.3e-08, -3.3e-08, +6.7e-08 
49, 5900, 3.2e-08, -3.2e-08, +8.0e-08 
50, 6000, 3.3e-08, -3.3e-08, +1.5e-07 
51, 6100, 3.1e-08, -3.1e-08, +6.3e-08 
52, 6200, 3.2e-08, -3.2e-08, +1.0e-07 
53, 6300, 3.3e-08, -3.3e-08, +7.7e-08 
54, 6400, 3.1e-08, -3.1e-08, +7.5e-08 
55, 6500, 3.2e-08, -3.2e-08, +6.4e-08 
56, 6600, 3.1e-08, -3.1e-08, +5.8e-08 
57, 6700, 2.9e-08, -2.9e-08, +7.3e-08 
58, 6800, 3.2e-08, -3.2e-08, +6.1e-08 
59, 6900, 3.1e-08, -3.1e-08, +1.8e-07 
60, 7000, 2.9e-08, -2.9e-08, +6.5e-08 
61, 7100, 3.6e-08, -3.6e-08, +6.0e-07 
62, 7200, 3.7e-08, -3.6e-08, +6.3e-08 
63, 7300, 2.8e-08, -2.8e-08, +5.5e-08 
64, 7400, 2.9e-08, -2.9e-08, +1.1e-07 
65, 7500, 3.4e-08, -3.3e-08, +1.8e-07 
66, 7600, 3.5e-08, -3.4e-08, +5.7e-08 
67, 7700, 3.5e-08, -3.5e-08, +1.2e-07 
68, 7800, 3.7e-08, -3.7e-08, +1.3e-07 
69, 7900, 3.1e-08, -3.1e-08, +1.6e-06 
70, 8000, 3.0e-08, -3.0e-08, +2.6e-06 
71, 8100, 3.2e-08, -3.1e-08, +1.4e-07 
72, 8200, 2.8e-08, -2.7e-08, +4.9e-06 
73, 8300, 3.0e-08, -3.0e-08, +8.7e-06 
74, 8400, 3.2e-08, -3.2e-08, +4.9e-06 
75, 8500, 3.5e-08, -3.5e-08, +4.8e-06 
76, 8600, 2.8e-08, -2.8e-08, +4.7e-06 
77, 8700, 2.7e-08, -2.7e-08, +4.7e-06 
78, 8800, 2.8e-08, -2.8e-08, +4.6e-06 
79, 8900, 2.6e-08, -2.6e-08, +4.6e-06 
80, 9000, 2.5e-08, -2.5e-08, +4.6e-06 
81, 9100, 2.5e-08, -2.5e-08, +6.2e-06 
82, 9200, 2.7e-08, -2.7e-08, +4.4e-06 
83, 9300, 2.5e-08, -2.5e-08, +4.4e-06 
84, 9400, 2.5e-08, -2.5e-08, +4.3e-06 
85, 9500, 2.6e-08, -2.6e-08, +4.2e-06 
86, 9600, 2.6e-08, -2.5e-08, +4.3e-06 
87, 9700, 2.5e-08, -2.5e-08, +4.2e-06 
88, 9800, 2.6e-08, -2.6e-08, +4.2e-06 
89, 9900, 2.5e-08, -2.5e-08, +4.1e-06 
90, 10000, 2.5e-08, -2.5e-08, +4.1e-06 
