, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 1000, 1.6e-07, -7.0e-08, +2.4e-07 
1, 1100, 1.2e-07, -7.0e-08, +2.6e-05 
2, 1200, 1.6e-07, -8.0e-08, +1.7e-07 
3, 1300, 1.6e-07, -1.3e-07, +2.0e-07 
4, 1400, 2.7e-07, -2.6e-07, +4.2e-07 
5, 1500, 1.0e-07, -6.2e-08, +1.8e-07 
6, 1600, 1.1e-07, -9.9e-08, +2.2e-07 
7, 1700, 1.6e-07, -7.8e-08, +1.4e-07 
8, 1800, 1.7e-07, -1.5e-07, +2.1e-07 
9, 1900, 9.3e-08, -3.2e-08, +1.3e-07 
10, 2000, 1.3e-07, -6.0e-08, +1.4e-07 
11, 2100, 9.6e-08, -5.7e-08, +1.4e-07 
12, 2200, 8.0e-08, -3.7e-08, +1.7e-07 
13, 2300, 9.5e-08, -9.0e-08, +1.2e-07 
14, 2400, 1.0e-07, -6.4e-08, +2.0e-07 
15, 2500, 1.1e-07, -5.9e-08, +1.4e-07 
16, 2600, 1.4e-07, -7.5e-08, +3.1e-07 
17, 2700, 7.9e-08, -6.9e-08, +1.3e-07 
18, 2800, 8.5e-08, -4.7e-08, +1.7e-07 
19, 2900, 1.6e-07, -9.2e-08, +4.1e-06 
20, 3000, 2.0e-07, -1.3e-07, +3.4e-07 
21, 3100, 8.7e-08, -6.3e-08, +1.6e-07 
22, 3200, 8.7e-08, -5.5e-08, +1.4e-07 
23, 3300, 9.3e-08, -2.8e-08, +9.5e-08 
24, 3400, 1.6e-07, -8.9e-08, +5.0e-06 
25, 3500, 7.5e-08, -4.4e-08, +7.5e-08 
26, 3600, 9.1e-08, -2.4e-08, +2.1e-07 
27, 3700, 8.3e-08, -6.5e-08, +9.8e-08 
28, 3800, 7.6e-08, -5.2e-08, +8.0e-08 
29, 3900, 2.2e-07, -1.6e-07, +2.1e-07 
30, 4000, 7.7e-08, -4.2e-08, +8.5e-08 
31, 4100, 7.3e-08, -4.4e-08, +1.7e-07 
32, 4200, 1.4e-07, -7.2e-08, +1.9e-07 
33, 4300, 8.9e-08, -3.4e-08, +7.4e-08 
34, 4400, 7.7e-08, -4.2e-08, +5.6e-06 
35, 4500, 8.3e-08, -3.8e-08, +1.2e-07 
36, 4600, 8.2e-08, -3.5e-08, +1.3e-07 
37, 4700, 8.5e-08, -4.6e-08, +8.3e-08 
38, 4800, 1.3e-07, -6.3e-08, +1.9e-06 
39, 4900, 7.0e-08, -6.4e-08, +9.7e-08 
40, 5000, 8.3e-08, -6.3e-08, +1.9e-07 
41, 5100, 7.6e-08, -5.3e-08, +1.3e-07 
42, 5200, 7.0e-08, -3.9e-08, +1.4e-07 
43, 5300, 6.9e-08, -3.3e-08, +1.0e-07 
44, 5400, 7.5e-08, -3.3e-08, +2.0e-07 
45, 5500, 7.0e-08, -3.1e-08, +2.2e-06 
46, 5600, 8.1e-08, -2.2e-08, +2.2e-06 
47, 5700, 1.0e-07, -4.0e-08, +1.9e-07 
48, 5800, 6.4e-08, -4.7e-08, +1.1e-07 
49, 5900, 7.2e-08, -6.4e-08, +7.7e-07 
50, 6000, 6.7e-08, -3.9e-08, +6.7e-08 
51, 6100, 8.6e-08, -2.8e-08, +2.9e-07 
52, 6200, 7.4e-08, -4.2e-08, +1.4e-07 
53, 6300, 7.5e-08, -2.8e-08, +2.0e-06 
54, 6400, 7.4e-08, -1.7e-08, +2.0e-07 
55, 6500, 7.6e-08, -1.9e-08, +7.9e-08 
56, 6600, 6.4e-08, -4.3e-08, +8.6e-08 
57, 6700, 1.1e-07, -1.0e-07, +3.5e-07 
58, 6800, 6.7e-08, -2.0e-08, +7.3e-08 
59, 6900, 6.4e-08, -2.3e-08, +1.1e-07 
60, 7000, 6.6e-08, -1.5e-08, +2.4e-07 
61, 7100, 7.9e-08, -5.7e-08, +1.4e-07 
62, 7200, 7.7e-08, -6.0e-08, +8.4e-08 
63, 7300, 5.9e-08, -4.7e-08, +1.5e-07 
64, 7400, 6.6e-08, -2.3e-08, +1.1e-07 
65, 7500, 6.4e-08, -3.5e-08, +1.1e-07 
66, 7600, 8.7e-08, -3.5e-08, +1.8e-07 
67, 7700, 8.7e-08, -4.4e-08, +2.8e-07 
68, 7800, 9.2e-08, -3.9e-08, +2.9e-07 
69, 7900, 6.6e-08, -4.1e-08, +1.8e-07 
70, 8000, 5.8e-08, -2.5e-08, +1.0e-06 
71, 8100, 7.8e-08, -6.2e-08, +2.6e-07 
72, 8200, 5.6e-08, -3.5e-08, +4.9e-06 
73, 8300, 5.7e-08, -2.5e-08, +5.9e-06 
74, 8400, 8.2e-08, -7.7e-08, +7.7e-06 
75, 8500, 8.4e-08, -4.8e-08, +5.7e-06 
76, 8600, 5.7e-08, -2.6e-08, +4.8e-06 
77, 8700, 6.0e-08, -2.3e-08, +4.8e-06 
78, 8800, 5.4e-08, -1.3e-08, +5.5e-06 
79, 8900, 5.5e-08, -1.1e-08, +4.7e-06 
80, 9000, 5.9e-08, -2.3e-08, +4.6e-06 
81, 9100, 5.8e-08, -1.3e-08, +5.3e-06 
82, 9200, 6.0e-08, -1.4e-08, +4.6e-06 
83, 9300, 4.9e-08, -3.0e-08, +4.4e-06 
84, 9400, 5.7e-08, -1.6e-08, +5.2e-06 
85, 9500, 5.5e-08, -1.4e-08, +6.8e-06 
86, 9600, 5.2e-08, -1.3e-08, +4.3e-06 
87, 9700, 5.0e-08, -1.1e-08, +4.6e-06 
88, 9800, 5.3e-08, -5.1e-08, +6.6e-06 
89, 9900, 4.9e-08, -3.7e-08, +4.1e-06 
90, 10000, 5.3e-08, -3.1e-08, +4.2e-06 
