, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 1000, 3.4e-08, -3.3e-08, +1.0e-07 
1, 1100, 3.7e-08, -3.7e-08, +9.4e-08 
2, 1200, 2.7e-08, -2.7e-08, +1.0e-07 
3, 1300, 2.7e-08, -2.7e-08, +1.1e-07 
4, 1400, 4.2e-08, -4.2e-08, +9.1e-08 
5, 1500, 3.8e-08, -3.8e-08, +1.1e-07 
6, 1600, 3.6e-08, -3.6e-08, +1.6e-07 
7, 1700, 3.1e-08, -3.1e-08, +6.8e-08 
8, 1800, 3.4e-08, -3.4e-08, +8.5e-08 
9, 1900, 3.2e-08, -3.2e-08, +8.9e-08 
10, 2000, 3.3e-08, -3.3e-08, +1.1e-07 
11, 2100, 3.1e-08, -3.0e-08, +1.3e-07 
12, 2200, 3.2e-08, -3.2e-08, +1.1e-07 
13, 2300, 3.0e-08, -3.0e-08, +8.1e-08 
14, 2400, 3.3e-08, -3.2e-08, +2.3e-07 
15, 2500, 3.2e-08, -3.2e-08, +8.9e-08 
16, 2600, 3.4e-08, -3.4e-08, +8.4e-08 
17, 2700, 3.5e-08, -3.5e-08, +8.1e-08 
18, 2800, 3.2e-08, -3.2e-08, +9.8e-08 
19, 2900, 3.3e-08, -3.3e-08, +9.0e-08 
20, 3000, 3.5e-08, -3.5e-08, +7.9e-08 
21, 3100, 3.8e-08, -3.7e-08, +1.5e-07 
22, 3200, 3.4e-08, -3.4e-08, +9.2e-08 
23, 3300, 3.5e-08, -3.5e-08, +2.4e-07 
24, 3400, 3.6e-08, -3.6e-08, +1.4e-07 
25, 3500, 3.6e-08, -3.6e-08, +8.1e-08 
26, 3600, 3.5e-08, -3.5e-08, +7.9e-06 
27, 3700, 3.8e-08, -3.8e-08, +1.0e-07 
28, 3800, 3.7e-08, -3.7e-08, +8.1e-08 
29, 3900, 3.6e-08, -3.6e-08, +1.7e-07 
30, 4000, 3.6e-08, -3.6e-08, +7.8e-08 
31, 4100, 3.7e-08, -3.7e-08, +9.7e-08 
32, 4200, 3.7e-08, -3.7e-08, +2.5e-07 
33, 4300, 3.8e-08, -3.8e-08, +1.6e-07 
34, 4400, 3.6e-08, -3.6e-08, +7.3e-08 
35, 4500, 3.8e-08, -3.8e-08, +1.0e-07 
36, 4600, 3.8e-08, -3.8e-08, +8.4e-08 
37, 4700, 4.0e-08, -3.9e-08, +8.1e-08 
38, 4800, 3.9e-08, -3.8e-08, +1.1e-07 
39, 4900, 4.2e-08, -4.2e-08, +1.2e-07 
40, 5000, 3.9e-08, -3.8e-08, +1.0e-07 
41, 5100, 3.9e-08, -3.9e-08, +8.3e-08 
42, 5200, 3.6e-08, -3.6e-08, +8.3e-08 
43, 5300, 4.0e-08, -3.9e-08, +9.6e-08 
44, 5400, 3.5e-08, -3.5e-08, +2.8e-07 
45, 5500, 3.8e-08, -3.8e-08, +8.6e-08 
46, 5600, 3.8e-08, -3.8e-08, +4.8e-07 
47, 5700, 3.7e-08, -3.7e-08, +1.2e-07 
48, 5800, 3.9e-08, -3.9e-08, +3.3e-07 
49, 5900, 4.2e-08, -4.2e-08, +2.9e-07 
50, 6000, 4.3e-08, -4.3e-08, +2.1e-07 
51, 6100, 3.7e-08, -3.7e-08, +1.7e-07 
52, 6200, 4.0e-08, -4.0e-08, +8.5e-08 
53, 6300, 4.2e-08, -4.2e-08, +2.7e-07 
54, 6400, 3.9e-08, -3.9e-08, +9.2e-08 
55, 6500, 4.0e-08, -4.0e-08, +1.8e-07 
56, 6600, 4.1e-08, -4.0e-08, +4.3e-06 
57, 6700, 3.9e-08, -3.9e-08, +9.1e-08 
