, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 1000, 2.6e-05, -2.6e-05, +2.6e-04 
1, 1100, 3.1e-05, -3.1e-05, +1.2e-04 
2, 1200, 3.2e-05, -3.2e-05, +1.9e-04 
3, 1300, 3.7e-05, -3.6e-05, +4.4e-02 
4, 1400, 4.0e-05, -4.0e-05, +4.0e-02 
5, 1500, 4.9e-05, -4.9e-05, +4.8e-02 
6, 1600, 5.2e-05, -5.2e-05, +4.1e-04 
7, 1700, 5.3e-05, -5.3e-05, +4.1e-02 
8, 1800, 6.0e-05, -6.0e-05, +3.7e-04 
9, 1900, 5.2e-05, -5.2e-05, +4.0e-02 
10, 2000, 6.9e-05, -6.8e-05, +3.7e-04 
11, 2100, 7.4e-05, -7.3e-05, +5.6e-04 
12, 2200, 6.8e-05, -6.8e-05, +3.7e-04 
13, 2300, 7.1e-05, -7.1e-05, +6.8e-02 
14, 2400, 7.1e-05, -7.1e-05, +4.1e-02 
15, 2500, 8.3e-05, -8.3e-05, +4.0e-02 
16, 2600, 1.0e-04, -1.0e-04, +4.0e-04 
17, 2700, 9.2e-05, -9.2e-05, +4.0e-02 
18, 2800, 8.7e-05, -8.7e-05, +6.5e-02 
19, 2900, 1.1e-04, -1.1e-04, +3.6e-02 
20, 3000, 1.1e-04, -1.1e-04, +7.2e-04 
21, 3100, 1.2e-04, -1.2e-04, +4.1e-02 
22, 3200, 1.2e-04, -1.2e-04, +4.0e-02 
23, 3300, 1.1e-04, -1.1e-04, +4.0e-02 
24, 3400, 1.2e-04, -1.2e-04, +3.3e-02 
25, 3500, 1.2e-04, -1.2e-04, +4.0e-02 
26, 3600, 1.3e-04, -1.3e-04, +4.1e-02 
27, 3700, 1.3e-04, -1.3e-04, +4.0e-02 
28, 3800, 1.3e-04, -1.3e-04, +6.4e-04 
29, 3900, 1.4e-04, -1.4e-04, +4.9e-02 
30, 4000, 1.4e-04, -1.3e-04, +6.8e-04 
31, 4100, 1.4e-04, -1.4e-04, +9.4e-04 
32, 4200, 1.5e-04, -1.5e-04, +4.1e-02 
