, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 1000, 2.5e-05, -2.4e-05, +4.0e-02 
1, 1100, 2.7e-05, -2.6e-05, +1.1e-04 
2, 1200, 2.9e-05, -2.9e-05, +4.8e-02 
3, 1300, 3.5e-05, -3.4e-05, +1.4e-04 
4, 1400, 4.0e-05, -3.9e-05, +2.7e-04 
5, 1500, 5.0e-05, -4.9e-05, +1.3e-04 
6, 1600, 5.1e-05, -5.1e-05, +5.6e-02 
7, 1700, 5.0e-05, -5.0e-05, +4.8e-02 
8, 1800, 5.8e-05, -5.8e-05, +4.4e-02 
9, 1900, 5.1e-05, -5.0e-05, +1.5e-04 
10, 2000, 5.9e-05, -5.9e-05, +4.0e-02 
11, 2100, 6.8e-05, -6.7e-05, +5.2e-02 
12, 2200, 6.3e-05, -6.3e-05, +4.0e-02 
13, 2300, 7.3e-05, -7.3e-05, +6.4e-02 
14, 2400, 6.9e-05, -6.8e-05, +4.0e-02 
15, 2500, 7.4e-05, -7.4e-05, +2.5e-04 
16, 2600, 9.2e-05, -9.2e-05, +4.1e-02 
17, 2700, 8.1e-05, -8.1e-05, +4.0e-02 
18, 2800, 8.7e-05, -8.7e-05, +4.1e-02 
19, 2900, 1.0e-04, -1.0e-04, +4.4e-02 
20, 3000, 9.2e-05, -9.1e-05, +4.0e-02 
21, 3100, 1.1e-04, -1.0e-04, +4.0e-02 
22, 3200, 1.0e-04, -9.9e-05, +4.0e-02 
23, 3300, 1.0e-04, -1.0e-04, +4.1e-02 
24, 3400, 1.1e-04, -1.1e-04, +4.1e-02 
25, 3500, 1.1e-04, -1.1e-04, +4.0e-02 
26, 3600, 1.1e-04, -1.1e-04, +4.0e-02 
27, 3700, 1.1e-04, -1.1e-04, +4.1e-02 
28, 3800, 1.2e-04, -1.2e-04, +4.0e-02 
29, 3900, 1.3e-04, -1.3e-04, +4.0e-02 
30, 4000, 1.2e-04, -1.2e-04, +4.1e-02 
31, 4100, 1.3e-04, -1.3e-04, +4.0e-02 
32, 4200, 1.5e-04, -1.4e-04, +4.0e-02 
33, 4300, 1.5e-04, -1.5e-04, +4.1e-02 
34, 4400, 1.8e-04, -1.8e-04, +4.1e-02 
35, 4500, 1.4e-04, -1.4e-04, +4.0e-02 
36, 4600, 1.6e-04, -1.5e-04, +3.6e-04 
37, 4700, 1.6e-04, -1.6e-04, +3.3e-04 
38, 4800, 1.6e-04, -1.6e-04, +4.0e-04 
39, 4900, 1.6e-04, -1.6e-04, +4.4e-03 
40, 5000, 1.7e-04, -1.7e-04, +5.9e-04 
41, 5100, 1.6e-04, -1.6e-04, +1.1e-03 
42, 5200, 1.9e-04, -1.9e-04, +1.1e-03 
43, 5300, 1.8e-04, -1.8e-04, +7.5e-04 
44, 5400, 1.8e-04, -1.8e-04, +1.5e-03 
45, 5500, 1.8e-04, -1.8e-04, +4.1e-04 
46, 5600, 1.9e-04, -1.9e-04, +5.7e-04 
47, 5700, 1.9e-04, -1.9e-04, +5.0e-04 
48, 5800, 2.1e-04, -2.1e-04, +4.4e-04 
49, 5900, 1.9e-04, -1.9e-04, +1.2e-03 
50, 6000, 1.9e-04, -1.9e-04, +1.1e-03 
51, 6100, 1.9e-04, -1.9e-04, +5.2e-04 
52, 6200, 2.0e-04, -2.0e-04, +4.8e-04 
53, 6300, 2.3e-04, -2.3e-04, +1.1e-03 
54, 6400, 2.3e-04, -2.2e-04, +5.2e-04 
