, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 1000, 2.6e-08, -2.6e-08, +2.6e-07 
1, 1100, 2.9e-08, -2.8e-08, +1.1e-07 
2, 1200, 2.7e-08, -2.7e-08, +1.6e-07 
3, 1300, 2.8e-08, -2.8e-08, +3.4e-05 
4, 1400, 2.9e-08, -2.9e-08, +2.9e-05 
5, 1500, 3.3e-08, -3.3e-08, +3.2e-05 
6, 1600, 3.3e-08, -3.2e-08, +2.6e-07 
7, 1700, 3.1e-08, -3.1e-08, +2.4e-05 
8, 1800, 3.3e-08, -3.3e-08, +2.1e-07 
9, 1900, 2.8e-08, -2.7e-08, +2.1e-05 
10, 2000, 3.4e-08, -3.4e-08, +1.8e-07 
11, 2100, 3.5e-08, -3.5e-08, +2.7e-07 
12, 2200, 3.1e-08, -3.1e-08, +1.7e-07 
13, 2300, 3.1e-08, -3.1e-08, +3.0e-05 
14, 2400, 3.0e-08, -2.9e-08, +1.7e-05 
15, 2500, 3.3e-08, -3.3e-08, +1.6e-05 
16, 2600, 3.9e-08, -3.9e-08, +1.6e-07 
17, 2700, 3.4e-08, -3.4e-08, +1.5e-05 
18, 2800, 3.1e-08, -3.1e-08, +2.3e-05 
19, 2900, 3.7e-08, -3.7e-08, +1.3e-05 
20, 3000, 3.7e-08, -3.7e-08, +2.4e-07 
21, 3100, 3.7e-08, -3.7e-08, +1.3e-05 
22, 3200, 3.7e-08, -3.7e-08, +1.3e-05 
23, 3300, 3.4e-08, -3.4e-08, +1.2e-05 
24, 3400, 3.6e-08, -3.6e-08, +9.6e-06 
25, 3500, 3.4e-08, -3.4e-08, +1.2e-05 
26, 3600, 3.5e-08, -3.5e-08, +1.1e-05 
27, 3700, 3.4e-08, -3.4e-08, +1.1e-05 
28, 3800, 3.3e-08, -3.3e-08, +1.7e-07 
29, 3900, 3.6e-08, -3.6e-08, +1.3e-05 
30, 4000, 3.4e-08, -3.4e-08, +1.7e-07 
31, 4100, 3.5e-08, -3.5e-08, +2.3e-07 
32, 4200, 3.6e-08, -3.6e-08, +9.7e-06 
33, 4300, 3.8e-08, -3.8e-08, +9.5e-06 
34, 4400, 4.0e-08, -4.0e-08, +9.2e-06 
35, 4500, 3.7e-08, -3.7e-08, +1.1e-05 
36, 4600, 3.6e-08, -3.6e-08, +8.5e-08 
37, 4700, 3.9e-08, -3.9e-08, +7.6e-08 
38, 4800, 3.6e-08, -3.6e-08, +8.4e-08 
39, 4900, 3.9e-08, -3.9e-08, +2.5e-07 
40, 5000, 3.6e-08, -3.6e-08, +1.5e-07 
41, 5100, 3.7e-08, -3.7e-08, +3.0e-07 
42, 5200, 3.5e-08, -3.5e-08, +1.1e-07 
43, 5300, 3.6e-08, -3.6e-08, +2.1e-07 
44, 5400, 3.7e-08, -3.7e-08, +2.9e-07 
45, 5500, 3.8e-08, -3.8e-08, +1.0e-07 
46, 5600, 3.6e-08, -3.6e-08, +1.0e-07 
47, 5700, 3.5e-08, -3.5e-08, +1.2e-07 
48, 5800, 3.7e-08, -3.7e-08, +2.1e-06 
49, 5900, 3.9e-08, -3.9e-08, +1.9e-07 
50, 6000, 3.5e-08, -3.5e-08, +9.5e-08 
51, 6100, 3.6e-08, -3.6e-08, +9.7e-08 
52, 6200, 3.5e-08, -3.5e-08, +7.0e-07 
53, 6300, 3.9e-08, -3.9e-08, +1.3e-06 
54, 6400, 3.9e-08, -3.9e-08, +9.9e-08 
55, 6500, 4.6e-08, -4.6e-08, +6.8e-06 
56, 6600, 4.7e-08, -4.7e-08, +6.4e-06 
57, 6700, 4.0e-08, -4.0e-08, +1.0e-05 
58, 6800, 4.0e-08, -4.0e-08, +5.9e-06 
59, 6900, 4.0e-08, -4.0e-08, +6.0e-06 
60, 7000, 3.9e-08, -3.9e-08, +7.0e-06 
61, 7100, 6.1e-08, -6.1e-08, +6.4e-06 
62, 7200, 6.3e-08, -6.3e-08, +9.4e-06 
63, 7300, 4.0e-08, -4.0e-08, +5.7e-06 
64, 7400, 3.9e-08, -3.9e-08, +6.5e-06 
65, 7500, 4.0e-08, -4.0e-08, +5.5e-06 
66, 7600, 4.0e-08, -4.0e-08, +1.7e-07 
67, 7700, 4.2e-08, -4.2e-08, +5.5e-06 
68, 7800, 4.1e-08, -4.1e-08, +5.3e-06 
69, 7900, 3.7e-08, -3.7e-08, +4.2e-06 
70, 8000, 4.0e-08, -3.9e-08, +1.7e-07 
71, 8100, 4.3e-08, -4.3e-08, +1.6e-07 
72, 8200, 4.2e-08, -4.2e-08, +2.1e-07 
73, 8300, 4.3e-08, -4.3e-08, +1.4e-07 
74, 8400, 4.3e-08, -4.3e-08, +1.1e-07 
75, 8500, 4.3e-08, -4.3e-08, +1.4e-07 
76, 8600, 4.1e-08, -4.1e-08, +2.5e-07 
77, 8700, 3.8e-08, -3.8e-08, +9.3e-08 
78, 8800, 4.1e-08, -4.1e-08, +1.5e-06 
79, 8900, 4.1e-08, -4.0e-08, +4.7e-06 
80, 9000, 4.3e-08, -4.3e-08, +5.6e-06 
81, 9100, 4.3e-08, -4.3e-08, +4.6e-06 
82, 9200, 4.0e-08, -4.0e-08, +4.5e-06 
83, 9300, 4.0e-08, -4.0e-08, +4.4e-06 
84, 9400, 4.1e-08, -4.1e-08, +8.4e-08 
85, 9500, 4.6e-08, -4.6e-08, +3.2e-07 
86, 9600, 3.9e-08, -3.8e-08, +2.9e-07 
87, 9700, 3.9e-08, -3.9e-08, +2.7e-07 
88, 9800, 4.2e-08, -4.2e-08, +4.1e-07 
89, 9900, 4.3e-08, -4.3e-08, +2.3e-07 
90, 10000, 4.6e-08, -4.6e-08, +2.5e-07 
