, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 1000, 2.5e-08, -2.4e-08, +4.0e-05 
1, 1100, 2.4e-08, -2.4e-08, +9.8e-08 
2, 1200, 2.4e-08, -2.4e-08, +4.0e-05 
3, 1300, 2.7e-08, -2.6e-08, +1.1e-07 
4, 1400, 2.8e-08, -2.8e-08, +2.0e-07 
5, 1500, 3.3e-08, -3.3e-08, +8.8e-08 
6, 1600, 3.2e-08, -3.2e-08, +3.5e-05 
7, 1700, 2.9e-08, -2.9e-08, +2.8e-05 
8, 1800, 3.2e-08, -3.2e-08, +2.5e-05 
9, 1900, 2.7e-08, -2.7e-08, +7.8e-08 
10, 2000, 3.0e-08, -3.0e-08, +2.0e-05 
11, 2100, 3.2e-08, -3.2e-08, +2.5e-05 
12, 2200, 2.9e-08, -2.8e-08, +1.8e-05 
13, 2300, 3.2e-08, -3.2e-08, +2.8e-05 
14, 2400, 2.9e-08, -2.8e-08, +1.7e-05 
15, 2500, 3.0e-08, -2.9e-08, +1.0e-07 
16, 2600, 3.5e-08, -3.5e-08, +1.6e-05 
17, 2700, 3.0e-08, -3.0e-08, +1.5e-05 
18, 2800, 3.1e-08, -3.1e-08, +1.4e-05 
19, 2900, 3.6e-08, -3.6e-08, +1.5e-05 
20, 3000, 3.1e-08, -3.0e-08, +1.3e-05 
21, 3100, 3.4e-08, -3.4e-08, +1.3e-05 
22, 3200, 3.1e-08, -3.1e-08, +1.3e-05 
23, 3300, 3.1e-08, -3.1e-08, +1.2e-05 
24, 3400, 3.3e-08, -3.3e-08, +1.2e-05 
25, 3500, 3.0e-08, -3.0e-08, +1.2e-05 
26, 3600, 3.1e-08, -3.1e-08, +1.1e-05 
27, 3700, 3.0e-08, -3.0e-08, +1.1e-05 
28, 3800, 3.1e-08, -3.1e-08, +1.1e-05 
29, 3900, 3.4e-08, -3.3e-08, +1.0e-05 
30, 4000, 3.0e-08, -3.0e-08, +1.0e-05 
31, 4100, 3.2e-08, -3.2e-08, +9.9e-06 
32, 4200, 3.5e-08, -3.4e-08, +9.6e-06 
33, 4300, 3.4e-08, -3.4e-08, +9.5e-06 
34, 4400, 4.0e-08, -4.0e-08, +9.3e-06 
35, 4500, 3.2e-08, -3.2e-08, +9.0e-06 
36, 4600, 3.4e-08, -3.4e-08, +7.9e-08 
37, 4700, 3.3e-08, -3.3e-08, +7.1e-08 
38, 4800, 3.4e-08, -3.4e-08, +8.4e-08 
39, 4900, 3.3e-08, -3.3e-08, +9.0e-07 
40, 5000, 3.4e-08, -3.3e-08, +1.2e-07 
41, 5100, 3.2e-08, -3.2e-08, +2.1e-07 
42, 5200, 3.7e-08, -3.7e-08, +2.1e-07 
43, 5300, 3.4e-08, -3.4e-08, +1.4e-07 
44, 5400, 3.3e-08, -3.3e-08, +2.7e-07 
45, 5500, 3.3e-08, -3.3e-08, +7.4e-08 
46, 5600, 3.5e-08, -3.5e-08, +1.0e-07 
47, 5700, 3.3e-08, -3.3e-08, +8.7e-08 
48, 5800, 3.6e-08, -3.5e-08, +7.6e-08 
49, 5900, 3.2e-08, -3.2e-08, +2.1e-07 
50, 6000, 3.2e-08, -3.2e-08, +1.8e-07 
51, 6100, 3.1e-08, -3.1e-08, +8.5e-08 
52, 6200, 3.2e-08, -3.2e-08, +7.7e-08 
53, 6300, 3.6e-08, -3.6e-08, +1.7e-07 
54, 6400, 3.5e-08, -3.5e-08, +8.2e-08 
55, 6500, 4.2e-08, -4.2e-08, +6.2e-06 
56, 6600, 3.9e-08, -3.9e-08, +6.8e-06 
57, 6700, 3.4e-08, -3.4e-08, +6.1e-06 
58, 6800, 3.7e-08, -3.7e-08, +6.0e-06 
59, 6900, 3.9e-08, -3.9e-08, +5.9e-06 
60, 7000, 3.8e-08, -3.7e-08, +5.9e-06 
61, 7100, 5.2e-08, -5.2e-08, +5.9e-06 
62, 7200, 5.7e-08, -5.6e-08, +5.8e-06 
63, 7300, 3.5e-08, -3.5e-08, +5.6e-06 
64, 7400, 3.3e-08, -3.3e-08, +5.0e-06 
65, 7500, 3.4e-08, -3.4e-08, +5.5e-06 
66, 7600, 3.6e-08, -3.6e-08, +5.8e-06 
67, 7700, 3.4e-08, -3.4e-08, +5.3e-06 
68, 7800, 3.5e-08, -3.5e-08, +5.2e-06 
69, 7900, 3.3e-08, -3.3e-08, +6.2e-06 
70, 8000, 3.6e-08, -3.6e-08, +1.6e-06 
71, 8100, 3.7e-08, -3.7e-08, +1.3e-07 
72, 8200, 3.5e-08, -3.5e-08, +2.0e-07 
73, 8300, 3.7e-08, -3.7e-08, +1.4e-07 
74, 8400, 4.1e-08, -4.1e-08, +1.6e-06 
75, 8500, 3.9e-08, -3.9e-08, +1.5e-07 
76, 8600, 3.6e-08, -3.6e-08, +3.3e-07 
77, 8700, 3.9e-08, -3.9e-08, +6.7e-08 
78, 8800, 3.6e-08, -3.6e-08, +7.3e-08 
79, 8900, 3.9e-08, -3.9e-08, +4.6e-06 
80, 9000, 3.7e-08, -3.7e-08, +4.6e-06 
81, 9100, 3.8e-08, -3.8e-08, +5.0e-06 
82, 9200, 3.6e-08, -3.6e-08, +4.8e-06 
83, 9300, 3.8e-08, -3.7e-08, +4.4e-06 
84, 9400, 3.8e-08, -3.8e-08, +7.2e-08 
