, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 1000, 1.7e-06, -1.3e-06, +5.7e-06 
1, 1100, 2.5e-06, -2.0e-06, +2.5e-04 
2, 1200, 1.9e-06, -1.5e-06, +1.9e-05 
3, 1300, 2.5e-06, -2.0e-06, +1.6e-04 
4, 1400, 2.6e-06, -1.9e-06, +2.0e-05 
5, 1500, 2.4e-06, -1.9e-06, +1.1e-05 
6, 1600, 1.9e-06, -1.5e-06, +5.0e-05 
7, 1700, 3.0e-06, -2.2e-06, +2.9e-05 
8, 1800, 2.1e-06, -1.7e-06, +6.3e-06 
9, 1900, 2.3e-06, -1.8e-06, +1.6e-05 
10, 2000, 2.1e-06, -1.5e-06, +7.8e-06 
11, 2100, 2.1e-06, -1.7e-06, +4.5e-06 
12, 2200, 2.2e-06, -1.8e-06, +5.2e-06 
13, 2300, 2.2e-06, -1.8e-06, +3.3e-05 
14, 2400, 2.5e-06, -2.1e-06, +3.1e-05 
15, 2500, 2.8e-06, -2.3e-06, +4.6e-05 
16, 2600, 2.2e-06, -1.8e-06, +2.3e-05 
17, 2700, 2.5e-06, -2.0e-06, +2.7e-05 
18, 2800, 3.5e-06, -2.7e-06, +2.0e-05 
19, 2900, 2.4e-06, -1.8e-06, +7.6e-06 
20, 3000, 3.6e-06, -3.0e-06, +1.2e-04 
21, 3100, 3.9e-06, -3.5e-06, +2.0e-05 
22, 3200, 3.8e-06, -3.3e-06, +6.9e-06 
23, 3300, 2.5e-06, -1.7e-06, +2.3e-05 
24, 3400, 4.0e-06, -2.9e-06, +9.1e-06 
25, 3500, 3.3e-06, -2.6e-06, +3.3e-05 
26, 3600, 3.6e-06, -2.7e-06, +2.6e-05 
27, 3700, 3.7e-06, -3.0e-06, +2.2e-05 
28, 3800, 2.4e-06, -1.6e-06, +3.3e-06 
29, 3900, 3.7e-06, -2.9e-06, +2.3e-05 
30, 4000, 3.3e-06, -2.4e-06, +2.3e-05 
31, 4100, 3.6e-06, -3.2e-06, +2.1e-05 
32, 4200, 4.0e-06, -3.1e-06, +4.7e-05 
33, 4300, 4.9e-06, -4.2e-06, +1.1e-04 
34, 4400, 3.5e-06, -2.8e-06, +3.1e-05 
35, 4500, 2.6e-06, -2.1e-06, +1.2e-05 
36, 4600, 3.1e-06, -2.5e-06, +1.1e-05 
37, 4700, 3.8e-06, -3.1e-06, +1.2e-05 
38, 4800, 2.7e-06, -2.2e-06, +7.3e-06 
39, 4900, 3.3e-06, -2.9e-06, +2.9e-05 
40, 5000, 3.3e-06, -2.8e-06, +2.8e-05 
41, 5100, 3.2e-06, -2.9e-06, +5.9e-06 
42, 5200, 2.8e-06, -2.0e-06, +7.3e-06 
