, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 1000, 1.9e-06, -1.4e-06, +7.8e-06 
1, 1100, 2.9e-06, -2.1e-06, +7.6e-06 
2, 1200, 2.1e-06, -1.6e-06, +2.1e-05 
3, 1300, 2.9e-06, -2.3e-06, +1.7e-05 
4, 1400, 3.0e-06, -2.7e-06, +2.3e-05 
5, 1500, 2.7e-06, -2.2e-06, +1.0e-04 
6, 1600, 2.1e-06, -1.8e-06, +2.5e-05 
7, 1700, 3.3e-06, -2.7e-06, +7.2e-06 
8, 1800, 2.3e-06, -1.7e-06, +7.1e-06 
9, 1900, 2.5e-06, -2.2e-06, +2.3e-05 
10, 2000, 2.4e-06, -2.0e-06, +4.3e-06 
11, 2100, 2.3e-06, -2.0e-06, +7.0e-06 
12, 2200, 2.4e-06, -1.8e-06, +2.2e-05 
13, 2300, 2.4e-06, -1.6e-06, +2.4e-05 
14, 2400, 2.6e-06, -1.8e-06, +6.1e-06 
15, 2500, 3.0e-06, -2.6e-06, +8.2e-06 
16, 2600, 2.4e-06, -2.1e-06, +2.3e-05 
17, 2700, 2.7e-06, -2.0e-06, +9.3e-06 
18, 2800, 4.1e-06, -2.8e-06, +2.9e-05 
19, 2900, 2.6e-06, -1.7e-06, +2.3e-05 
20, 3000, 4.0e-06, -3.4e-06, +1.8e-05 
21, 3100, 4.3e-06, -3.8e-06, +4.0e-05 
22, 3200, 4.2e-06, -3.0e-06, +7.1e-06 
23, 3300, 2.7e-06, -1.8e-06, +8.9e-06 
24, 3400, 4.5e-06, -3.0e-06, +1.7e-05 
25, 3500, 3.6e-06, -3.2e-06, +1.9e-05 
26, 3600, 4.0e-06, -3.3e-06, +6.8e-06 
27, 3700, 4.2e-06, -3.1e-06, +9.6e-06 
28, 3800, 2.6e-06, -1.8e-06, +2.9e-05 
29, 3900, 4.3e-06, -3.7e-06, +2.0e-05 
30, 4000, 3.9e-06, -2.5e-06, +2.0e-05 
31, 4100, 4.1e-06, -3.2e-06, +2.4e-05 
32, 4200, 4.5e-06, -3.9e-06, +2.2e-05 
33, 4300, 4.9e-06, -4.2e-06, +3.4e-05 
34, 4400, 3.7e-06, -3.4e-06, +1.1e-05 
35, 4500, 2.8e-06, -2.2e-06, +8.0e-05 
36, 4600, 3.2e-06, -2.5e-06, +2.9e-05 
37, 4700, 3.8e-06, -3.2e-06, +1.0e-04 
38, 4800, 2.9e-06, -2.1e-06, +7.2e-06 
39, 4900, 3.4e-06, -2.3e-06, +2.9e-05 
40, 5000, 3.4e-06, -2.5e-06, +5.4e-06 
41, 5100, 3.3e-06, -2.8e-06, +2.1e-05 
42, 5200, 3.0e-06, -2.4e-06, +6.0e-05 
43, 5300, 2.9e-06, -1.8e-06, +2.7e-05 
44, 5400, 3.9e-06, -3.5e-06, +2.5e-05 
45, 5500, 3.4e-06, -2.7e-06, +2.5e-05 
46, 5600, 4.1e-06, -3.1e-06, +1.5e-05 
47, 5700, 3.1e-06, -2.3e-06, +6.7e-06 
48, 5800, 2.8e-06, -2.3e-06, +2.5e-05 
49, 5900, 3.1e-06, -2.5e-06, +2.8e-05 
50, 6000, 3.2e-06, -2.4e-06, +3.1e-05 
51, 6100, 3.1e-06, -2.1e-06, +2.6e-05 
52, 6200, 3.0e-06, -2.4e-06, +1.5e-05 
53, 6300, 3.0e-06, -2.3e-06, +4.1e-05 
54, 6400, 3.6e-06, -2.5e-06, +2.3e-05 
55, 6500, 3.5e-06, -2.9e-06, +2.2e-05 
56, 6600, 2.4e-06, -2.1e-06, +1.4e-05 
57, 6700, 4.1e-06, -2.9e-06, +2.4e-05 
58, 6800, 4.1e-06, -3.8e-06, +1.6e-05 
59, 6900, 3.7e-06, -3.2e-06, +2.5e-05 
60, 7000, 3.0e-06, -2.5e-06, +3.6e-05 
61, 7100, 4.4e-06, -3.4e-06, +3.4e-05 
62, 7200, 5.2e-06, -4.5e-06, +2.7e-05 
63, 7300, 3.0e-06, -2.5e-06, +2.0e-05 
64, 7400, 4.7e-06, -4.0e-06, +9.4e-05 
65, 7500, 4.9e-06, -3.6e-06, +2.7e-05 
66, 7600, 5.1e-06, -4.3e-06, +3.4e-05 
67, 7700, 5.0e-06, -3.8e-06, +2.1e-05 
68, 7800, 5.1e-06, -4.1e-06, +8.3e-06 
69, 7900, 3.8e-06, -2.7e-06, +1.7e-05 
70, 8000, 3.7e-06, -2.8e-06, +1.2e-04 
71, 8100, 3.7e-06, -2.8e-06, +6.0e-06 
72, 8200, 3.1e-06, -2.7e-06, +1.5e-05 
73, 8300, 3.8e-06, -3.3e-06, +3.9e-05 
74, 8400, 4.0e-06, -3.6e-06, +1.2e-05 
75, 8500, 3.8e-06, -3.0e-06, +7.4e-06 
76, 8600, 3.9e-06, -3.5e-06, +4.6e-05 
77, 8700, 2.7e-06, -1.5e-06, +1.2e-05 
78, 8800, 4.4e-06, -3.1e-06, +8.6e-05 
79, 8900, 3.4e-06, -2.5e-06, +3.3e-05 
80, 9000, 3.6e-06, -2.3e-06, +2.6e-05 
81, 9100, 4.2e-06, -3.3e-06, +3.4e-05 
82, 9200, 3.8e-06, -2.6e-06, +4.9e-06 
83, 9300, 3.5e-06, -3.0e-06, +2.1e-05 
84, 9400, 4.2e-06, -3.1e-06, +2.9e-05 
85, 9500, 4.7e-06, -3.4e-06, +3.1e-05 
86, 9600, 5.7e-06, -3.8e-06, +2.5e-05 
87, 9700, 4.3e-06, -3.9e-06, +7.8e-06 
88, 9800, 3.7e-06, -3.2e-06, +4.1e-05 
89, 9900, 4.4e-06, -3.4e-06, +5.9e-06 
90, 10000, 3.3e-06, -2.4e-06, +2.0e-05 
