, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 1000, 2.7e-06, -2.2e-06, +5.2e-05 
1, 1100, 2.5e-06, -2.1e-06, +1.5e-06 
2, 1200, 2.4e-06, -1.8e-06, +2.0e-05 
3, 1300, 3.1e-06, -2.3e-06, +2.7e-05 
4, 1400, 3.5e-06, -2.8e-06, +2.2e-05 
5, 1500, 1.9e-06, -1.3e-06, +6.0e-06 
6, 1600, 2.6e-06, -2.0e-06, +2.3e-05 
7, 1700, 2.3e-06, -1.7e-06, +5.5e-06 
8, 1800, 2.1e-06, -1.5e-06, +5.7e-06 
9, 1900, 2.1e-06, -1.5e-06, +2.1e-05 
10, 2000, 2.4e-06, -2.0e-06, +3.7e-05 
11, 2100, 3.3e-06, -2.7e-06, +3.8e-05 
12, 2200, 2.9e-06, -2.4e-06, +3.7e-05 
13, 2300, 3.4e-06, -2.8e-06, +5.0e-05 
14, 2400, 2.2e-06, -1.6e-06, +1.1e-05 
15, 2500, 2.2e-06, -1.7e-06, +2.5e-05 
16, 2600, 2.2e-06, -1.6e-06, +2.2e-05 
17, 2700, 2.0e-06, -1.5e-06, +6.0e-06 
18, 2800, 2.2e-06, -1.6e-06, +3.2e-05 
19, 2900, 2.0e-06, -1.4e-06, +6.9e-06 
20, 3000, 1.8e-06, -1.3e-06, +4.1e-06 
21, 3100, 2.6e-06, -2.1e-06, +1.7e-05 
22, 3200, 2.3e-06, -1.8e-06, +7.4e-06 
23, 3300, 1.9e-06, -1.3e-06, +2.0e-05 
24, 3400, 2.0e-06, -1.5e-06, +6.2e-06 
25, 3500, 2.6e-06, -1.9e-06, +3.0e-05 
26, 3600, 2.2e-06, -1.7e-06, +4.7e-06 
27, 3700, 2.1e-06, -1.6e-06, +3.8e-05 
28, 3800, 2.0e-06, -1.6e-06, +2.8e-05 
29, 3900, 2.2e-06, -1.8e-06, +2.2e-05 
30, 4000, 2.6e-06, -2.1e-06, +2.4e-02 
31, 4100, 2.3e-06, -2.0e-06, +6.7e-06 
32, 4200, 2.5e-06, -1.8e-06, +2.2e-05 
33, 4300, 2.6e-06, -1.8e-06, +2.5e-05 
34, 4400, 2.7e-06, -2.1e-06, +4.9e-05 
35, 4500, 2.0e-06, -1.2e-06, +8.9e-06 
36, 4600, 2.9e-06, -2.2e-06, +7.6e-06 
37, 4700, 4.0e-06, -3.4e-06, +2.8e-05 
38, 4800, 4.5e-06, -3.7e-06, +2.8e-05 
39, 4900, 4.2e-06, -2.9e-06, +2.6e-05 
40, 5000, 2.7e-06, -2.1e-06, +2.6e-05 
41, 5100, 2.4e-06, -1.8e-06, +3.4e-05 
42, 5200, 3.4e-06, -2.9e-06, +1.5e-05 
43, 5300, 3.1e-06, -2.6e-06, +2.0e-05 
44, 5400, 3.0e-06, -2.5e-06, +3.0e-05 
45, 5500, 2.7e-06, -2.1e-06, +3.3e-05 
46, 5600, 3.0e-06, -2.2e-06, +2.3e-05 
47, 5700, 2.7e-06, -1.9e-06, +9.4e-06 
48, 5800, 2.6e-06, -2.0e-06, +1.9e-05 
49, 5900, 2.3e-06, -1.8e-06, +2.0e-05 
50, 6000, 3.0e-06, -2.6e-06, +2.5e-05 
51, 6100, 3.4e-06, -2.8e-06, +2.3e-05 
52, 6200, 3.5e-06, -3.2e-06, +1.3e-05 
53, 6300, 2.8e-06, -2.1e-06, +1.9e-05 
54, 6400, 2.1e-06, -1.5e-06, +6.3e-06 
55, 6500, 2.4e-06, -1.7e-06, +2.4e-05 
56, 6600, 2.2e-06, -1.8e-06, +2.4e-05 
57, 6700, 2.1e-06, -1.7e-06, +5.0e-06 
58, 6800, 2.4e-06, -2.0e-06, +2.1e-05 
59, 6900, 2.3e-06, -1.9e-06, +3.6e-05 
60, 7000, 2.0e-06, -1.6e-06, +1.8e-05 
61, 7100, 2.1e-06, -1.3e-06, +8.0e-06 
62, 7200, 2.0e-06, -1.4e-06, +3.5e-06 
63, 7300, 2.8e-06, -2.4e-06, +2.7e-05 
64, 7400, 3.0e-06, -2.4e-06, +2.2e-05 
65, 7500, 2.6e-06, -1.9e-06, +8.2e-06 
66, 7600, 4.0e-06, -3.1e-06, +2.3e-05 
67, 7700, 3.6e-06, -3.1e-06, +7.5e-06 
68, 7800, 3.2e-06, -2.4e-06, +3.1e-05 
69, 7900, 4.5e-06, -3.9e-06, +2.6e-05 
70, 8000, 4.3e-06, -3.7e-06, +3.2e-06 
71, 8100, 3.0e-06, -2.3e-06, +2.3e-05 
72, 8200, 4.1e-06, -3.1e-06, +4.3e-05 
73, 8300, 3.9e-06, -2.9e-06, +8.7e-06 
74, 8400, 3.5e-06, -2.9e-06, +9.2e-06 
75, 8500, 2.5e-06, -2.2e-06, +2.3e-05 
76, 8600, 2.4e-06, -1.5e-06, +4.8e-06 
77, 8700, 2.4e-06, -1.6e-06, +6.7e-06 
78, 8800, 2.1e-06, -1.8e-06, +5.0e-06 
79, 8900, 2.2e-06, -1.6e-06, +5.1e-06 
80, 9000, 2.1e-06, -1.6e-06, +4.8e-06 
81, 9100, 2.0e-06, -1.6e-06, +2.0e-05 
82, 9200, 3.0e-06, -2.4e-06, +5.1e-06 
83, 9300, 3.9e-06, -3.5e-06, +6.8e-06 
84, 9400, 3.4e-06, -3.0e-06, +2.6e-05 
85, 9500, 4.1e-06, -3.5e-06, +2.2e-05 
86, 9600, 2.8e-06, -1.9e-06, +6.8e-05 
87, 9700, 2.8e-06, -2.0e-06, +5.2e-06 
88, 9800, 2.6e-06, -1.9e-06, +6.0e-06 
89, 9900, 2.0e-06, -1.2e-06, +4.0e-06 
90, 10000, 2.3e-06, -1.4e-06, +2.8e-05 
