, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 1000, 3.1e-06, -2.7e-06, +2.1e-05 
1, 1100, 3.0e-06, -2.6e-06, +2.2e-05 
2, 1200, 2.8e-06, -2.5e-06, +2.5e-05 
3, 1300, 3.5e-06, -2.8e-06, +4.1e-05 
4, 1400, 3.8e-06, -3.2e-06, +2.2e-05 
5, 1500, 2.1e-06, -1.5e-06, +4.1e-06 
6, 1600, 2.9e-06, -2.5e-06, +2.3e-05 
7, 1700, 2.7e-06, -2.3e-06, +7.2e-06 
8, 1800, 2.4e-06, -1.8e-06, +7.3e-06 
9, 1900, 2.4e-06, -1.6e-06, +3.0e-05 
10, 2000, 2.7e-06, -2.4e-06, +2.7e-05 
11, 2100, 3.8e-06, -2.7e-06, +2.7e-05 
12, 2200, 3.4e-06, -3.0e-06, +1.3e-05 
13, 2300, 4.0e-06, -3.3e-06, +2.8e-05 
14, 2400, 2.5e-06, -2.1e-06, +5.6e-06 
15, 2500, 2.5e-06, -2.1e-06, +4.0e-05 
16, 2600, 2.6e-06, -2.0e-06, +6.6e-06 
17, 2700, 2.3e-06, -1.8e-06, +2.4e-05 
18, 2800, 2.5e-06, -1.8e-06, +2.5e-05 
19, 2900, 2.3e-06, -1.5e-06, +3.1e-05 
20, 3000, 2.1e-06, -1.5e-06, +6.5e-06 
21, 3100, 3.3e-06, -2.6e-06, +2.2e-05 
22, 3200, 2.7e-06, -2.4e-06, +2.1e-05 
23, 3300, 2.3e-06, -1.9e-06, +2.3e-05 
24, 3400, 2.4e-06, -1.6e-06, +2.0e-05 
25, 3500, 3.3e-06, -2.9e-06, +2.0e-05 
26, 3600, 2.5e-06, -2.1e-06, +4.3e-06 
27, 3700, 2.5e-06, -1.5e-06, +1.9e-05 
28, 3800, 2.5e-06, -2.1e-06, +5.7e-06 
29, 3900, 2.5e-06, -1.9e-06, +9.9e-06 
30, 4000, 2.7e-06, -1.8e-06, +1.0e-05 
31, 4100, 2.7e-06, -1.7e-06, +2.6e-05 
32, 4200, 2.7e-06, -2.3e-06, +6.4e-06 
33, 4300, 2.8e-06, -2.3e-06, +2.4e-05 
34, 4400, 2.8e-06, -2.1e-06, +2.5e-05 
35, 4500, 2.6e-06, -2.0e-06, +2.0e-05 
36, 4600, 2.9e-06, -2.0e-06, +8.7e-06 
37, 4700, 4.4e-06, -3.4e-06, +5.7e-05 
38, 4800, 4.9e-06, -4.0e-06, +2.6e-05 
39, 4900, 4.5e-06, -3.2e-06, +3.4e-05 
40, 5000, 3.0e-06, -2.6e-06, +2.3e-05 
41, 5100, 2.7e-06, -1.7e-06, +3.4e-05 
42, 5200, 4.2e-06, -3.2e-06, +4.7e-06 
43, 5300, 3.3e-06, -3.0e-06, +2.2e-05 
44, 5400, 3.2e-06, -2.2e-06, +3.7e-05 
45, 5500, 3.0e-06, -2.3e-06, +4.0e-05 
46, 5600, 3.1e-06, -2.5e-06, +2.4e-05 
47, 5700, 2.9e-06, -2.0e-06, +5.2e-06 
48, 5800, 2.8e-06, -2.1e-06, +7.4e-06 
49, 5900, 2.7e-06, -2.0e-06, +2.0e-05 
50, 6000, 3.2e-06, -2.5e-06, +2.4e-05 
51, 6100, 4.4e-06, -3.6e-06, +2.7e-05 
52, 6200, 3.9e-06, -3.0e-06, +2.8e-05 
53, 6300, 3.7e-06, -2.6e-06, +5.2e-06 
54, 6400, 2.9e-06, -2.6e-06, +1.9e-05 
55, 6500, 3.3e-06, -2.5e-06, +3.8e-06 
56, 6600, 3.2e-06, -2.0e-06, +3.8e-06 
57, 6700, 2.8e-06, -2.2e-06, +8.1e-06 
58, 6800, 2.8e-06, -1.6e-06, +2.5e-05 
59, 6900, 2.9e-06, -2.3e-06, +4.9e-06 
60, 7000, 2.7e-06, -2.2e-06, +3.9e-06 
61, 7100, 2.7e-06, -2.1e-06, +7.7e-06 
62, 7200, 2.6e-06, -2.1e-06, +4.3e-06 
63, 7300, 3.0e-06, -2.5e-06, +7.5e-05 
64, 7400, 3.1e-06, -2.4e-06, +2.0e-05 
65, 7500, 2.9e-06, -1.9e-06, +2.6e-05 
66, 7600, 4.4e-06, -3.5e-06, +6.9e-06 
67, 7700, 4.1e-06, -3.2e-06, +2.2e-05 
68, 7800, 3.6e-06, -2.8e-06, +2.6e-05 
69, 7900, 5.1e-06, -3.8e-06, +2.3e-05 
70, 8000, 5.2e-06, -4.0e-06, +2.9e-05 
71, 8100, 3.1e-06, -2.5e-06, +3.2e-05 
72, 8200, 5.0e-06, -3.6e-06, +7.9e-06 
73, 8300, 5.1e-06, -4.0e-06, +2.6e-05 
74, 8400, 4.5e-06, -3.8e-06, +1.9e-05 
75, 8500, 2.8e-06, -2.2e-06, +2.2e-05 
76, 8600, 3.0e-06, -2.1e-06, +3.4e-05 
77, 8700, 2.9e-06, -2.0e-06, +5.6e-06 
78, 8800, 2.7e-06, -1.6e-06, +5.4e-06 
79, 8900, 2.8e-06, -1.7e-06, +2.3e-05 
80, 9000, 2.7e-06, -1.9e-06, +5.1e-06 
81, 9100, 2.8e-06, -2.1e-06, +2.7e-05 
82, 9200, 3.0e-06, -2.4e-06, +6.1e-06 
83, 9300, 4.1e-06, -3.2e-06, +2.4e-05 
84, 9400, 3.1e-06, -2.3e-06, +6.8e-06 
85, 9500, 4.6e-06, -2.9e-06, +2.2e-05 
86, 9600, 3.8e-06, -2.6e-06, +2.8e-05 
87, 9700, 3.9e-06, -2.8e-06, +2.5e-05 
88, 9800, 3.1e-06, -2.0e-06, +1.7e-05 
89, 9900, 2.7e-06, -1.9e-06, +2.3e-05 
90, 10000, 3.0e-06, -1.8e-06, +1.5e-05 
