, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10, 1.1e-06, -5.9e-07, +4.0e-06 
1, 20, 2.9e-06, -1.5e-06, +2.0e-05 
2, 30, 6.7e-06, -3.9e-06, +2.7e-05 
3, 40, 9.0e-06, -5.9e-06, +2.3e-05 
4, 50, 7.3e-06, -3.8e-06, +2.5e-05 
5, 60, 7.3e-06, -6.9e-06, +2.7e-05 
6, 70, 1.0e-05, -9.1e-06, +2.1e-05 
7, 80, 9.7e-06, -9.2e-06, +1.2e-04 
8, 90, 2.2e-05, -1.4e-05, +3.5e-05 
9, 100, 1.3e-05, -6.2e-06, +2.6e-05 
10, 110, 2.3e-05, -2.3e-05, +4.3e-05 
11, 120, 1.7e-05, -1.0e-05, +3.2e-05 
12, 130, 3.6e-05, -3.4e-05, +1.2e-02 
13, 140, 1.6e-05, -1.1e-05, +3.3e-05 
14, 150, 1.6e-05, -1.4e-05, +5.7e-05 
15, 160, 2.6e-05, -1.8e-05, +4.3e-05 
16, 170, 2.1e-05, -1.2e-05, +3.9e-05 
17, 180, 3.6e-05, -3.6e-05, +6.8e-05 
18, 190, 3.0e-05, -2.6e-05, +2.5e-04 
19, 200, 2.7e-05, -1.9e-05, +1.5e-04 
20, 210, 3.8e-05, -1.9e-05, +6.1e-05 
21, 220, 6.5e-05, -6.0e-05, +8.6e-05 
22, 230, 5.9e-05, -5.8e-05, +7.6e-05 
23, 240, 3.2e-05, -1.7e-05, +1.0e-04 
24, 250, 4.1e-05, -2.6e-05, +6.3e-05 
25, 260, 4.6e-05, -2.8e-05, +9.7e-05 
26, 270, 2.2e-05, -1.6e-05, +5.2e-05 
27, 280, 7.3e-05, -5.1e-05, +5.1e-05 
28, 290, 9.7e-05, -7.2e-05, +9.9e-05 
29, 300, 3.3e-05, -1.9e-05, +7.4e-05 
30, 310, 4.3e-05, -2.3e-05, +5.3e-05 
31, 320, 8.5e-05, -6.2e-05, +8.5e-05 
32, 330, 8.6e-05, -5.8e-05, +1.3e-04 
33, 340, 5.5e-05, -3.3e-05, +1.4e-04 
34, 350, 4.5e-05, -4.2e-05, +9.2e-05 
35, 360, 4.2e-05, -4.0e-05, +5.7e-05 
36, 370, 5.3e-05, -2.3e-05, +6.4e-05 
37, 380, 9.3e-05, -5.9e-05, +1.2e-04 
38, 390, 8.1e-05, -5.3e-05, +8.6e-05 
39, 400, 4.9e-05, -3.3e-05, +2.8e-02 
40, 410, 1.1e-04, -7.2e-05, +4.1e-03 
41, 420, 8.0e-05, -5.6e-05, +5.2e-05 
