, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10, 9.6e-08, -6.6e-08, +5.5e-07 
1, 20, 7.3e-08, -4.9e-08, +8.9e-07 
2, 30, 6.8e-08, -5.2e-08, +1.7e-06 
3, 40, 7.0e-08, -5.3e-08, +1.7e-07 
4, 50, 6.4e-08, -5.4e-08, +1.4e-07 
5, 60, 6.3e-08, -5.8e-08, +6.7e-07 
6, 70, 6.1e-08, -5.4e-08, +1.3e-07 
7, 80, 6.1e-08, -5.6e-08, +3.8e-07 
8, 90, 6.3e-08, -5.7e-08, +1.0e-07 
9, 100, 5.7e-08, -5.1e-08, +6.9e-07 
10, 110, 6.2e-08, -5.8e-08, +3.0e-07 
11, 120, 5.1e-08, -4.6e-08, +3.0e-07 
12, 130, 6.6e-08, -6.3e-08, +2.0e-07 
13, 140, 6.6e-08, -6.0e-08, +2.1e-07 
14, 150, 5.6e-08, -5.3e-08, +2.2e-07 
15, 160, 5.7e-08, -5.3e-08, +2.5e-07 
16, 170, 5.8e-08, -5.4e-08, +2.6e-07 
17, 180, 5.6e-08, -5.4e-08, +1.7e-07 
18, 190, 6.4e-08, -6.1e-08, +2.4e-07 
19, 200, 5.2e-08, -4.9e-08, +2.5e-07 
20, 210, 5.4e-08, -5.0e-08, +3.7e-07 
21, 220, 6.1e-08, -5.7e-08, +3.1e-07 
22, 230, 6.0e-08, -5.7e-08, +1.2e-07 
23, 240, 5.9e-08, -5.6e-08, +2.2e-07 
24, 250, 6.3e-08, -6.0e-08, +5.9e-07 
25, 260, 5.1e-08, -4.8e-08, +1.8e-07 
26, 270, 5.3e-08, -5.0e-08, +2.3e-07 
27, 280, 5.2e-08, -4.8e-08, +1.2e-07 
28, 290, 5.1e-08, -4.8e-08, +1.4e-07 
29, 300, 4.6e-08, -4.3e-08, +1.1e-07 
30, 310, 4.8e-08, -4.6e-08, +2.1e-07 
31, 320, 7.0e-08, -6.7e-08, +1.6e-07 
32, 330, 6.1e-08, -5.9e-08, +1.8e-07 
33, 340, 4.9e-08, -4.6e-08, +1.3e-07 
34, 350, 5.5e-08, -5.4e-08, +1.8e-07 
35, 360, 6.1e-08, -6.0e-08, +1.7e-07 
36, 370, 5.0e-08, -4.8e-08, +1.5e-07 
37, 380, 5.3e-08, -5.1e-08, +1.2e-07 
38, 390, 5.5e-08, -5.3e-08, +1.3e-07 
39, 400, 7.2e-08, -7.0e-08, +2.2e-07 
40, 410, 5.5e-08, -5.3e-08, +1.1e-07 
41, 420, 7.5e-08, -7.2e-08, +1.7e-07 
42, 430, 6.1e-08, -6.0e-08, +5.7e-07 
43, 440, 6.0e-08, -5.7e-08, +1.4e-07 
44, 450, 5.5e-08, -5.4e-08, +1.6e-07 
45, 460, 4.8e-08, -4.6e-08, +1.5e-07 
46, 470, 5.1e-08, -4.9e-08, +1.6e-07 
47, 480, 4.8e-08, -4.7e-08, +1.3e-07 
48, 490, 5.2e-08, -4.9e-08, +1.1e-07 
49, 500, 5.2e-08, -5.1e-08, +1.2e-07 
50, 510, 4.8e-08, -4.6e-08, +1.8e-07 
51, 520, 4.9e-08, -4.8e-08, +1.4e-07 
52, 530, 5.3e-08, -5.1e-08, +1.3e-07 
53, 540, 5.2e-08, -5.1e-08, +4.0e-07 
54, 550, 5.8e-08, -5.7e-08, +1.4e-07 
55, 560, 6.2e-08, -6.1e-08, +1.4e-07 
56, 570, 5.7e-08, -5.5e-08, +2.5e-07 
57, 580, 5.7e-08, -5.6e-08, +1.5e-07 
58, 590, 5.1e-08, -5.0e-08, +3.5e-07 
59, 600, 5.6e-08, -5.5e-08, +2.8e-07 
60, 610, 6.3e-08, -6.1e-08, +1.3e-07 
61, 620, 5.5e-08, -5.3e-08, +1.3e-07 
62, 630, 5.3e-08, -5.1e-08, +1.1e-07 
63, 640, 5.5e-08, -5.4e-08, +1.6e-07 
64, 650, 5.6e-08, -5.4e-08, +1.4e-07 
65, 660, 5.5e-08, -5.4e-08, +1.6e-07 
66, 670, 4.9e-08, -4.8e-08, +1.4e-07 
67, 680, 6.6e-08, -6.4e-08, +1.4e-07 
68, 690, 5.6e-08, -5.4e-08, +1.2e-07 
69, 700, 5.5e-08, -5.3e-08, +1.8e-07 
70, 710, 5.3e-08, -5.2e-08, +2.5e-07 
71, 720, 5.5e-08, -5.4e-08, +1.1e-07 
72, 730, 5.5e-08, -5.4e-08, +3.0e-07 
73, 740, 5.2e-08, -5.1e-08, +1.2e-07 
74, 750, 5.3e-08, -5.2e-08, +2.3e-07 
75, 760, 4.8e-08, -4.7e-08, +8.5e-08 
76, 770, 4.8e-08, -4.8e-08, +8.0e-08 
77, 780, 5.2e-08, -5.0e-08, +1.1e-07 
78, 790, 5.7e-08, -5.6e-08, +1.4e-07 
79, 800, 5.4e-08, -5.2e-08, +1.3e-07 
80, 810, 5.5e-08, -5.4e-08, +1.1e-07 
81, 820, 5.4e-08, -5.2e-08, +1.5e-07 
82, 830, 5.5e-08, -5.4e-08, +1.1e-07 
83, 840, 5.2e-08, -5.2e-08, +1.9e-07 
84, 850, 5.7e-08, -5.5e-08, +2.6e-07 
85, 860, 5.3e-08, -5.2e-08, +1.2e-07 
86, 870, 5.9e-08, -5.8e-08, +1.3e-07 
87, 880, 5.9e-08, -5.8e-08, +1.9e-07 
88, 890, 5.5e-08, -5.4e-08, +2.0e-07 
89, 900, 5.3e-08, -5.2e-08, +1.5e-07 
90, 910, 5.4e-08, -5.2e-08, +1.0e-07 
91, 920, 5.2e-08, -5.1e-08, +8.7e-08 
92, 930, 4.9e-08, -4.8e-08, +1.0e-07 
93, 940, 4.9e-08, -4.8e-08, +9.4e-08 
94, 950, 5.3e-08, -5.2e-08, +2.0e-07 
95, 960, 5.1e-08, -5.0e-08, +2.9e-07 
96, 970, 5.0e-08, -4.9e-08, +1.3e-07 
97, 980, 5.7e-08, -5.6e-08, +1.9e-07 
98, 990, 5.0e-08, -4.9e-08, +1.3e-07 
