, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10, 1.4e-06, -5.3e-07, +6.1e-06 
1, 20, 2.6e-06, -1.5e-06, +5.3e-06 
2, 30, 4.0e-06, -3.0e-06, +2.4e-05 
3, 40, 4.1e-06, -2.9e-06, +3.5e-05 
4, 50, 8.9e-06, -4.8e-06, +2.4e-05 
5, 60, 1.0e-05, -5.2e-06, +3.6e-05 
6, 70, 8.3e-06, -5.1e-06, +3.1e-05 
7, 80, 1.1e-05, -9.5e-06, +3.6e-05 
8, 90, 1.4e-05, -8.9e-06, +4.0e-02 
9, 100, 1.9e-05, -1.0e-05, +4.4e-05 
10, 110, 1.2e-05, -7.6e-06, +3.1e-05 
11, 120, 2.1e-05, -1.8e-05, +3.4e-05 
12, 130, 3.1e-05, -2.7e-05, +3.6e-05 
13, 140, 2.3e-05, -1.3e-05, +4.0e-05 
14, 150, 2.8e-05, -1.7e-05, +6.6e-05 
15, 160, 2.4e-05, -1.4e-05, +4.3e-05 
16, 170, 3.2e-05, -1.8e-05, +5.1e-05 
17, 180, 3.1e-05, -2.5e-05, +5.7e-05 
18, 190, 4.3e-05, -2.6e-05, +5.0e-05 
19, 200, 2.0e-05, -1.4e-05, +6.1e-05 
20, 210, 4.1e-05, -4.0e-05, +1.4e-04 
21, 220, 2.8e-05, -2.7e-05, +5.5e-05 
22, 230, 4.5e-05, -2.5e-05, +4.7e-05 
23, 240, 2.5e-05, -1.4e-05, +5.6e-05 
24, 250, 3.8e-05, -3.8e-05, +1.2e-02 
25, 260, 2.0e-05, -1.7e-05, +3.7e-05 
26, 270, 4.3e-05, -2.3e-05, +4.6e-05 
27, 280, 4.8e-05, -2.6e-05, +4.3e-05 
28, 290, 6.3e-05, -4.2e-05, +2.4e-04 
29, 300, 7.8e-05, -6.8e-05, +1.0e-04 
30, 310, 2.9e-05, -2.0e-05, +7.6e-05 
31, 320, 3.2e-05, -2.2e-05, +4.5e-05 
32, 330, 5.4e-05, -3.0e-05, +8.4e-05 
33, 340, 5.0e-05, -2.5e-05, +1.0e-04 
34, 350, 3.3e-05, -2.3e-05, +6.6e-05 
35, 360, 3.4e-05, -2.7e-05, +5.9e-05 
36, 370, 5.3e-05, -2.7e-05, +6.5e-05 
37, 380, 5.6e-05, -4.9e-05, +5.9e-05 
38, 390, 1.1e-04, -7.4e-05, +1.5e-04 
39, 400, 7.8e-05, -4.8e-05, +8.6e-05 
40, 410, 3.8e-05, -2.1e-05, +6.3e-05 
41, 420, 5.8e-05, -3.7e-05, +6.8e-05 
42, 430, 4.0e-05, -3.2e-05, +9.7e-05 
43, 440, 7.5e-05, -6.3e-05, +1.1e-04 
44, 450, 8.1e-05, -5.1e-05, +9.1e-05 
45, 460, 5.9e-05, -4.8e-05, +1.1e-04 
46, 470, 1.1e-04, -6.7e-05, +9.8e-05 
47, 480, 5.6e-05, -4.7e-05, +8.2e-05 
48, 490, 6.9e-05, -4.0e-05, +8.8e-05 
49, 500, 6.2e-05, -3.2e-05, +7.2e-05 
50, 510, 6.0e-05, -4.0e-05, +2.1e-04 
51, 520, 5.8e-05, -3.9e-05, +6.1e-05 
52, 530, 1.1e-04, -7.0e-05, +1.5e-04 
53, 540, 5.0e-05, -2.9e-05, +1.3e-04 
54, 550, 1.4e-04, -8.9e-05, +1.4e-04 
55, 560, 1.5e-04, -9.8e-05, +3.5e-04 
56, 570, 8.2e-05, -3.9e-05, +8.2e-05 
57, 580, 8.2e-05, -4.1e-05, +1.3e-04 
58, 590, 6.5e-05, -4.9e-05, +2.6e-04 
59, 600, 7.5e-05, -4.9e-05, +8.9e-05 
60, 610, 9.8e-05, -9.3e-05, +9.9e-05 
61, 620, 1.0e-04, -6.3e-05, +1.0e-04 
62, 630, 9.3e-05, -5.7e-05, +1.3e-04 
63, 640, 6.1e-05, -2.8e-05, +7.5e-05 
64, 650, 6.3e-05, -5.1e-05, +8.9e-05 
65, 660, 1.2e-04, -7.6e-05, +3.1e-04 
66, 670, 1.0e-04, -6.0e-05, +1.5e-04 
67, 680, 1.4e-04, -7.8e-05, +2.3e-04 
68, 690, 1.0e-04, -6.1e-05, +8.3e-05 
69, 700, 1.2e-04, -6.6e-05, +1.4e-04 
70, 710, 1.1e-04, -5.3e-05, +1.9e-04 
71, 720, 9.8e-05, -9.5e-05, +1.2e-04 
