, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10, 9.2e-08, -5.3e-08, +4.1e-07 
1, 20, 7.4e-08, -5.6e-08, +9.2e-07 
2, 30, 6.6e-08, -5.1e-08, +1.9e-07 
3, 40, 6.2e-08, -5.0e-08, +5.4e-07 
4, 50, 5.7e-08, -4.8e-08, +5.9e-07 
5, 60, 6.1e-08, -4.8e-08, +4.2e-07 
6, 70, 5.6e-08, -4.6e-08, +3.0e-07 
7, 80, 7.1e-08, -6.4e-08, +3.0e-07 
8, 90, 7.9e-08, -7.1e-08, +4.0e-07 
9, 100, 5.4e-08, -4.6e-08, +2.8e-07 
10, 110, 5.5e-08, -4.9e-08, +1.8e-07 
11, 120, 5.6e-08, -5.2e-08, +3.0e-07 
12, 130, 5.5e-08, -4.9e-08, +1.3e-07 
13, 140, 5.3e-08, -4.8e-08, +1.7e-07 
14, 150, 5.4e-08, -4.9e-08, +1.7e-07 
15, 160, 6.0e-08, -5.5e-08, +2.9e-07 
16, 170, 5.7e-08, -5.1e-08, +1.2e-07 
17, 180, 6.1e-08, -5.6e-08, +1.9e-07 
18, 190, 6.1e-08, -5.7e-08, +1.4e-07 
19, 200, 5.3e-08, -5.0e-08, +1.5e-07 
20, 210, 6.4e-08, -6.1e-08, +2.4e-07 
21, 220, 5.2e-08, -4.9e-08, +1.7e-07 
22, 230, 5.2e-08, -4.8e-08, +1.5e-07 
23, 240, 4.8e-08, -4.5e-08, +1.5e-07 
24, 250, 5.3e-08, -5.1e-08, +1.4e-07 
25, 260, 4.9e-08, -4.6e-08, +1.5e-07 
26, 270, 5.0e-08, -4.6e-08, +1.6e-07 
27, 280, 5.0e-08, -4.7e-08, +1.3e-07 
28, 290, 5.1e-08, -4.7e-08, +1.8e-07 
29, 300, 7.0e-08, -6.6e-08, +2.3e-07 
30, 310, 4.9e-08, -4.7e-08, +1.5e-07 
31, 320, 5.8e-08, -5.6e-08, +1.6e-07 
32, 330, 5.3e-08, -5.1e-08, +1.5e-07 
33, 340, 5.3e-08, -5.0e-08, +1.4e-07 
34, 350, 5.4e-08, -5.2e-08, +1.6e-07 
35, 360, 5.1e-08, -4.9e-08, +2.1e-07 
36, 370, 5.1e-08, -4.9e-08, +1.3e-07 
37, 380, 5.2e-08, -4.9e-08, +1.7e-07 
38, 390, 5.0e-08, -4.7e-08, +1.2e-07 
39, 400, 4.9e-08, -4.6e-08, +1.2e-07 
40, 410, 4.3e-08, -4.2e-08, +1.1e-07 
41, 420, 4.6e-08, -4.5e-08, +1.8e-07 
42, 430, 4.6e-08, -4.4e-08, +1.3e-07 
43, 440, 4.9e-08, -4.7e-08, +1.2e-07 
44, 450, 4.6e-08, -4.4e-08, +1.5e-07 
45, 460, 5.3e-08, -5.2e-08, +1.5e-07 
46, 470, 4.7e-08, -4.4e-08, +1.3e-07 
47, 480, 5.5e-08, -5.4e-08, +1.6e-07 
48, 490, 5.2e-08, -5.0e-08, +1.0e-07 
49, 500, 5.3e-08, -5.0e-08, +1.4e-07 
50, 510, 4.9e-08, -4.7e-08, +3.6e-07 
51, 520, 4.7e-08, -4.5e-08, +1.2e-07 
52, 530, 4.9e-08, -4.7e-08, +1.5e-07 
53, 540, 4.9e-08, -4.7e-08, +1.0e-07 
54, 550, 4.7e-08, -4.6e-08, +1.5e-07 
55, 560, 5.5e-08, -5.2e-08, +2.9e-07 
56, 570, 4.8e-08, -4.6e-08, +1.1e-07 
57, 580, 4.9e-08, -4.8e-08, +4.2e-05 
58, 590, 5.4e-08, -5.3e-08, +1.9e-07 
59, 600, 5.4e-08, -5.3e-08, +1.5e-07 
60, 610, 5.1e-08, -5.0e-08, +8.8e-08 
61, 620, 4.5e-08, -4.4e-08, +1.1e-07 
62, 630, 4.6e-08, -4.5e-08, +1.2e-07 
63, 640, 4.9e-08, -4.8e-08, +1.2e-07 
64, 650, 5.4e-08, -5.3e-08, +1.1e-07 
65, 660, 4.8e-08, -4.7e-08, +1.7e-07 
66, 670, 5.0e-08, -4.8e-08, +1.5e-07 
67, 680, 4.9e-08, -4.7e-08, +8.0e-08 
68, 690, 4.8e-08, -4.7e-08, +1.0e-07 
69, 700, 4.9e-08, -4.8e-08, +1.1e-07 
70, 710, 4.7e-08, -4.5e-08, +7.6e-08 
71, 720, 4.8e-08, -4.7e-08, +1.3e-07 
72, 730, 4.8e-08, -4.7e-08, +2.0e-07 
73, 740, 5.1e-08, -4.9e-08, +1.2e-07 
74, 750, 5.2e-08, -5.1e-08, +1.6e-07 
75, 760, 4.8e-08, -4.7e-08, +1.1e-07 
76, 770, 4.9e-08, -4.8e-08, +1.1e-07 
77, 780, 6.7e-08, -6.5e-08, +1.4e-07 
78, 790, 5.7e-08, -5.6e-08, +1.7e-07 
79, 800, 5.4e-08, -5.3e-08, +2.4e-07 
80, 810, 4.8e-08, -4.6e-08, +1.3e-07 
81, 820, 5.2e-08, -5.1e-08, +2.2e-07 
82, 830, 4.5e-08, -4.3e-08, +1.3e-07 
83, 840, 4.4e-08, -4.4e-08, +8.8e-08 
84, 850, 4.9e-08, -4.7e-08, +1.6e-07 
85, 860, 4.8e-08, -4.7e-08, +1.0e-07 
86, 870, 5.0e-08, -4.9e-08, +1.0e-07 
87, 880, 4.7e-08, -4.6e-08, +1.2e-07 
88, 890, 4.8e-08, -4.8e-08, +1.5e-07 
89, 900, 4.7e-08, -4.6e-08, +1.0e-07 
90, 910, 5.3e-08, -5.2e-08, +1.3e-07 
91, 920, 5.3e-08, -5.1e-08, +8.8e-06 
92, 930, 5.1e-08, -4.9e-08, +2.0e-07 
93, 940, 4.9e-08, -4.8e-08, +1.0e-07 
