, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10, 4.3e-07, -2.3e-07, +9.0e-07 
1, 20, 6.2e-07, -4.2e-07, +1.6e-06 
2, 30, 8.4e-07, -6.3e-07, +1.7e-05 
3, 40, 1.1e-06, -8.5e-07, +1.2e-05 
4, 50, 1.4e-06, -1.2e-06, +4.9e-06 
5, 60, 2.0e-06, -1.8e-06, +2.8e-05 
6, 70, 2.1e-06, -1.9e-06, +1.8e-05 
7, 80, 1.8e-06, -1.6e-06, +2.1e-05 
8, 90, 2.0e-06, -1.8e-06, +9.4e-06 
9, 100, 2.2e-06, -2.0e-06, +2.5e-05 
10, 110, 2.6e-06, -2.4e-06, +2.2e-05 
11, 120, 2.7e-06, -2.4e-06, +9.2e-06 
12, 130, 2.9e-06, -2.7e-06, +3.6e-05 
13, 140, 3.1e-06, -2.9e-06, +3.3e-05 
14, 150, 3.4e-06, -3.2e-06, +3.0e-05 
15, 160, 3.3e-06, -3.1e-06, +1.7e-05 
16, 170, 3.7e-06, -3.4e-06, +3.4e-05 
17, 180, 3.7e-06, -3.5e-06, +1.5e-05 
18, 190, 4.4e-06, -4.2e-06, +2.0e-05 
19, 200, 6.6e-06, -6.3e-06, +2.6e-05 
20, 210, 4.9e-06, -4.7e-06, +3.9e-05 
21, 220, 5.0e-06, -4.7e-06, +1.1e-05 
22, 230, 5.6e-06, -5.4e-06, +2.7e-05 
23, 240, 7.9e-06, -7.6e-06, +3.0e-05 
24, 250, 5.6e-06, -5.4e-06, +2.6e-05 
25, 260, 8.8e-06, -8.5e-06, +3.3e-05 
26, 270, 7.6e-06, -7.3e-06, +4.8e-05 
27, 280, 5.9e-06, -5.7e-06, +3.0e-05 
28, 290, 6.6e-06, -6.4e-06, +3.0e-05 
29, 300, 6.2e-06, -6.0e-06, +4.1e-05 
30, 310, 8.1e-06, -7.9e-06, +3.7e-05 
31, 320, 6.8e-06, -6.6e-06, +2.0e-05 
32, 330, 1.0e-05, -1.0e-05, +3.4e-05 
33, 340, 6.7e-06, -6.4e-06, +4.4e-05 
34, 350, 1.4e-05, -1.4e-05, +8.2e-05 
35, 360, 1.4e-05, -1.4e-05, +2.7e-05 
36, 370, 1.4e-05, -1.3e-05, +4.8e-05 
37, 380, 1.4e-05, -1.4e-05, +2.0e-04 
38, 390, 8.4e-06, -8.1e-06, +5.0e-05 
39, 400, 8.4e-06, -8.2e-06, +4.3e-05 
40, 410, 8.5e-06, -8.3e-06, +4.5e-05 
41, 420, 8.9e-06, -8.7e-06, +4.1e-05 
42, 430, 9.4e-06, -9.2e-06, +1.4e-04 
43, 440, 1.5e-05, -1.5e-05, +8.2e-03 
44, 450, 1.4e-05, -1.3e-05, +4.8e-05 
45, 460, 1.5e-05, -1.5e-05, +4.5e-05 
46, 470, 1.3e-05, -1.2e-05, +5.3e-05 
47, 480, 1.5e-05, -1.4e-05, +4.4e-05 
48, 490, 1.2e-05, -1.2e-05, +5.0e-05 
49, 500, 1.5e-05, -1.5e-05, +4.9e-05 
50, 510, 1.2e-05, -1.2e-05, +4.9e-05 
