, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10, 4.3e-08, -2.3e-08, +9.0e-08 
1, 20, 3.1e-08, -2.1e-08, +8.2e-08 
2, 30, 2.8e-08, -2.1e-08, +5.7e-07 
3, 40, 2.7e-08, -2.1e-08, +2.9e-07 
4, 50, 2.8e-08, -2.4e-08, +9.8e-08 
5, 60, 3.3e-08, -2.9e-08, +4.7e-07 
6, 70, 3.0e-08, -2.7e-08, +2.5e-07 
7, 80, 2.3e-08, -2.0e-08, +2.6e-07 
8, 90, 2.2e-08, -2.0e-08, +1.0e-07 
9, 100, 2.2e-08, -2.0e-08, +2.5e-07 
10, 110, 2.4e-08, -2.2e-08, +2.0e-07 
11, 120, 2.2e-08, -2.0e-08, +7.7e-08 
12, 130, 2.3e-08, -2.1e-08, +2.8e-07 
13, 140, 2.2e-08, -2.1e-08, +2.4e-07 
14, 150, 2.3e-08, -2.1e-08, +2.0e-07 
15, 160, 2.1e-08, -1.9e-08, +1.0e-07 
16, 170, 2.2e-08, -2.0e-08, +2.0e-07 
17, 180, 2.1e-08, -1.9e-08, +8.3e-08 
18, 190, 2.3e-08, -2.2e-08, +1.0e-07 
19, 200, 3.3e-08, -3.1e-08, +1.3e-07 
20, 210, 2.4e-08, -2.2e-08, +1.9e-07 
21, 220, 2.3e-08, -2.2e-08, +5.0e-08 
22, 230, 2.4e-08, -2.4e-08, +1.2e-07 
23, 240, 3.3e-08, -3.2e-08, +1.2e-07 
24, 250, 2.2e-08, -2.1e-08, +1.0e-07 
25, 260, 3.4e-08, -3.3e-08, +1.3e-07 
26, 270, 2.8e-08, -2.7e-08, +1.8e-07 
27, 280, 2.1e-08, -2.0e-08, +1.1e-07 
28, 290, 2.3e-08, -2.2e-08, +1.0e-07 
29, 300, 2.1e-08, -2.0e-08, +1.4e-07 
30, 310, 2.6e-08, -2.5e-08, +1.2e-07 
31, 320, 2.1e-08, -2.1e-08, +6.3e-08 
32, 330, 3.1e-08, -3.0e-08, +1.0e-07 
33, 340, 2.0e-08, -1.9e-08, +1.3e-07 
34, 350, 4.1e-08, -4.0e-08, +2.4e-07 
35, 360, 3.9e-08, -3.8e-08, +7.6e-08 
36, 370, 3.7e-08, -3.6e-08, +1.3e-07 
37, 380, 3.7e-08, -3.6e-08, +5.2e-07 
38, 390, 2.1e-08, -2.1e-08, +1.3e-07 
39, 400, 2.1e-08, -2.0e-08, +1.1e-07 
40, 410, 2.1e-08, -2.0e-08, +1.1e-07 
41, 420, 2.1e-08, -2.1e-08, +9.9e-08 
42, 430, 2.2e-08, -2.1e-08, +3.2e-07 
43, 440, 3.4e-08, -3.3e-08, +1.9e-05 
44, 450, 3.1e-08, -3.0e-08, +1.1e-07 
45, 460, 3.3e-08, -3.2e-08, +9.9e-08 
46, 470, 2.7e-08, -2.6e-08, +1.1e-07 
47, 480, 3.1e-08, -3.0e-08, +9.2e-08 
48, 490, 2.4e-08, -2.4e-08, +1.0e-07 
49, 500, 3.1e-08, -3.0e-08, +9.9e-08 
50, 510, 2.3e-08, -2.3e-08, +9.6e-08 
51, 520, 2.2e-08, -2.2e-08, +2.7e-07 
52, 530, 2.1e-08, -2.0e-08, +1.3e-07 
53, 540, 2.2e-08, -2.2e-08, +1.1e-07 
54, 550, 2.9e-08, -2.8e-08, +9.8e-08 
55, 560, 2.2e-08, -2.1e-08, +1.2e-07 
56, 570, 1.9e-08, -1.9e-08, +6.9e-08 
57, 580, 2.0e-08, -1.9e-08, +7.7e-08 
58, 590, 2.1e-08, -2.1e-08, +6.9e-08 
59, 600, 2.1e-08, -2.1e-08, +8.3e-08 
60, 610, 2.7e-08, -2.7e-08, +1.3e-07 
61, 620, 4.2e-08, -4.2e-08, +8.4e-08 
62, 630, 4.2e-08, -4.2e-08, +8.5e-08 
63, 640, 2.6e-08, -2.5e-08, +9.1e-08 
64, 650, 2.2e-08, -2.2e-08, +1.9e-07 
65, 660, 2.2e-08, -2.2e-08, +8.7e-08 
66, 670, 2.3e-08, -2.3e-08, +1.3e-07 
67, 680, 2.2e-08, -2.2e-08, +7.2e-08 
68, 690, 3.2e-08, -3.2e-08, +7.6e-08 
69, 700, 2.9e-08, -2.9e-08, +1.1e-07 
70, 710, 3.1e-08, -3.1e-08, +2.5e-07 
71, 720, 2.3e-08, -2.3e-08, +5.0e-05 
72, 730, 2.5e-08, -2.5e-08, +1.1e-07 
73, 740, 2.7e-08, -2.7e-08, +2.4e-07 
74, 750, 3.1e-08, -3.1e-08, +1.7e-07 
75, 760, 3.0e-08, -3.0e-08, +2.8e-07 
76, 770, 3.3e-08, -3.3e-08, +2.5e-07 
