, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10, 4.4e-08, -2.3e-08, +1.7e-07 
1, 20, 3.2e-08, -2.1e-08, +1.0e-06 
2, 30, 2.8e-08, -2.1e-08, +6.8e-07 
3, 40, 2.6e-08, -2.0e-08, +8.6e-07 
4, 50, 2.6e-08, -2.2e-08, +1.5e-07 
5, 60, 3.0e-08, -2.6e-08, +5.4e-07 
6, 70, 2.8e-08, -2.5e-08, +6.0e-08 
7, 80, 2.4e-08, -2.1e-08, +2.9e-07 
8, 90, 2.1e-08, -1.9e-08, +5.0e-08 
9, 100, 2.1e-08, -1.9e-08, +2.2e-07 
10, 110, 2.1e-08, -1.9e-08, +1.9e-07 
11, 120, 2.1e-08, -1.9e-08, +1.5e-07 
12, 130, 2.0e-08, -1.8e-08, +3.2e-07 
13, 140, 1.9e-08, -1.8e-08, +2.1e-07 
14, 150, 2.0e-08, -1.8e-08, +5.3e-08 
15, 160, 1.9e-08, -1.8e-08, +1.6e-07 
16, 170, 1.9e-08, -1.8e-08, +1.7e-07 
17, 180, 1.9e-08, -1.8e-08, +1.4e-07 
18, 190, 2.1e-08, -2.0e-08, +1.2e-07 
19, 200, 3.0e-08, -2.9e-08, +9.4e-08 
20, 210, 2.1e-08, -2.0e-08, +1.3e-07 
21, 220, 2.1e-08, -2.0e-08, +5.1e-08 
22, 230, 2.1e-08, -2.0e-08, +1.6e-07 
23, 240, 2.8e-08, -2.7e-08, +1.1e-07 
24, 250, 2.0e-08, -1.9e-08, +1.5e-07 
25, 260, 2.9e-08, -2.8e-08, +1.1e-07 
26, 270, 2.4e-08, -2.3e-08, +9.6e-08 
27, 280, 1.9e-08, -1.8e-08, +1.1e-07 
28, 290, 2.0e-08, -2.0e-08, +1.2e-07 
29, 300, 1.8e-08, -1.7e-08, +4.7e-08 
30, 310, 2.3e-08, -2.2e-08, +9.7e-08 
31, 320, 2.0e-08, -1.9e-08, +1.1e-07 
32, 330, 2.8e-08, -2.6e-08, +2.5e-07 
33, 340, 1.9e-08, -1.8e-08, +7.0e-08 
34, 350, 3.3e-08, -3.1e-08, +1.0e-07 
35, 360, 3.4e-08, -3.3e-08, +1.1e-07 
36, 370, 3.4e-08, -3.2e-08, +7.2e-08 
37, 380, 3.3e-08, -3.2e-08, +1.5e-07 
38, 390, 2.0e-08, -1.9e-08, +2.6e-07 
39, 400, 1.9e-08, -1.8e-08, +1.9e-07 
40, 410, 1.8e-08, -1.7e-08, +1.1e-07 
41, 420, 2.0e-08, -1.9e-08, +8.6e-08 
42, 430, 2.1e-08, -2.1e-08, +1.3e-07 
43, 440, 3.1e-08, -3.0e-08, +3.0e-07 
44, 450, 3.0e-08, -2.9e-08, +9.3e-08 
45, 460, 3.0e-08, -2.9e-08, +1.0e-07 
46, 470, 2.2e-08, -2.1e-08, +1.6e-07 
47, 480, 2.6e-08, -2.6e-08, +8.7e-08 
48, 490, 2.2e-08, -2.1e-08, +1.2e-07 
49, 500, 2.7e-08, -2.6e-08, +9.0e-08 
50, 510, 2.3e-08, -2.3e-08, +2.4e-07 
51, 520, 1.9e-08, -1.9e-08, +2.0e-07 
52, 530, 1.9e-08, -1.9e-08, +8.3e-08 
53, 540, 2.0e-08, -1.9e-08, +1.4e-07 
54, 550, 2.6e-08, -2.6e-08, +1.1e-07 
55, 560, 2.1e-08, -2.0e-08, +7.2e-08 
56, 570, 2.0e-08, -1.9e-08, +6.6e-08 
