, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10, 4.4e-07, -2.3e-07, +3.8e-06 
1, 20, 5.9e-07, -3.6e-07, +1.2e-06 
2, 30, 7.4e-07, -5.1e-07, +1.6e-06 
3, 40, 1.2e-06, -9.6e-07, +8.1e-06 
4, 50, 1.5e-06, -1.2e-06, +2.2e-05 
5, 60, 1.3e-06, -1.1e-06, +1.3e-05 
6, 70, 1.4e-06, -1.2e-06, +4.7e-06 
7, 80, 1.7e-06, -1.4e-06, +1.3e-05 
8, 90, 1.8e-06, -1.6e-06, +5.5e-06 
9, 100, 2.0e-06, -1.8e-06, +1.9e-05 
10, 110, 2.5e-06, -2.3e-06, +4.0e-05 
11, 120, 2.3e-06, -2.1e-06, +2.5e-05 
12, 130, 2.5e-06, -2.3e-06, +1.7e-05 
13, 140, 2.8e-06, -2.6e-06, +4.3e-05 
14, 150, 3.5e-06, -3.3e-06, +9.5e-06 
15, 160, 3.4e-06, -3.1e-06, +9.2e-06 
16, 170, 4.9e-06, -4.6e-06, +1.8e-05 
17, 180, 4.8e-06, -4.5e-06, +3.7e-05 
18, 190, 5.1e-06, -4.8e-06, +2.1e-05 
19, 200, 5.8e-06, -5.4e-06, +2.2e-05 
20, 210, 5.7e-06, -5.2e-06, +1.0e-05 
21, 220, 5.5e-06, -5.2e-06, +2.8e-05 
22, 230, 4.2e-06, -4.0e-06, +8.1e-06 
23, 240, 4.1e-06, -3.8e-06, +5.0e-05 
24, 250, 4.6e-06, -4.3e-06, +2.9e-05 
25, 260, 4.6e-06, -4.4e-06, +3.1e-05 
26, 270, 4.6e-06, -4.4e-06, +4.3e-05 
27, 280, 5.2e-06, -5.0e-06, +2.3e-05 
28, 290, 6.0e-06, -5.7e-06, +3.3e-05 
29, 300, 6.0e-06, -5.6e-06, +2.4e-05 
30, 310, 9.4e-06, -9.0e-06, +2.0e-04 
31, 320, 6.2e-06, -5.9e-06, +3.4e-05 
32, 330, 7.2e-06, -6.9e-06, +3.0e-05 
33, 340, 7.2e-06, -7.0e-06, +4.7e-05 
34, 350, 6.3e-06, -6.0e-06, +2.1e-05 
35, 360, 7.2e-06, -6.8e-06, +4.9e-05 
36, 370, 7.1e-06, -6.9e-06, +2.8e-05 
37, 380, 6.9e-06, -6.6e-06, +2.0e-05 
38, 390, 8.9e-06, -8.7e-06, +2.6e-05 
39, 400, 9.0e-06, -8.8e-06, +2.6e-05 
40, 410, 8.0e-06, -7.8e-06, +3.3e-05 
