, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10, 4.4e-08, -2.3e-08, +3.8e-07 
1, 20, 2.9e-08, -1.8e-08, +6.2e-08 
2, 30, 2.5e-08, -1.7e-08, +5.3e-08 
3, 40, 3.0e-08, -2.4e-08, +2.0e-07 
4, 50, 2.9e-08, -2.4e-08, +4.4e-07 
5, 60, 2.2e-08, -1.8e-08, +2.1e-07 
6, 70, 2.1e-08, -1.7e-08, +6.7e-08 
7, 80, 2.1e-08, -1.8e-08, +1.6e-07 
8, 90, 2.0e-08, -1.8e-08, +6.1e-08 
9, 100, 2.0e-08, -1.8e-08, +1.9e-07 
10, 110, 2.3e-08, -2.1e-08, +3.6e-07 
11, 120, 1.9e-08, -1.8e-08, +2.1e-07 
12, 130, 2.0e-08, -1.8e-08, +1.3e-07 
13, 140, 2.0e-08, -1.8e-08, +3.1e-07 
14, 150, 2.3e-08, -2.2e-08, +6.3e-08 
15, 160, 2.1e-08, -1.9e-08, +5.8e-08 
16, 170, 2.9e-08, -2.7e-08, +1.1e-07 
17, 180, 2.7e-08, -2.5e-08, +2.1e-07 
18, 190, 2.7e-08, -2.5e-08, +1.1e-07 
19, 200, 2.9e-08, -2.7e-08, +1.1e-07 
20, 210, 2.7e-08, -2.5e-08, +4.8e-08 
21, 220, 2.5e-08, -2.4e-08, +1.3e-07 
22, 230, 1.8e-08, -1.7e-08, +3.5e-08 
23, 240, 1.7e-08, -1.6e-08, +2.1e-07 
24, 250, 1.8e-08, -1.7e-08, +1.2e-07 
25, 260, 1.8e-08, -1.7e-08, +1.2e-07 
26, 270, 1.7e-08, -1.6e-08, +1.6e-07 
27, 280, 1.9e-08, -1.8e-08, +8.0e-08 
28, 290, 2.1e-08, -2.0e-08, +1.1e-07 
29, 300, 2.0e-08, -1.9e-08, +8.1e-08 
30, 310, 3.0e-08, -2.9e-08, +6.4e-07 
31, 320, 1.9e-08, -1.9e-08, +1.1e-07 
32, 330, 2.2e-08, -2.1e-08, +9.2e-08 
33, 340, 2.1e-08, -2.1e-08, +1.4e-07 
34, 350, 1.8e-08, -1.7e-08, +5.9e-08 
35, 360, 2.0e-08, -1.9e-08, +1.4e-07 
36, 370, 1.9e-08, -1.9e-08, +7.6e-08 
37, 380, 1.8e-08, -1.7e-08, +5.2e-08 
38, 390, 2.3e-08, -2.2e-08, +6.8e-08 
39, 400, 2.3e-08, -2.2e-08, +6.5e-08 
40, 410, 2.0e-08, -1.9e-08, +8.2e-08 
41, 420, 1.8e-08, -1.7e-08, +7.1e-08 
42, 430, 1.8e-08, -1.7e-08, +7.7e-08 
43, 440, 1.8e-08, -1.7e-08, +1.1e-07 
44, 450, 2.3e-08, -2.2e-08, +1.4e-07 
45, 460, 1.9e-08, -1.8e-08, +1.0e-07 
