, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10, 6.8e-07, -4.3e-07, +5.5e-06 
1, 20, 6.3e-07, -3.8e-07, +2.1e-06 
2, 30, 7.1e-07, -4.7e-07, +5.0e-06 
3, 40, 8.3e-07, -5.6e-07, +7.0e-06 
4, 50, 8.7e-07, -6.1e-07, +2.6e-05 
5, 60, 8.5e-07, -5.8e-07, +1.9e-05 
6, 70, 9.0e-07, -6.3e-07, +8.5e-06 
7, 80, 1.4e-06, -1.0e-06, +2.0e-06 
8, 90, 1.4e-06, -9.8e-07, +5.8e-06 
9, 100, 1.4e-06, -1.1e-06, +1.9e-06 
10, 110, 1.1e-06, -8.6e-07, +1.0e-04 
11, 120, 1.6e-06, -1.3e-06, +2.8e-05 
12, 130, 9.9e-07, -7.1e-07, +2.4e-05 
13, 140, 1.0e-06, -7.3e-07, +1.4e-06 
14, 150, 1.0e-06, -7.8e-07, +6.8e-06 
15, 160, 1.1e-06, -8.3e-07, +6.5e-06 
16, 170, 1.2e-06, -8.9e-07, +1.1e-05 
17, 180, 1.2e-06, -9.1e-07, +9.4e-06 
18, 190, 1.2e-06, -9.5e-07, +4.7e-06 
19, 200, 1.2e-06, -8.9e-07, +5.7e-06 
20, 210, 1.6e-06, -1.3e-06, +2.0e-05 
21, 220, 1.7e-06, -1.3e-06, +5.8e-06 
22, 230, 1.4e-06, -1.1e-06, +1.0e-05 
23, 240, 1.2e-06, -9.0e-07, +4.7e-06 
24, 250, 1.8e-06, -1.5e-06, +6.2e-06 
25, 260, 1.3e-06, -9.8e-07, +4.5e-06 
26, 270, 1.1e-06, -8.7e-07, +7.7e-06 
27, 280, 1.3e-06, -1.0e-06, +4.3e-05 
28, 290, 1.2e-06, -8.4e-07, +2.0e-06 
29, 300, 1.2e-06, -9.5e-07, +7.2e-05 
30, 310, 1.4e-06, -1.1e-06, +3.0e-05 
31, 320, 1.2e-06, -9.4e-07, +3.9e-05 
32, 330, 1.3e-06, -9.9e-07, +5.1e-05 
33, 340, 1.3e-06, -1.0e-06, +2.4e-05 
34, 350, 1.4e-06, -1.0e-06, +9.0e-05 
35, 360, 1.2e-06, -9.4e-07, +5.4e-06 
36, 370, 1.3e-06, -1.0e-06, +5.8e-06 
37, 380, 1.5e-06, -1.3e-06, +2.4e-05 
38, 390, 1.4e-06, -1.0e-06, +1.9e-05 
39, 400, 1.8e-06, -1.4e-06, +7.1e-05 
40, 410, 1.3e-06, -9.2e-07, +2.5e-05 
41, 420, 1.5e-06, -1.1e-06, +2.4e-05 
42, 430, 1.4e-06, -9.2e-07, +1.0e-04 
43, 440, 1.7e-06, -1.3e-06, +3.0e-05 
44, 450, 1.7e-06, -1.4e-06, +1.1e-05 
45, 460, 1.4e-06, -1.0e-06, +7.8e-05 
46, 470, 1.4e-06, -1.1e-06, +4.4e-06 
47, 480, 1.4e-06, -9.2e-07, +9.3e-06 
48, 490, 2.5e-06, -1.9e-06, +1.4e-05 
49, 500, 2.4e-06, -2.0e-06, +6.5e-06 
50, 510, 1.4e-06, -9.9e-07, +1.1e-05 
51, 520, 2.4e-06, -1.8e-06, +3.6e-05 
52, 530, 2.5e-06, -1.9e-06, +8.3e-06 
53, 540, 2.4e-06, -1.8e-06, +1.6e-05 
54, 550, 2.5e-06, -2.1e-06, +6.9e-06 
55, 560, 2.6e-06, -1.9e-06, +2.5e-05 
56, 570, 2.3e-06, -1.9e-06, +3.4e-05 
57, 580, 1.4e-06, -1.0e-06, +2.6e-05 
58, 590, 1.3e-06, -9.7e-07, +4.5e-06 
59, 600, 1.7e-06, -1.3e-06, +2.3e-05 
60, 610, 1.6e-06, -1.2e-06, +2.4e-05 
61, 620, 1.7e-06, -1.3e-06, +1.8e-05 
62, 630, 2.0e-06, -1.6e-06, +3.6e-05 
63, 640, 2.0e-06, -1.5e-06, +8.5e-05 
64, 650, 1.7e-06, -1.4e-06, +7.6e-06 
65, 660, 2.0e-06, -1.6e-06, +1.0e-04 
66, 670, 1.7e-06, -1.3e-06, +1.1e-05 
67, 680, 1.6e-06, -1.2e-06, +1.9e-05 
68, 690, 1.5e-06, -1.1e-06, +9.0e-05 
69, 700, 1.7e-06, -1.1e-06, +5.2e-05 
70, 710, 1.7e-06, -1.3e-06, +6.3e-05 
71, 720, 1.9e-06, -1.5e-06, +1.3e-04 
72, 730, 1.9e-06, -1.5e-06, +4.6e-06 
73, 740, 2.4e-06, -1.9e-06, +7.2e-05 
74, 750, 2.6e-06, -2.2e-06, +3.6e-02 
75, 760, 1.7e-06, -1.3e-06, +7.6e-06 
76, 770, 1.8e-06, -1.4e-06, +2.4e-06 
77, 780, 1.6e-06, -1.2e-06, +9.7e-05 
78, 790, 2.2e-06, -1.8e-06, +3.3e-05 
79, 800, 2.2e-06, -1.8e-06, +5.1e-05 
80, 810, 2.5e-06, -2.0e-06, +5.8e-05 
81, 820, 1.7e-06, -1.2e-06, +1.0e-04 
82, 830, 1.7e-06, -1.2e-06, +7.5e-05 
83, 840, 1.8e-06, -1.4e-06, +1.3e-04 
84, 850, 1.6e-06, -1.2e-06, +6.4e-05 
85, 860, 2.3e-06, -1.8e-06, +7.1e-05 
86, 870, 2.4e-06, -1.9e-06, +2.4e-05 
87, 880, 2.3e-06, -1.9e-06, +1.3e-05 
88, 890, 1.9e-06, -1.5e-06, +6.9e-05 
89, 900, 2.7e-06, -2.2e-06, +9.1e-05 
90, 910, 1.7e-06, -1.3e-06, +1.0e-05 
91, 920, 1.5e-06, -1.1e-06, +4.9e-06 
92, 930, 1.8e-06, -1.4e-06, +6.1e-05 
93, 940, 1.6e-06, -1.3e-06, +8.2e-05 
94, 950, 1.6e-06, -1.2e-06, +4.4e-05 
95, 960, 1.7e-06, -1.4e-06, +2.9e-05 
96, 970, 1.8e-06, -1.4e-06, +4.3e-05 
97, 980, 1.6e-06, -1.1e-06, +4.6e-05 
98, 990, 2.3e-06, -1.8e-06, +6.7e-05 
99, 1000, 1.6e-06, -1.1e-06, +1.0e-04 
