, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10, 8.2e-07, -5.5e-07, +1.3e-05 
1, 20, 7.2e-07, -4.4e-07, +2.9e-05 
2, 30, 8.2e-07, -5.6e-07, +1.1e-05 
3, 40, 9.5e-07, -6.9e-07, +1.3e-05 
4, 50, 9.8e-07, -6.9e-07, +9.1e-06 
5, 60, 9.6e-07, -6.8e-07, +2.5e-05 
6, 70, 1.0e-06, -7.6e-07, +5.0e-05 
7, 80, 1.6e-06, -1.3e-06, +5.8e-06 
8, 90, 1.7e-06, -1.4e-06, +1.8e-05 
9, 100, 1.7e-06, -1.4e-06, +2.5e-05 
10, 110, 1.3e-06, -1.0e-06, +7.5e-06 
11, 120, 1.8e-06, -1.5e-06, +6.4e-05 
12, 130, 1.1e-06, -8.4e-07, +6.6e-06 
13, 140, 1.1e-06, -8.2e-07, +2.4e-05 
14, 150, 1.2e-06, -9.2e-07, +1.2e-05 
15, 160, 1.2e-06, -9.3e-07, +9.4e-06 
16, 170, 1.3e-06, -9.8e-07, +1.1e-05 
17, 180, 1.3e-06, -9.0e-07, +8.2e-03 
18, 190, 1.4e-06, -1.1e-06, +3.4e-05 
19, 200, 1.3e-06, -9.8e-07, +1.1e-05 
20, 210, 1.8e-06, -1.3e-06, +7.0e-06 
21, 220, 2.0e-06, -1.5e-06, +5.8e-06 
22, 230, 1.6e-06, -1.3e-06, +1.5e-05 
23, 240, 1.3e-06, -1.0e-06, +5.1e-06 
24, 250, 2.1e-06, -1.6e-06, +1.2e-05 
25, 260, 1.4e-06, -1.0e-06, +8.2e-06 
26, 270, 1.3e-06, -9.9e-07, +1.8e-06 
27, 280, 1.4e-06, -1.1e-06, +9.9e-05 
28, 290, 1.3e-06, -1.0e-06, +7.3e-06 
29, 300, 1.4e-06, -9.3e-07, +2.6e-05 
30, 310, 1.5e-06, -1.2e-06, +2.8e-05 
31, 320, 1.4e-06, -1.1e-06, +2.7e-05 
32, 330, 1.5e-06, -1.2e-06, +4.7e-05 
33, 340, 1.4e-06, -1.1e-06, +5.1e-06 
34, 350, 1.5e-06, -1.2e-06, +1.8e-05 
35, 360, 1.4e-06, -1.1e-06, +4.8e-05 
36, 370, 1.5e-06, -1.1e-06, +1.2e-05 
37, 380, 1.7e-06, -1.4e-06, +8.9e-05 
38, 390, 1.6e-06, -1.3e-06, +5.4e-05 
39, 400, 2.1e-06, -1.7e-06, +5.9e-06 
40, 410, 1.5e-06, -1.0e-06, +1.3e-05 
41, 420, 1.6e-06, -1.4e-06, +2.0e-05 
42, 430, 1.5e-06, -1.1e-06, +8.7e-05 
