, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10, 6.8e-08, -4.3e-08, +5.5e-07 
1, 20, 3.2e-08, -1.9e-08, +1.0e-07 
2, 30, 2.4e-08, -1.6e-08, +1.7e-07 
3, 40, 2.1e-08, -1.4e-08, +1.8e-07 
4, 50, 1.7e-08, -1.2e-08, +5.2e-07 
5, 60, 1.4e-08, -9.7e-09, +3.2e-07 
6, 70, 1.3e-08, -9.0e-09, +1.2e-07 
7, 80, 1.7e-08, -1.3e-08, +2.5e-08 
8, 90, 1.6e-08, -1.1e-08, +6.4e-08 
9, 100, 1.4e-08, -1.1e-08, +1.9e-08 
10, 110, 1.0e-08, -7.8e-09, +9.4e-07 
11, 120, 1.3e-08, -1.0e-08, +2.3e-07 
12, 130, 7.6e-09, -5.5e-09, +1.8e-07 
13, 140, 7.2e-09, -5.2e-09, +1.0e-08 
14, 150, 6.9e-09, -5.2e-09, +4.6e-08 
15, 160, 6.8e-09, -5.2e-09, +4.0e-08 
16, 170, 6.9e-09, -5.2e-09, +6.2e-08 
17, 180, 6.6e-09, -5.1e-09, +5.2e-08 
18, 190, 6.4e-09, -5.0e-09, +2.5e-08 
19, 200, 5.9e-09, -4.4e-09, +2.8e-08 
20, 210, 7.6e-09, -6.3e-09, +9.7e-08 
21, 220, 8.0e-09, -5.9e-09, +2.6e-08 
22, 230, 6.3e-09, -5.0e-09, +4.5e-08 
23, 240, 4.9e-09, -3.8e-09, +2.0e-08 
24, 250, 7.2e-09, -5.9e-09, +2.5e-08 
25, 260, 4.8e-09, -3.8e-09, +1.7e-08 
26, 270, 4.2e-09, -3.2e-09, +2.9e-08 
27, 280, 4.5e-09, -3.6e-09, +1.5e-07 
28, 290, 4.2e-09, -2.9e-09, +6.8e-09 
29, 300, 4.1e-09, -3.2e-09, +2.4e-07 
30, 310, 4.4e-09, -3.6e-09, +9.7e-08 
31, 320, 3.8e-09, -2.9e-09, +1.2e-07 
32, 330, 4.1e-09, -3.0e-09, +1.5e-07 
33, 340, 3.9e-09, -3.1e-09, +7.2e-08 
34, 350, 3.9e-09, -2.9e-09, +2.6e-07 
35, 360, 3.4e-09, -2.6e-09, +1.5e-08 
36, 370, 3.5e-09, -2.7e-09, +1.6e-08 
37, 380, 4.0e-09, -3.3e-09, +6.4e-08 
38, 390, 3.6e-09, -2.7e-09, +4.9e-08 
39, 400, 4.6e-09, -3.5e-09, +1.8e-07 
40, 410, 3.2e-09, -2.2e-09, +6.1e-08 
41, 420, 3.5e-09, -2.7e-09, +5.7e-08 
42, 430, 3.1e-09, -2.1e-09, +2.4e-07 
43, 440, 3.9e-09, -2.9e-09, +6.8e-08 
44, 450, 3.9e-09, -3.1e-09, +2.5e-08 
45, 460, 3.1e-09, -2.3e-09, +1.7e-07 
46, 470, 3.0e-09, -2.2e-09, +9.4e-09 
47, 480, 3.0e-09, -1.9e-09, +1.9e-08 
48, 490, 5.1e-09, -3.9e-09, +2.9e-08 
49, 500, 4.8e-09, -4.1e-09, +1.3e-08 
50, 510, 2.7e-09, -1.9e-09, +2.2e-08 
51, 520, 4.7e-09, -3.5e-09, +6.9e-08 
52, 530, 4.8e-09, -3.6e-09, +1.6e-08 
53, 540, 4.5e-09, -3.4e-09, +2.9e-08 
54, 550, 4.6e-09, -3.7e-09, +1.2e-08 
55, 560, 4.6e-09, -3.5e-09, +4.4e-08 
56, 570, 4.0e-09, -3.4e-09, +5.9e-08 
57, 580, 2.4e-09, -1.8e-09, +4.4e-08 
58, 590, 2.3e-09, -1.6e-09, +7.5e-09 
59, 600, 2.8e-09, -2.2e-09, +3.8e-08 
60, 610, 2.6e-09, -2.0e-09, +4.0e-08 
61, 620, 2.8e-09, -2.2e-09, +2.8e-08 
62, 630, 3.1e-09, -2.6e-09, +5.7e-08 
63, 640, 3.2e-09, -2.3e-09, +1.3e-07 
64, 650, 2.7e-09, -2.2e-09, +1.2e-08 
65, 660, 3.0e-09, -2.5e-09, +1.6e-07 
66, 670, 2.6e-09, -2.0e-09, +1.7e-08 
67, 680, 2.3e-09, -1.8e-09, +2.8e-08 
68, 690, 2.2e-09, -1.7e-09, +1.3e-07 
69, 700, 2.5e-09, -1.6e-09, +7.4e-08 
70, 710, 2.3e-09, -1.8e-09, +8.9e-08 
71, 720, 2.6e-09, -2.1e-09, +1.8e-07 
72, 730, 2.6e-09, -2.0e-09, +6.2e-09 
73, 740, 3.2e-09, -2.6e-09, +9.7e-08 
74, 750, 3.5e-09, -2.9e-09, +4.8e-05 
75, 760, 2.3e-09, -1.7e-09, +1.0e-08 
76, 770, 2.3e-09, -1.9e-09, +3.2e-09 
77, 780, 2.0e-09, -1.6e-09, +1.2e-07 
78, 790, 2.8e-09, -2.3e-09, +4.1e-08 
79, 800, 2.8e-09, -2.2e-09, +6.4e-08 
80, 810, 3.1e-09, -2.4e-09, +7.1e-08 
81, 820, 2.1e-09, -1.5e-09, +1.2e-07 
82, 830, 2.0e-09, -1.4e-09, +9.0e-08 
83, 840, 2.1e-09, -1.7e-09, +1.6e-07 
84, 850, 1.9e-09, -1.4e-09, +7.6e-08 
85, 860, 2.7e-09, -2.1e-09, +8.3e-08 
86, 870, 2.8e-09, -2.1e-09, +2.7e-08 
87, 880, 2.6e-09, -2.2e-09, +1.5e-08 
88, 890, 2.1e-09, -1.7e-09, +7.7e-08 
89, 900, 3.0e-09, -2.4e-09, +1.0e-07 
90, 910, 1.9e-09, -1.5e-09, +1.1e-08 
91, 920, 1.6e-09, -1.2e-09, +5.3e-09 
92, 930, 1.9e-09, -1.5e-09, +6.6e-08 
93, 940, 1.7e-09, -1.3e-09, +8.7e-08 
94, 950, 1.7e-09, -1.3e-09, +4.6e-08 
95, 960, 1.8e-09, -1.4e-09, +3.0e-08 
96, 970, 1.8e-09, -1.4e-09, +4.4e-08 
97, 980, 1.6e-09, -1.1e-09, +4.7e-08 
98, 990, 2.3e-09, -1.8e-09, +6.8e-08 
99, 1000, 1.6e-09, -1.1e-09, +1.0e-07 
