, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10, 8.2e-08, -5.5e-08, +1.3e-06 
1, 20, 3.6e-08, -2.2e-08, +1.4e-06 
2, 30, 2.7e-08, -1.9e-08, +3.8e-07 
3, 40, 2.4e-08, -1.7e-08, +3.4e-07 
4, 50, 2.0e-08, -1.4e-08, +1.8e-07 
5, 60, 1.6e-08, -1.1e-08, +4.1e-07 
6, 70, 1.5e-08, -1.1e-08, +7.1e-07 
7, 80, 2.0e-08, -1.6e-08, +7.2e-08 
8, 90, 1.9e-08, -1.5e-08, +2.0e-07 
9, 100, 1.7e-08, -1.4e-08, +2.5e-07 
10, 110, 1.2e-08, -9.2e-09, +6.8e-08 
11, 120, 1.5e-08, -1.2e-08, +5.3e-07 
12, 130, 8.5e-09, -6.5e-09, +5.1e-08 
13, 140, 7.9e-09, -5.9e-09, +1.7e-07 
14, 150, 7.9e-09, -6.1e-09, +8.2e-08 
15, 160, 7.6e-09, -5.8e-09, +5.9e-08 
16, 170, 7.5e-09, -5.8e-09, +6.3e-08 
17, 180, 7.3e-09, -5.0e-09, +4.6e-05 
18, 190, 7.2e-09, -5.6e-09, +1.8e-07 
19, 200, 6.3e-09, -4.9e-09, +5.4e-08 
20, 210, 8.7e-09, -6.2e-09, +3.3e-08 
21, 220, 9.2e-09, -6.9e-09, +2.6e-08 
22, 230, 6.9e-09, -5.5e-09, +6.4e-08 
23, 240, 5.6e-09, -4.2e-09, +2.1e-08 
24, 250, 8.4e-09, -6.6e-09, +4.7e-08 
25, 260, 5.2e-09, -4.0e-09, +3.2e-08 
26, 270, 4.7e-09, -3.7e-09, +6.8e-09 
27, 280, 5.0e-09, -4.1e-09, +3.5e-07 
28, 290, 4.6e-09, -3.6e-09, +2.5e-08 
29, 300, 4.5e-09, -3.1e-09, +8.6e-08 
30, 310, 4.9e-09, -3.9e-09, +9.0e-08 
31, 320, 4.2e-09, -3.4e-09, +8.4e-08 
32, 330, 4.6e-09, -3.8e-09, +1.4e-07 
33, 340, 4.2e-09, -3.4e-09, +1.5e-08 
34, 350, 4.3e-09, -3.4e-09, +5.0e-08 
35, 360, 3.8e-09, -3.1e-09, +1.3e-07 
36, 370, 3.9e-09, -3.1e-09, +3.3e-08 
37, 380, 4.4e-09, -3.7e-09, +2.3e-07 
38, 390, 4.0e-09, -3.2e-09, +1.4e-07 
39, 400, 5.2e-09, -4.2e-09, +1.5e-08 
40, 410, 3.6e-09, -2.6e-09, +3.2e-08 
41, 420, 3.9e-09, -3.2e-09, +4.8e-08 
42, 430, 3.5e-09, -2.6e-09, +2.0e-07 
43, 440, 4.1e-09, -3.4e-09, +5.7e-08 
44, 450, 4.2e-09, -3.0e-09, +1.1e-08 
45, 460, 3.5e-09, -2.7e-09, +3.9e-08 
46, 470, 3.4e-09, -2.5e-09, +5.8e-08 
47, 480, 3.4e-09, -2.6e-09, +2.3e-08 
48, 490, 6.0e-09, -4.5e-09, +2.7e-08 
49, 500, 5.6e-09, -4.2e-09, +4.4e-08 
50, 510, 3.1e-09, -2.4e-09, +3.0e-08 
51, 520, 5.5e-09, -4.3e-09, +3.5e-07 
52, 530, 5.7e-09, -4.2e-09, +5.8e-08 
53, 540, 5.1e-09, -4.0e-09, +4.8e-08 
54, 550, 5.4e-09, -4.4e-09, +1.4e-08 
55, 560, 5.2e-09, -4.2e-09, +6.8e-08 
56, 570, 4.7e-09, -3.5e-09, +4.0e-08 
57, 580, 2.7e-09, -2.1e-09, +3.6e-08 
58, 590, 2.6e-09, -1.9e-09, +7.2e-09 
59, 600, 3.1e-09, -2.5e-09, +4.4e-08 
60, 610, 2.8e-09, -2.2e-09, +8.6e-08 
61, 620, 3.0e-09, -2.5e-09, +1.7e-08 
62, 630, 3.4e-09, -2.7e-09, +4.5e-08 
63, 640, 3.4e-09, -2.8e-09, +3.1e-08 
64, 650, 2.9e-09, -2.3e-09, +1.0e-08 
65, 660, 3.1e-09, -2.6e-09, +4.3e-08 
66, 670, 2.8e-09, -2.1e-09, +4.7e-08 
67, 680, 2.6e-09, -2.0e-09, +1.9e-08 
68, 690, 2.4e-09, -1.9e-09, +1.2e-07 
69, 700, 2.8e-09, -2.0e-09, +1.0e-07 
70, 710, 2.6e-09, -2.0e-09, +7.9e-08 
71, 720, 2.8e-09, -2.1e-09, +1.1e-07 
72, 730, 2.9e-09, -2.3e-09, +6.9e-08 
73, 740, 3.6e-09, -2.8e-09, +1.1e-07 
74, 750, 3.7e-09, -3.1e-09, +1.6e-07 
75, 760, 2.6e-09, -1.9e-09, +1.4e-07 
76, 770, 2.6e-09, -2.1e-09, +9.0e-08 
77, 780, 2.2e-09, -1.8e-09, +3.3e-08 
78, 790, 3.3e-09, -2.2e-09, +8.3e-09 
79, 800, 3.4e-09, -2.5e-09, +2.5e-08 
80, 810, 3.5e-09, -3.0e-09, +7.4e-08 
81, 820, 2.3e-09, -1.9e-09, +7.8e-08 
82, 830, 2.2e-09, -1.6e-09, +5.1e-08 
83, 840, 2.2e-09, -1.8e-09, +3.9e-08 
84, 850, 2.1e-09, -1.4e-09, +6.9e-09 
85, 860, 3.2e-09, -2.4e-09, +7.0e-08 
86, 870, 3.2e-09, -2.6e-09, +7.3e-08 
87, 880, 2.9e-09, -2.5e-09, +1.3e-07 
88, 890, 2.3e-09, -1.8e-09, +5.2e-08 
89, 900, 3.5e-09, -2.7e-09, +6.5e-08 
90, 910, 2.1e-09, -1.7e-09, +2.5e-08 
91, 920, 1.9e-09, -1.3e-09, +1.6e-08 
92, 930, 2.1e-09, -1.5e-09, +2.0e-08 
93, 940, 1.9e-09, -1.6e-09, +5.1e-09 
94, 950, 1.9e-09, -1.5e-09, +1.0e-08 
95, 960, 2.0e-09, -1.5e-09, +2.8e-08 
96, 970, 2.0e-09, -1.4e-09, +6.3e-08 
97, 980, 1.8e-09, -1.1e-09, +7.0e-08 
98, 990, 2.7e-09, -2.0e-09, +6.9e-08 
99, 1000, 1.8e-09, -1.3e-09, +4.5e-08 
