, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10, 6.2e-07, -3.7e-07, +2.3e-06 
1, 20, 7.2e-07, -4.7e-07, +5.0e-06 
2, 30, 1.1e-06, -8.4e-07, +2.4e-05 
3, 40, 1.2e-06, -8.9e-07, +5.5e-06 
4, 50, 1.2e-06, -8.6e-07, +1.5e-05 
5, 60, 9.0e-07, -6.3e-07, +1.6e-05 
6, 70, 9.8e-07, -7.0e-07, +2.5e-05 
7, 80, 9.4e-07, -6.8e-07, +2.7e-05 
8, 90, 9.9e-07, -7.0e-07, +2.0e-05 
9, 100, 9.9e-07, -7.0e-07, +2.4e-06 
10, 110, 9.7e-07, -7.0e-07, +2.3e-05 
11, 120, 1.0e-06, -7.2e-07, +4.9e-06 
12, 130, 1.4e-06, -1.1e-06, +8.6e-07 
13, 140, 1.2e-06, -8.8e-07, +5.9e-06 
14, 150, 1.0e-06, -7.1e-07, +4.2e-06 
15, 160, 1.1e-06, -8.2e-07, +2.0e-05 
16, 170, 1.2e-06, -8.3e-07, +5.8e-06 
17, 180, 1.1e-06, -8.3e-07, +3.8e-06 
18, 190, 1.5e-06, -1.2e-06, +6.1e-06 
19, 200, 1.6e-06, -1.2e-06, +4.5e-06 
20, 210, 1.6e-06, -1.2e-06, +5.3e-06 
21, 220, 1.8e-06, -1.3e-06, +1.7e-05 
22, 230, 1.8e-06, -1.3e-06, +2.4e-05 
23, 240, 1.8e-06, -1.3e-06, +1.8e-05 
24, 250, 1.9e-06, -1.4e-06, +5.7e-06 
25, 260, 1.9e-06, -1.4e-06, +7.7e-06 
26, 270, 1.9e-06, -1.4e-06, +4.3e-06 
27, 280, 2.0e-06, -1.5e-06, +8.1e-06 
28, 290, 2.2e-06, -1.6e-06, +2.2e-05 
29, 300, 2.2e-06, -1.5e-06, +8.4e-06 
30, 310, 2.0e-06, -1.5e-06, +7.8e-06 
31, 320, 2.3e-06, -1.8e-06, +2.0e-05 
32, 330, 2.3e-06, -1.5e-06, +7.4e-06 
33, 340, 2.2e-06, -1.7e-06, +9.2e-06 
34, 350, 1.3e-06, -1.0e-06, +3.6e-05 
35, 360, 1.6e-06, -1.2e-06, +1.9e-05 
36, 370, 2.1e-06, -1.6e-06, +2.6e-05 
37, 380, 1.9e-06, -1.5e-06, +2.4e-05 
38, 390, 2.1e-06, -1.6e-06, +2.0e-05 
39, 400, 2.0e-06, -1.5e-06, +1.9e-05 
40, 410, 1.9e-06, -1.4e-06, +1.7e-05 
41, 420, 1.8e-06, -1.4e-06, +1.6e-05 
42, 430, 2.0e-06, -1.6e-06, +1.5e-05 
43, 440, 2.0e-06, -1.6e-06, +2.4e-05 
44, 450, 1.5e-06, -1.1e-06, +3.2e-06 
45, 460, 1.9e-06, -1.5e-06, +5.1e-06 
46, 470, 1.9e-06, -1.5e-06, +6.6e-06 
47, 480, 1.8e-06, -1.4e-06, +5.4e-06 
48, 490, 1.6e-06, -1.3e-06, +6.7e-06 
49, 500, 1.5e-06, -1.2e-06, +6.6e-06 
50, 510, 1.9e-06, -1.4e-06, +6.2e-06 
51, 520, 1.8e-06, -1.4e-06, +1.3e-05 
52, 530, 2.0e-06, -1.4e-06, +5.8e-06 
53, 540, 2.3e-06, -1.9e-06, +7.0e-06 
54, 550, 1.8e-06, -1.5e-06, +8.5e-06 
55, 560, 1.4e-06, -9.8e-07, +2.4e-05 
56, 570, 1.4e-06, -1.1e-06, +2.3e-05 
57, 580, 1.4e-06, -1.0e-06, +2.0e-05 
58, 590, 1.4e-06, -1.0e-06, +1.8e-05 
59, 600, 1.4e-06, -1.1e-06, +2.3e-05 
60, 610, 1.5e-06, -1.1e-06, +4.7e-06 
61, 620, 1.4e-06, -1.0e-06, +4.5e-06 
62, 630, 1.7e-06, -1.3e-06, +2.6e-05 
63, 640, 2.0e-06, -1.5e-06, +5.8e-06 
64, 650, 2.1e-06, -1.8e-06, +1.9e-05 
