, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10, 7.3e-07, -4.4e-07, +2.5e-05 
1, 20, 8.5e-07, -5.7e-07, +5.3e-06 
2, 30, 1.4e-06, -1.1e-06, +6.0e-06 
3, 40, 1.5e-06, -1.2e-06, +5.6e-06 
4, 50, 1.5e-06, -1.2e-06, +1.4e-05 
5, 60, 1.0e-06, -7.3e-07, +3.8e-05 
6, 70, 1.1e-06, -7.9e-07, +1.6e-05 
7, 80, 1.0e-06, -7.5e-07, +1.9e-05 
8, 90, 1.1e-06, -8.4e-07, +7.1e-05 
9, 100, 1.1e-06, -8.2e-07, +2.1e-05 
10, 110, 1.1e-06, -8.3e-07, +2.8e-06 
11, 120, 1.1e-06, -8.2e-07, +4.0e-05 
12, 130, 1.6e-06, -1.3e-06, +5.2e-06 
13, 140, 1.3e-06, -1.0e-06, +2.1e-05 
14, 150, 1.1e-06, -8.7e-07, +2.0e-06 
15, 160, 1.3e-06, -9.7e-07, +1.9e-05 
16, 170, 1.3e-06, -1.0e-06, +2.0e-05 
17, 180, 1.2e-06, -9.2e-07, +1.4e-05 
18, 190, 1.8e-06, -1.5e-06, +2.1e-05 
19, 200, 1.9e-06, -1.5e-06, +5.2e-06 
20, 210, 1.8e-06, -1.4e-06, +2.2e-05 
21, 220, 2.0e-06, -1.5e-06, +2.1e-05 
22, 230, 2.0e-06, -1.5e-06, +2.4e-05 
23, 240, 2.1e-06, -1.6e-06, +2.4e-05 
24, 250, 2.2e-06, -1.6e-06, +1.9e-05 
25, 260, 2.1e-06, -1.7e-06, +6.4e-06 
26, 270, 2.2e-06, -1.7e-06, +7.1e-06 
27, 280, 2.4e-06, -1.7e-06, +6.6e-06 
28, 290, 2.6e-06, -2.0e-06, +2.2e-05 
29, 300, 2.6e-06, -2.0e-06, +1.9e-05 
30, 310, 2.4e-06, -1.9e-06, +2.1e-05 
31, 320, 2.7e-06, -2.1e-06, +1.4e-05 
32, 330, 2.6e-06, -2.1e-06, +2.2e-05 
33, 340, 2.6e-06, -2.1e-06, +2.1e-05 
34, 350, 1.5e-06, -1.2e-06, +7.3e-06 
35, 360, 1.9e-06, -1.4e-06, +2.3e-05 
36, 370, 2.4e-06, -1.9e-06, +2.9e-05 
37, 380, 2.2e-06, -1.6e-06, +2.0e-05 
38, 390, 2.3e-06, -1.8e-06, +2.2e-05 
39, 400, 2.3e-06, -1.8e-06, +2.4e-05 
40, 410, 2.4e-06, -1.8e-06, +1.6e-05 
41, 420, 2.2e-06, -1.6e-06, +2.3e-05 
42, 430, 2.3e-06, -1.7e-06, +1.6e-05 
43, 440, 2.3e-06, -1.8e-06, +8.7e-06 
44, 450, 1.7e-06, -1.3e-06, +2.6e-05 
45, 460, 2.2e-06, -1.7e-06, +2.4e-05 
46, 470, 2.3e-06, -1.9e-06, +2.0e-05 
47, 480, 2.1e-06, -1.7e-06, +1.1e-05 
48, 490, 1.8e-06, -1.4e-06, +1.7e-05 
49, 500, 1.7e-06, -1.3e-06, +9.3e-06 
50, 510, 2.1e-06, -1.7e-06, +3.5e-05 
51, 520, 2.1e-06, -1.8e-06, +2.1e-05 
52, 530, 2.3e-06, -2.0e-06, +2.5e-05 
53, 540, 2.6e-06, -2.2e-06, +8.2e-06 
54, 550, 2.0e-06, -1.7e-06, +1.9e-05 
55, 560, 1.5e-06, -1.2e-06, +3.7e-06 
56, 570, 1.5e-06, -1.3e-06, +1.7e-05 
57, 580, 1.5e-06, -1.1e-06, +4.0e-06 
58, 590, 1.5e-06, -1.1e-06, +2.3e-05 
59, 600, 1.6e-06, -1.2e-06, +1.9e-06 
60, 610, 1.7e-06, -1.4e-06, +7.6e-06 
61, 620, 1.6e-06, -1.3e-06, +2.2e-05 
62, 630, 1.8e-06, -1.3e-06, +1.1e-05 
63, 640, 2.4e-06, -1.9e-06, +1.7e-05 
64, 650, 2.5e-06, -2.0e-06, +1.7e-05 
65, 660, 2.6e-06, -2.0e-06, +4.5e-05 
66, 670, 2.4e-06, -2.0e-06, +1.9e-05 
67, 680, 2.3e-06, -1.7e-06, +8.6e-06 
68, 690, 1.7e-06, -1.2e-06, +9.3e-06 
69, 700, 1.7e-06, -1.4e-06, +1.9e-05 
70, 710, 1.7e-06, -1.4e-06, +4.4e-06 
71, 720, 1.8e-06, -1.3e-06, +1.5e-05 
72, 730, 1.7e-06, -1.4e-06, +2.4e-05 
73, 740, 1.6e-06, -1.2e-06, +2.1e-05 
74, 750, 1.7e-06, -1.1e-06, +2.1e-05 
75, 760, 2.8e-06, -2.1e-06, +5.4e-06 
76, 770, 2.8e-06, -2.2e-06, +2.2e-05 
77, 780, 2.6e-06, -2.0e-06, +2.0e-05 
78, 790, 2.8e-06, -2.4e-06, +5.4e-06 
79, 800, 2.0e-06, -1.5e-06, +6.6e-06 
80, 810, 2.1e-06, -1.7e-06, +9.6e-06 
