, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10, 6.2e-08, -3.7e-08, +2.3e-07 
1, 20, 3.6e-08, -2.3e-08, +2.5e-07 
2, 30, 3.7e-08, -2.8e-08, +7.9e-07 
3, 40, 2.9e-08, -2.2e-08, +1.4e-07 
4, 50, 2.4e-08, -1.7e-08, +3.0e-07 
5, 60, 1.5e-08, -1.1e-08, +2.7e-07 
6, 70, 1.4e-08, -1.0e-08, +3.5e-07 
7, 80, 1.2e-08, -8.5e-09, +3.3e-07 
8, 90, 1.1e-08, -7.8e-09, +2.2e-07 
9, 100, 9.9e-09, -7.0e-09, +2.4e-08 
10, 110, 8.8e-09, -6.4e-09, +2.1e-07 
11, 120, 8.3e-09, -6.0e-09, +4.1e-08 
12, 130, 1.0e-08, -8.3e-09, +6.6e-09 
13, 140, 8.5e-09, -6.3e-09, +4.2e-08 
14, 150, 6.7e-09, -4.7e-09, +2.8e-08 
15, 160, 6.8e-09, -5.1e-09, +1.2e-07 
16, 170, 7.0e-09, -4.9e-09, +3.4e-08 
17, 180, 6.1e-09, -4.6e-09, +2.1e-08 
18, 190, 7.8e-09, -6.3e-09, +3.2e-08 
19, 200, 8.2e-09, -6.0e-09, +2.2e-08 
20, 210, 7.5e-09, -5.5e-09, +2.5e-08 
21, 220, 8.1e-09, -5.9e-09, +7.7e-08 
22, 230, 7.7e-09, -5.8e-09, +1.1e-07 
23, 240, 7.5e-09, -5.6e-09, +7.7e-08 
24, 250, 7.5e-09, -5.6e-09, +2.3e-08 
25, 260, 7.1e-09, -5.3e-09, +3.0e-08 
26, 270, 7.1e-09, -5.3e-09, +1.6e-08 
27, 280, 7.2e-09, -5.2e-09, +2.9e-08 
28, 290, 7.4e-09, -5.4e-09, +7.5e-08 
29, 300, 7.2e-09, -5.1e-09, +2.8e-08 
30, 310, 6.6e-09, -4.9e-09, +2.5e-08 
31, 320, 7.1e-09, -5.5e-09, +6.3e-08 
32, 330, 6.8e-09, -4.5e-09, +2.3e-08 
33, 340, 6.4e-09, -5.0e-09, +2.7e-08 
34, 350, 3.7e-09, -2.9e-09, +1.0e-07 
35, 360, 4.5e-09, -3.2e-09, +5.3e-08 
36, 370, 5.6e-09, -4.4e-09, +6.9e-08 
37, 380, 5.1e-09, -4.0e-09, +6.3e-08 
38, 390, 5.3e-09, -4.1e-09, +5.1e-08 
39, 400, 4.9e-09, -3.8e-09, +4.7e-08 
40, 410, 4.7e-09, -3.5e-09, +4.2e-08 
41, 420, 4.2e-09, -3.4e-09, +3.7e-08 
42, 430, 4.6e-09, -3.6e-09, +3.4e-08 
43, 440, 4.6e-09, -3.5e-09, +5.6e-08 
44, 450, 3.4e-09, -2.5e-09, +7.1e-09 
45, 460, 4.0e-09, -3.2e-09, +1.1e-08 
46, 470, 4.0e-09, -3.1e-09, +1.4e-08 
47, 480, 3.7e-09, -3.0e-09, +1.1e-08 
48, 490, 3.2e-09, -2.6e-09, +1.4e-08 
49, 500, 3.1e-09, -2.3e-09, +1.3e-08 
50, 510, 3.6e-09, -2.7e-09, +1.2e-08 
