, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 10, 7.3e-08, -4.4e-08, +2.5e-06 
1, 20, 4.2e-08, -2.8e-08, +2.6e-07 
2, 30, 4.5e-08, -3.6e-08, +2.0e-07 
3, 40, 3.6e-08, -2.9e-08, +1.4e-07 
4, 50, 2.9e-08, -2.4e-08, +2.8e-07 
5, 60, 1.7e-08, -1.2e-08, +6.4e-07 
6, 70, 1.5e-08, -1.1e-08, +2.3e-07 
7, 80, 1.3e-08, -9.4e-09, +2.4e-07 
8, 90, 1.2e-08, -9.3e-09, +7.8e-07 
9, 100, 1.1e-08, -8.2e-09, +2.1e-07 
10, 110, 1.0e-08, -7.5e-09, +2.6e-08 
11, 120, 9.4e-09, -6.8e-09, +3.4e-07 
12, 130, 1.3e-08, -1.0e-08, +4.0e-08 
13, 140, 9.3e-09, -7.2e-09, +1.5e-07 
14, 150, 7.6e-09, -5.8e-09, +1.3e-08 
15, 160, 7.8e-09, -6.1e-09, +1.2e-07 
16, 170, 7.6e-09, -5.9e-09, +1.2e-07 
17, 180, 6.9e-09, -5.1e-09, +7.9e-08 
18, 190, 9.3e-09, -7.7e-09, +1.1e-07 
19, 200, 9.5e-09, -7.3e-09, +2.6e-08 
20, 210, 8.6e-09, -6.7e-09, +1.1e-07 
21, 220, 9.2e-09, -7.0e-09, +9.5e-08 
22, 230, 8.7e-09, -6.7e-09, +1.0e-07 
23, 240, 8.6e-09, -6.5e-09, +1.0e-07 
24, 250, 8.7e-09, -6.3e-09, +7.5e-08 
25, 260, 8.2e-09, -6.4e-09, +2.5e-08 
26, 270, 8.1e-09, -6.3e-09, +2.6e-08 
27, 280, 8.5e-09, -6.0e-09, +2.4e-08 
28, 290, 8.8e-09, -7.0e-09, +7.7e-08 
29, 300, 8.7e-09, -6.5e-09, +6.2e-08 
30, 310, 7.7e-09, -6.1e-09, +6.9e-08 
31, 320, 8.4e-09, -6.5e-09, +4.5e-08 
32, 330, 7.8e-09, -6.3e-09, +6.6e-08 
33, 340, 7.5e-09, -6.1e-09, +6.2e-08 
34, 350, 4.3e-09, -3.4e-09, +2.1e-08 
35, 360, 5.4e-09, -3.9e-09, +6.4e-08 
36, 370, 6.4e-09, -5.1e-09, +7.8e-08 
37, 380, 5.9e-09, -4.1e-09, +5.3e-08 
38, 390, 5.9e-09, -4.7e-09, +5.7e-08 
39, 400, 5.7e-09, -4.6e-09, +6.0e-08 
40, 410, 5.8e-09, -4.3e-09, +4.0e-08 
41, 420, 5.1e-09, -3.9e-09, +5.5e-08 
42, 430, 5.4e-09, -4.0e-09, +3.7e-08 
43, 440, 5.3e-09, -4.1e-09, +2.0e-08 
44, 450, 3.8e-09, -3.0e-09, +5.8e-08 
45, 460, 4.8e-09, -3.8e-09, +5.3e-08 
46, 470, 4.8e-09, -4.0e-09, +4.3e-08 
47, 480, 4.4e-09, -3.5e-09, +2.3e-08 
48, 490, 3.6e-09, -2.9e-09, +3.4e-08 
49, 500, 3.4e-09, -2.7e-09, +1.9e-08 
50, 510, 4.2e-09, -3.3e-09, +6.9e-08 
51, 520, 4.0e-09, -3.4e-09, +4.1e-08 
52, 530, 4.4e-09, -3.7e-09, +4.7e-08 
53, 540, 4.9e-09, -4.1e-09, +1.5e-08 
54, 550, 3.7e-09, -3.0e-09, +3.5e-08 
55, 560, 2.7e-09, -2.1e-09, +6.6e-09 
56, 570, 2.7e-09, -2.2e-09, +3.0e-08 
57, 580, 2.6e-09, -1.8e-09, +6.8e-09 
58, 590, 2.6e-09, -1.9e-09, +3.8e-08 
59, 600, 2.7e-09, -2.0e-09, +3.2e-09 
60, 610, 2.8e-09, -2.3e-09, +1.2e-08 
61, 620, 2.6e-09, -2.0e-09, +3.6e-08 
62, 630, 2.9e-09, -2.1e-09, +1.8e-08 
63, 640, 3.8e-09, -2.9e-09, +2.7e-08 
64, 650, 3.8e-09, -3.0e-09, +2.6e-08 
65, 660, 4.0e-09, -3.1e-09, +6.8e-08 
66, 670, 3.6e-09, -3.0e-09, +2.9e-08 
67, 680, 3.4e-09, -2.4e-09, +1.3e-08 
68, 690, 2.5e-09, -1.7e-09, +1.4e-08 
